,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,15.65,300,15.67,800,15.66,1023
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,15.64,200,15.65,100,15.64,100
105,0.41000000000000003,0.23,0.18,28.370000000000005,09:31:28,15.64,200,15.65,1200,15.65,250
240,0.27,0.09,0.18,25.869999999999994,09:32:25,15.64,400,15.65,400,15.6497,100
289,0.30000000000000004,0.14,0.16,42.13999999999999,09:32:42,15.65,900,15.66,300,15.645,100
338,0.3,0.08,0.22,0.0,09:33:00,15.65,900,15.66,700,15.655,100
609,0.49,0.2,0.29,56.449999999999996,09:34:56,15.64,400,15.65,1600,15.6457,1000
614,0.38,0.08,0.3,0.0,09:35:00,15.64,1200,15.65,1500,15.6475,100
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,15.65,6400,15.66,800,15.6551,130
636,0.43,0.22,0.21,20.59,09:35:20,15.65,6400,15.66,1500,15.6501,2000
721,0.25,0.07,0.18,50.89000000000001,09:35:50,15.66,1500,15.67,400,15.665,100
741,0.23,0.07,0.16,56.81000000000002,09:35:56,15.67,1400,15.68,200,15.675,288
748,0.4,0.22,0.18,58.740000000000016,09:35:58,15.67,1100,15.68,300,15.67,100
765,0.44000000000000006,0.17,0.27,0.0,09:36:00,15.68,800,15.69,600,15.68,100
785,0.42,0.21,0.21,18.080000000000002,09:36:18,15.67,800,15.68,1600,15.6712,3000
814,0.5800000000000001,0.19,0.39,30.120000000000005,09:36:30,15.68,2000,15.69,700,15.685,100
870,0.35000000000000003,0.08,0.27,53.81000000000001,09:36:53,15.68,1300,15.69,600,15.6805,275
954,0.47,0.21,0.26,17.939999999999998,09:37:17,15.69,1300,15.7,400,15.7,100
965,0.42,0.18,0.24,21.84,09:37:21,15.69,1100,15.7,600,15.69,200
970,0.46,0.2,0.26,23.96,09:37:23,15.69,1200,15.7,600,15.6923,1500
989,0.36,0.07,0.29,32.02000000000001,09:37:32,15.69,1300,15.7,600,15.695,200
1023,0.39,0.11,0.28,3.0100000000000002,09:38:03,15.7,600,15.71,800,15.705,100
1108,0.35000000000000003,0.08,0.27,40.89000000000001,09:38:40,15.7,700,15.71,900,15.71,100
1137,0.31,0.08,0.23,4.06,09:39:04,15.73,5000,15.74,600,15.725,100
1142,0.37,0.18,0.19,5.859999999999999,09:39:05,15.75,900,15.76,500,15.75,100
1147,0.38,0.08,0.3,7.8,09:39:07,15.75,900,15.76,700,15.7592,200
1149,0.26,0.07,0.19,10.47,09:39:10,15.75,700,15.76,600,15.76,100
1159,2.5700000000000003,2.24,0.33,17.37,09:39:17,15.74,200,15.75,1100,15.745,100
1161,0.37,0.09,0.28,18.160000000000004,09:39:18,15.73,400,15.74,900,15.74,100
1269,2.0100000000000002,1.81,0.2,2.7600000000000002,09:40:02,15.73,300,15.74,1100,15.735,100
1295,0.29000000000000004,0.07,0.22,19.1,09:40:19,15.72,2700,15.73,1100,15.72,100
1336,0.44,0.2,0.24,33.620000000000005,09:40:33,15.71,800,15.72,800,15.715,100
1401,0.29000000000000004,0.1,0.19,0.0,09:41:00,15.71,800,15.72,1100,15.7119,250
1438,0.28,0.07,0.21,15.959999999999996,09:41:15,15.7,500,15.71,900,15.709000000000001,1000
1667,0.41000000000000003,0.13,0.28,0.0,09:43:00,15.69,500,15.7,1100,15.6937,1200
1721,0.32,0.08,0.24,25.97,09:43:25,15.68,2600,15.69,900,15.6857,2000
2389,0.31,0.09,0.22,5.930000000000001,09:48:05,15.65,2000,15.66,1900,15.6556,155
2663,0.4,0.07,0.33,0.0,09:50:00,15.66,3500,15.67,1700,15.6663,1000
2948,0.29000000000000004,0.07,0.22,17.930000000000003,09:52:17,15.66,3400,15.67,1700,15.667,100
3360,0.41000000000000003,0.21,0.2,53.980000000000025,09:54:53,15.64,2400,15.65,3200,15.6401,300
3816,2.62,2.27,0.35,13.809999999999999,09:58:13,15.64,900,15.65,3000,15.640999999999998,400
3875,0.35,0.12,0.23,38.230000000000004,09:58:38,15.65,1600,15.66,800,15.6599,100
4193,0.6799999999999999,0.2,0.48,52.25999999999998,10:00:52,15.64,2300,15.65,1900,15.6471,1000
4946,0.30000000000000004,0.13,0.17,7.870000000000002,10:06:07,15.68,1600,15.69,1200,15.6899,1059
5463,0.26,0.1,0.16,0.26,10:12:00,15.72,800,15.73,1900,15.7201,603
5470,0.42,0.24,0.18,2.12,10:12:02,15.72,800,15.73,2000,15.73,100
5658,0.37,0.17,0.2,43.36,10:13:43,15.72,800,15.73,1800,15.7248,107
5725,0.39,0.22,0.17,8.21,10:14:08,15.71,800,15.72,2000,15.7147,100
5883,0.45,0.22,0.23,23.729999999999997,10:15:23,15.7,1200,15.71,1500,15.7047,200
6170,0.32,0.09,0.23,18.14,10:17:18,15.7,700,15.71,1600,15.7032,128
6352,0.29000000000000004,0.07,0.22,12.509999999999998,10:19:12,15.71,900,15.72,900,15.7165,1100
6451,1.02,0.77,0.25,0.0,10:20:00,15.71,800,15.72,1000,15.7101,400
6520,0.45999999999999996,0.24,0.22,26.889999999999993,10:20:26,15.71,800,15.72,1300,15.719000000000001,432
6573,0.47,0.1,0.37,18.409999999999993,10:21:18,15.71,800,15.72,1400,15.7126,200
6719,0.49,0.27,0.22,0.0,10:23:00,15.7,2800,15.71,2000,15.7053,1400
6870,0.31,0.08,0.23,6.95,10:24:06,15.71,700,15.72,1300,15.7153,400
7116,0.32,0.07,0.25,17.980000000000004,10:26:17,15.73,1100,15.74,900,15.7349,175
7155,0.4,0.09,0.31,34.42,10:26:34,15.73,1100,15.74,1000,15.7334,200
7330,0.30000000000000004,0.1,0.2,31.810000000000002,10:28:31,15.75,1700,15.76,900,15.755,100
7510,0.45999999999999996,0.24,0.22,37.980000000000004,10:29:37,15.74,1900,15.75,3300,15.7447,1000
7620,0.43,0.21,0.22,27.14,10:30:27,15.75,1400,15.76,1200,15.7501,100
8244,0.6000000000000001,0.2,0.4,7.35,10:37:07,15.73,2400,15.74,6100,15.7366,200
8247,3.59,3.07,0.52,12.15,10:37:12,15.73,2800,15.74,5900,15.7399,500
8495,1.0,0.18,0.82,0.0,10:40:00,15.73,10000,15.74,4700,15.7356,191
8523,0.61,0.08,0.53,25.620000000000008,10:40:25,15.73,9300,15.74,5100,15.7363,114
8598,0.59,0.21,0.38,25.83,10:41:25,15.72,2400,15.73,1700,15.7258,800
8950,0.5700000000000001,0.07,0.5,20.349999999999998,10:45:20,15.74,2100,15.75,1100,15.7465,400
