,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,91.94,200,92.15,300,92.04,200
59,0.33,0.1,0.23,0.0,09:31:00,91.95,200,92.14,300,91.95,100
65,0.31,0.07,0.24,3.81,09:31:03,91.95,100,92.08,100,91.96,100
193,0.41000000000000003,0.21,0.2,0.0,09:32:00,91.97,100,92.08,400,92.0304,250
315,0.3,0.08,0.22,50.31,09:32:50,92.0,100,92.08,300,92.05,100
338,0.3,0.08,0.22,0.0,09:33:00,91.98,100,92.04,100,92.0,100
387,0.42000000000000004,0.22,0.2,28.120000000000005,09:33:28,91.9,100,91.97,200,91.9602,300
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,91.9,100,91.97,100,91.935,100
440,0.45,0.25,0.2,46.19000000000002,09:33:46,91.75,100,91.93,100,91.88,200
480,0.28,0.11,0.17,0.0,09:34:00,91.74,100,91.86,200,91.83,100
561,0.26,0.08,0.18,40.00999999999999,09:34:40,91.84,200,91.91,100,91.86,100
588,0.29000000000000004,0.07,0.22,50.01999999999999,09:34:50,91.74,100,91.84,100,91.84,100
618,0.34,0.07,0.27,0.0,09:35:00,91.74,100,91.87,100,91.825,100
647,0.43000000000000005,0.16,0.27,19.599999999999998,09:35:19,91.82,300,91.88,200,91.845,200
653,0.44,0.22,0.22,21.67,09:35:21,91.82,300,91.88,200,91.8377,100
657,0.54,0.28,0.26,23.58,09:35:23,91.79,800,91.87,100,91.82,306
689,0.28,0.07,0.21,35.489999999999995,09:35:35,91.81,200,91.9,100,91.8677,100
695,0.6200000000000001,0.28,0.34,37.749999999999986,09:35:37,91.81,300,91.9,100,91.855,200
714,0.44,0.26,0.18,43.74999999999999,09:35:43,91.84,800,91.94,100,91.89,200
751,0.4,0.23,0.17,0.0,09:36:00,91.82,800,91.95,200,91.87,100
926,0.53,0.1,0.43,30.270000000000003,09:37:30,91.74,800,91.79,200,91.765,100
934,0.35000000000000003,0.07,0.28,34.13000000000001,09:37:34,91.71,100,91.77,100,91.74,100
949,0.4,0.09,0.31,40.38,09:37:40,91.71,100,91.76,200,91.7475,100
954,0.47,0.21,0.26,42.24999999999999,09:37:42,91.71,800,91.76,200,91.71,100
965,0.42,0.18,0.24,46.14999999999999,09:37:46,91.71,800,91.76,100,91.76,100
970,0.46,0.2,0.26,48.26999999999999,09:37:48,91.71,800,91.76,100,91.735,200
1055,0.55,0.24,0.31,32.14,09:38:32,91.67,100,91.73,300,91.69,151
1075,0.30000000000000004,0.07,0.23,39.77999999999999,09:38:39,91.62,700,91.66,100,91.65,100
1094,0.45,0.14,0.31,47.79999999999999,09:38:47,91.62,200,91.66,300,91.64,200
1117,0.62,0.27,0.35,57.899999999999984,09:38:57,91.59,700,91.65,100,91.62,100
1123,0.44999999999999996,0.21,0.24,0.0,09:39:00,91.57,500,91.63,100,91.6,100
1202,0.47,0.18,0.29,37.630000000000024,09:39:37,91.54,100,91.6,300,91.55,100
1295,0.29000000000000004,0.07,0.22,10.66,09:40:10,91.51,100,91.57,400,91.53,100
1308,0.42,0.18,0.24,15.29,09:40:15,91.51,100,91.57,400,91.51,100
1325,0.33,0.08,0.25,21.309999999999995,09:40:21,91.51,100,91.57,400,91.5699,112
1368,0.32,0.07,0.25,37.29999999999999,09:40:37,91.5,100,91.57,400,91.5,100
1427,0.33,0.13,0.2,2.03,09:41:02,91.47,100,91.53,200,91.49,100
1434,0.97,0.67,0.3,6.6499999999999995,09:41:06,91.46,100,91.53,300,91.46,100
