,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,41.88,200,41.91,500,41.9,100
16,0.32,0.08,0.24,6.53,09:30:06,41.88,200,41.9,100,41.91,100
51,0.4,0.18,0.22,1.98,09:31:01,41.9,100,41.91,300,41.8999,1000
56,0.30000000000000004,0.07,0.23,4.9799999999999995,09:31:04,41.9,100,41.92,400,41.9008,100
81,0.43000000000000005,0.17,0.26,22.060000000000002,09:31:22,41.91,200,41.92,500,41.915,100
99,0.27,0.07,0.2,28.040000000000003,09:31:28,41.91,500,41.92,500,41.92,100
117,0.3,0.08,0.22,34.38,09:31:34,41.92,200,41.93,100,41.925,100
186,0.29,0.08,0.21,0.0,09:32:00,41.92,200,41.93,300,41.9249,100
221,0.26,0.08,0.18,22.34,09:32:22,41.89,300,41.9,400,41.89,100
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,41.89,300,41.9,400,41.8968,1500
270,0.36,0.2,0.16,38.53999999999998,09:32:38,41.89,100,41.9,400,41.88,100
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,41.89,100,41.9,500,41.895,100
289,0.30000000000000004,0.14,0.16,44.40999999999999,09:32:44,41.88,100,41.89,800,41.885,100
332,0.25,0.07,0.18,58.52,09:32:58,41.87,200,41.88,100,41.87,100
343,2.23,1.98,0.25,0.0,09:33:00,41.87,300,41.88,300,41.875,100
350,3.75,3.46,0.29,5.78,09:33:05,41.86,200,41.87,400,41.86,500
354,2.19,1.96,0.23,9.16,09:33:09,41.86,200,41.87,400,41.865,100
475,0.32,0.09,0.23,54.800000000000004,09:33:54,41.85,100,41.86,400,41.85,100
511,0.48,0.27,0.21,14.19,09:34:14,41.83,200,41.84,200,41.84,100
515,1.4000000000000001,1.06,0.34,21.779999999999998,09:34:21,41.82,300,41.83,300,41.83,105
522,0.33,0.07,0.26,24.469999999999995,09:34:24,41.82,300,41.83,700,41.825,100
526,0.33,0.08,0.25,25.77999999999999,09:34:25,41.82,300,41.83,700,41.82,100
531,0.51,0.17,0.34,28.27999999999999,09:34:28,41.84,600,41.85,600,41.8401,530
577,0.43,0.14,0.29,46.29999999999999,09:34:46,41.84,400,41.85,200,41.8499,400
618,0.34,0.07,0.27,5.17,09:35:05,41.82,100,41.83,1200,41.8201,142
