,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,55.94,300,56.05,700,55.995,100
22,0.3,0.08,0.22,8.47,09:30:08,55.94,200,56.01,800,55.97,100
42,0.32,0.07,0.25,16.54,09:30:16,55.89,100,55.94,100,55.9,100
51,0.4,0.18,0.22,0.0,09:31:00,55.86,100,55.93,100,55.88,100
77,1.79,1.43,0.36,16.86,09:31:16,55.88,100,56.0,1200,55.98,100
220,0.37,0.21,0.16,0.0,09:32:00,55.89,100,56.0,600,55.99,100
350,3.75,3.46,0.29,0.0,09:33:00,55.94,100,55.99,100,55.95,100
352,0.35,0.18,0.17,0.61,09:33:00,55.98,100,56.0,300,56.0,100
375,0.32,0.15,0.17,14.729999999999997,09:33:14,55.94,100,55.99,100,55.965,700
546,0.45,0.2,0.25,27.859999999999992,09:34:27,55.98,200,56.01,400,56.01,100
623,1.67,1.41,0.26,6.63,09:35:06,55.95,200,56.0,300,55.998999999999995,473
901,2.69,2.4,0.29,0.0,09:37:00,55.92,100,56.0,400,55.96,100
1283,2.42,2.13,0.29,13.54,09:40:13,55.98,200,56.0,300,55.9933,300
1519,0.38,0.08,0.3,50.179999999999986,09:41:50,55.99,800,56.02,300,56.02,100
1827,0.29000000000000004,0.07,0.22,0.0,09:44:00,55.97,200,56.0,200,55.9818,1000
1837,1.29,1.03,0.26,8.899999999999999,09:44:08,56.0,200,56.0,100,55.9875,100
2658,0.41000000000000003,0.15,0.26,0.0,09:50:00,55.94,200,55.98,200,55.968,100
3080,0.26,0.07,0.19,3.7800000000000002,09:53:03,56.0,100,56.02,500,56.0089,130
3220,0.23,0.07,0.16,57.54999999999996,09:53:57,55.95,100,56.0,500,55.975,100
4373,5.0600000000000005,4.79,0.27,10.74,10:02:10,56.0,200,56.01,300,56.005,100
4462,0.56,0.25,0.31,46.31000000000002,10:02:46,55.99,200,56.01,100,56.0032,300
5250,0.43000000000000005,0.23,0.2,13.8,10:08:13,55.95,200,55.97,600,55.955,100
5294,0.36,0.13,0.23,29.85,10:08:29,55.94,100,55.95,300,55.94,100
5343,0.45999999999999996,0.24,0.22,47.860000000000014,10:08:47,55.94,200,55.95,100,55.9401,135
5462,168.17,168.0,0.17,0.0,10:12:00,55.92,100,55.93,100,55.93,100
7093,0.55,0.23,0.32,0.0,10:26:00,55.97,800,55.98,700,55.977,222
7364,0.28,0.09,0.19,43.95,10:28:43,55.98,100,55.99,300,55.985,100
7979,0.36,0.13,0.23,19.990000000000002,10:34:19,55.96,200,55.97,400,55.9699,350
8167,0.5700000000000001,0.07,0.5,2.8200000000000003,10:36:02,56.01,400,56.03,400,56.03,100
8280,0.75,0.19,0.56,31.48000000000001,10:37:31,56.0,200,56.02,300,56.015,300
8344,0.62,0.19,0.43,16.19,10:38:16,56.01,700,56.03,200,56.0183,400
8850,0.58,0.08,0.5,11.61,10:44:11,55.97,100,55.98,200,55.9768,100
9188,0.59,0.08,0.51,0.0,10:48:00,55.94,700,55.96,300,55.9503,100
9405,0.58,0.17,0.41,9.17,10:50:09,55.87,200,55.9,700,55.885,200
9416,0.57,0.1,0.47,15.12,10:50:15,55.85,400,55.88,500,55.87,100
9420,0.44,0.08,0.36,17.360000000000003,10:50:17,55.85,100,55.88,200,55.8524,100
