,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,77.59,1500,77.61,400,77.61,100
16,0.32,0.08,0.24,6.53,09:30:06,77.62,300,77.63,300,77.6012,125
22,0.3,0.08,0.22,8.47,09:30:08,77.63,500,77.65,200,77.64,400
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,77.64,1400,77.66,2100,77.645,200
32,0.43,0.21,0.22,12.59,09:30:12,77.66,600,77.67,1000,77.665,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,77.69,400,77.7,2700,77.7,172
42,0.32,0.07,0.25,16.54,09:30:16,77.68,2000,77.7,3100,77.68,100
45,0.32,0.09,0.23,0.0,09:31:00,77.71,1400,77.72,300,77.69,100
46,0.35000000000000003,0.08,0.27,0.35000000000000003,09:31:00,77.69,300,77.7,500,77.695,100
51,0.4,0.18,0.22,2.33,09:31:02,77.68,1900,77.69,300,77.685,300
69,0.42,0.21,0.21,12.38,09:31:12,77.71,1700,77.72,200,77.71,200
71,0.37,0.18,0.19,15.12,09:31:15,77.72,1600,77.73,300,77.726,1300
75,0.89,0.62,0.27,16.97,09:31:16,77.72,1500,77.73,200,77.72,150
77,1.79,1.43,0.36,19.189999999999998,09:31:19,77.73,300,77.74,1100,77.73,100
80,1.4100000000000001,1.07,0.34,21.98,09:31:21,77.73,1400,77.74,1100,77.74,100
81,0.43000000000000005,0.17,0.26,22.41,09:31:22,77.73,1500,77.74,1100,77.7301,100
86,0.35,0.15,0.2,23.980000000000004,09:31:23,77.73,1500,77.74,1100,77.7367,600
99,0.27,0.07,0.2,28.39,09:31:28,77.74,200,77.75,300,77.75,100
105,0.41000000000000003,0.23,0.18,30.700000000000003,09:31:30,77.76,200,77.77,5800,77.765,100
117,0.3,0.08,0.22,34.730000000000004,09:31:34,77.76,800,77.77,3500,77.77,106
122,0.32,0.12,0.2,36.45000000000001,09:31:36,77.77,400,77.78,100,77.775,400
152,0.74,0.21,0.53,48.72000000000002,09:31:48,77.71,500,77.73,400,77.7241,250
169,0.27,0.07,0.2,54.370000000000026,09:31:54,77.71,500,77.72,200,77.719,100
175,0.32,0.14,0.18,56.32000000000002,09:31:56,77.71,1900,77.73,300,77.7225,100
176,0.33,0.16,0.17,56.65000000000002,09:31:56,77.73,200,77.74,200,77.7344,200
181,0.34,0.17,0.17,58.28000000000002,09:31:58,77.73,200,77.74,200,77.735,300
197,2.11,1.93,0.18,5.2,09:32:05,77.73,1500,77.74,300,77.7332,3000
209,1.96,1.75,0.21,18.8,09:32:18,77.71,200,77.72,300,77.7075,200
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,77.7,1600,77.71,200,77.705,100
221,0.26,0.08,0.18,22.34,09:32:22,77.7,2100,77.71,100,77.7042,1000
246,0.36,0.18,0.18,30.23999999999999,09:32:30,77.71,200,77.72,300,77.715,200
289,0.30000000000000004,0.14,0.16,44.40999999999999,09:32:44,77.73,300,77.74,300,77.7313,1000
350,3.75,3.46,0.29,9.190000000000001,09:33:09,77.77,300,77.78,400,77.78,100
356,2.15,1.91,0.24,14.98,09:33:14,77.77,300,77.78,600,77.7725,100
381,0.41000000000000003,0.22,0.19,25.900000000000006,09:33:25,77.73,200,77.74,400,77.7325,600
423,0.28,0.07,0.21,40.030000000000015,09:33:40,77.72,800,77.74,400,77.7284,500
433,0.26,0.07,0.19,43.81000000000001,09:33:43,77.74,400,77.75,200,77.745,200
452,0.26,0.07,0.19,49.95000000000001,09:33:49,77.76,200,77.77,400,77.76,117
492,0.34,0.14,0.2,4.010000000000001,09:34:04,77.76,400,77.77,600,77.7615,150
503,0.44,0.22,0.22,8.04,09:34:08,77.75,300,77.76,600,77.7592,3000
509,2.14,1.95,0.19,13.379999999999999,09:34:13,77.73,900,77.74,300,77.7425,1200
511,0.48,0.27,0.21,14.19,09:34:14,77.74,400,77.75,900,77.7457,500
522,0.33,0.07,0.26,24.469999999999995,09:34:24,77.75,1700,77.76,400,77.755,200
540,0.35,0.13,0.22,31.939999999999994,09:34:31,77.78,600,77.79,600,77.79,100
551,0.47,0.25,0.22,35.97,09:34:35,77.79,200,77.8,800,77.8,100
594,0.38,0.14,0.24,52.279999999999994,09:34:52,77.8,500,77.81,700,77.81,100
600,0.35000000000000003,0.08,0.27,54.38999999999999,09:34:54,77.83,400,77.84,700,77.83,300
604,0.4,0.12,0.28,56.21999999999999,09:34:56,77.84,300,77.85,500,77.84,1000
609,0.49,0.2,0.29,58.589999999999996,09:34:58,77.84,200,77.85,800,77.85,200
622,3.44,3.13,0.31,9.790000000000001,09:35:09,77.78,100,77.79,600,77.795,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,77.78,500,77.79,700,77.785,1978
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,77.81,600,77.82,200,77.815,100
636,0.43,0.22,0.21,20.59,09:35:20,77.82,200,77.83,600,77.825,109
641,0.4,0.18,0.22,22.53,09:35:22,77.82,300,77.83,700,77.82,100
647,0.43000000000000005,0.16,0.27,24.77,09:35:24,77.83,500,77.84,700,77.8347,100
707,0.25,0.07,0.18,46.68000000000001,09:35:46,77.84,600,77.85,600,77.8429,158
733,0.35,0.19,0.16,54.79000000000001,09:35:54,77.84,300,77.85,700,77.845,10100
751,0.4,0.23,0.17,0.0,09:36:00,77.85,300,77.86,400,77.86,100
759,0.38,0.21,0.17,2.25,09:36:02,77.86,200,77.87,900,77.87,400
772,0.24000000000000002,0.07,0.17,12.05,09:36:12,77.85,500,77.86,700,77.855,200
828,0.26,0.08,0.18,40.329999999999984,09:36:40,77.83,300,77.84,500,77.8301,200
850,0.34,0.08,0.26,50.269999999999996,09:36:50,77.8,300,77.81,400,77.8001,210
860,0.29,0.08,0.21,54.279999999999994,09:36:54,77.8,700,77.81,500,77.8025,100
878,0.5900000000000001,0.07,0.52,0.0,09:37:00,77.83,300,77.84,900,77.835,193
