,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,40.55,10200,40.57,600,40.55,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,40.46,900,40.49,1000,40.4791,500
9,0.4,0.18,0.22,3.6,09:30:03,40.46,900,40.49,1000,40.49,100
12,0.35,0.16,0.19,4.76,09:30:04,40.45,2000,40.48,300,40.46,100
22,0.3,0.08,0.22,8.47,09:30:08,40.47,200,40.48,500,40.48,100
32,0.43,0.21,0.22,12.59,09:30:12,40.53,500,40.56,200,40.56,100
42,0.32,0.07,0.25,16.54,09:30:16,40.53,300,40.55,400,40.5308,400
45,0.32,0.09,0.23,0.0,09:31:00,40.5,500,40.53,300,40.5,500
46,0.35000000000000003,0.08,0.27,0.35000000000000003,09:31:00,40.5,200,40.52,400,40.4967,1000
65,0.31,0.07,0.24,10.33,09:31:10,40.54,400,40.56,400,40.53,100
69,0.42,0.21,0.21,12.38,09:31:12,40.54,100,40.56,300,40.5524,1000
71,0.37,0.18,0.19,15.12,09:31:15,40.54,200,40.56,300,40.5512,100
75,0.89,0.62,0.27,16.97,09:31:16,40.53,100,40.54,100,40.54,100
81,0.43000000000000005,0.17,0.26,22.41,09:31:22,40.47,600,40.49,400,40.4816,2000
105,0.41000000000000003,0.23,0.18,30.700000000000003,09:31:30,40.42,100,40.46,400,40.42,125
110,0.5,0.28,0.22,32.580000000000005,09:31:32,40.42,100,40.46,500,40.4377,200
117,0.3,0.08,0.22,34.730000000000004,09:31:34,40.42,300,40.45,600,40.4331,1200
122,0.32,0.12,0.2,36.45000000000001,09:31:36,40.42,800,40.45,400,40.45,100
133,0.26,0.07,0.19,40.52000000000002,09:31:40,40.41,100,40.43,100,40.41,100
138,0.38,0.07,0.31,42.490000000000016,09:31:42,40.43,200,40.44,400,40.43,100
156,0.48,0.21,0.27,50.55000000000002,09:31:50,40.4,7100,40.42,300,40.4195,100
175,0.32,0.14,0.18,56.32000000000002,09:31:56,40.42,200,40.43,300,40.4258,1000
181,0.34,0.17,0.17,58.28000000000002,09:31:58,40.44,100,40.45,300,40.44,100
182,0.33,0.07,0.26,58.61000000000002,09:31:58,40.43,400,40.45,400,40.4472,100
209,1.96,1.75,0.21,18.8,09:32:18,40.5,200,40.51,700,40.5099,900
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,40.5,400,40.51,700,40.505,100
227,0.36,0.19,0.17,24.189999999999998,09:32:24,40.52,300,40.54,900,40.52,200
252,0.24000000000000002,0.07,0.17,32.32999999999999,09:32:32,40.54,300,40.56,300,40.58,1288
270,0.36,0.2,0.16,38.53999999999998,09:32:38,40.51,500,40.52,500,40.5144,120
289,0.30000000000000004,0.14,0.16,44.40999999999999,09:32:44,40.52,100,40.53,500,40.525,200
295,0.33999999999999997,0.18,0.16,46.37,09:32:46,40.52,100,40.53,600,40.5201,140
302,0.39,0.22,0.17,48.61,09:32:48,40.63,400,40.65,600,40.63,300
309,0.25,0.07,0.18,50.54,09:32:50,40.62,100,40.63,100,40.6219,200
315,0.3,0.08,0.22,52.58,09:32:52,40.6,100,40.61,200,40.61,100
320,0.69,0.28,0.41,54.9,09:32:54,40.56,300,40.58,400,40.57,100
337,0.28,0.08,0.2,0.0,09:33:00,40.55,5400,40.56,100,40.5564,2000
344,0.36,0.18,0.18,4.07,09:33:04,40.55,100,40.56,300,40.5599,1675
352,0.35,0.18,0.17,10.1,09:33:10,40.61,1300,40.62,1500,40.615,100
354,2.19,1.96,0.23,12.87,09:33:12,40.58,500,40.6,200,40.59,100
359,0.35,0.18,0.17,16.14,09:33:16,40.53,400,40.55,1500,40.5499,700
375,0.32,0.15,0.17,24.220000000000006,09:33:24,40.47,500,40.48,1500,40.4799,100
393,0.35,0.18,0.17,30.170000000000005,09:33:30,40.48,300,40.5,600,40.4999,123
405,0.5700000000000001,0.28,0.29,34.260000000000005,09:33:34,40.48,200,40.49,200,40.4844,200
417,0.39,0.2,0.19,38.180000000000014,09:33:38,40.47,800,40.48,600,40.4765,775
423,0.28,0.07,0.21,40.33000000000002,09:33:40,40.48,1500,40.49,600,40.4875,800
427,0.41000000000000003,0.17,0.24,42.30000000000001,09:33:42,40.47,800,40.48,1000,40.47,500
440,0.45,0.25,0.2,46.49000000000002,09:33:46,40.45,2900,40.46,500,40.4592,100
452,0.26,0.07,0.19,50.250000000000014,09:33:50,40.42,800,40.44,1200,40.425,100
464,0.39,0.17,0.22,54.66000000000001,09:33:54,40.42,300,40.43,2000,40.4243,275
475,0.32,0.09,0.23,58.51000000000001,09:33:58,40.44,200,40.45,600,40.445,100
486,0.25,0.07,0.18,2.14,09:34:02,40.37,600,40.38,300,40.37,100
492,0.34,0.14,0.2,4.010000000000001,09:34:04,40.42,100,40.43,300,40.415,100
503,0.44,0.22,0.22,8.04,09:34:08,40.41,900,40.42,200,40.4136,400
511,0.48,0.27,0.21,14.19,09:34:14,40.48,100,40.49,400,40.495,100
513,2.17,1.87,0.3,16.61,09:34:16,40.46,1600,40.47,400,40.4638,7000
516,0.42000000000000004,0.2,0.22,22.2,09:34:22,40.43,1000,40.44,800,40.4344,600
527,0.43,0.21,0.22,26.20999999999999,09:34:26,40.44,400,40.45,300,40.4464,500
531,0.51,0.17,0.34,28.27999999999999,09:34:28,40.46,300,40.48,500,40.4768,900
535,0.39,0.08,0.31,30.049999999999994,09:34:30,40.46,1100,40.48,600,40.4798,224
540,0.35,0.13,0.22,31.939999999999994,09:34:31,40.46,1000,40.47,700,40.4667,100
571,0.32,0.07,0.25,44.09999999999999,09:34:44,40.47,600,40.49,1100,40.465,100
600,0.35000000000000003,0.08,0.27,54.38999999999999,09:34:54,40.46,400,40.47,200,40.4685,100
618,0.34,0.07,0.27,5.17,09:35:05,40.45,600,40.46,500,40.4537,900
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,40.45,700,40.46,800,40.4599,197
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,40.48,600,40.49,400,40.4864,1000
674,0.44999999999999996,0.21,0.24,34.75,09:35:34,40.47,800,40.48,700,40.475,100
689,0.28,0.07,0.21,40.66000000000001,09:35:40,40.47,700,40.48,1400,40.4749,200
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,40.45,1600,40.46,700,40.455,100
765,0.44000000000000006,0.17,0.27,2.13,09:36:02,40.47,900,40.48,400,40.4701,200
767,1.8299999999999998,1.63,0.2,4.359999999999999,09:36:04,40.48,300,40.49,1000,40.485,100
769,0.36000000000000004,0.08,0.28,7.12,09:36:07,40.47,900,40.48,200,40.4763,1790
779,3.7600000000000002,3.33,0.43,17.900000000000002,09:36:17,40.49,300,40.5,300,40.499,2500
805,0.65,0.28,0.37,28.220000000000006,09:36:28,40.5,800,40.51,700,40.51,100
837,0.67,0.44,0.23,41.99999999999999,09:36:41,40.54,500,40.55,400,40.545,9000
866,0.42,0.21,0.21,54.300000000000004,09:36:54,40.59,1100,40.6,300,40.5999,200
875,0.42000000000000004,0.08,0.34,0.42000000000000004,09:37:00,40.59,300,40.6,300,40.6,100
878,0.5900000000000001,0.07,0.52,2.18,09:37:02,40.58,6000,40.59,1600,40.5976,500
882,0.47000000000000003,0.08,0.39,4.37,09:37:04,40.58,5900,40.59,1600,40.585,100
889,0.67,0.21,0.46,8.29,09:37:08,40.55,300,40.56,500,40.5556,100
901,2.69,2.4,0.29,18.56,09:37:18,40.52,800,40.53,300,40.5372,250
905,0.42000000000000004,0.1,0.32,20.169999999999998,09:37:20,40.5,3100,40.52,1000,40.515,600
931,0.5,0.07,0.43,32.660000000000004,09:37:32,40.49,500,40.5,1100,40.4947,195
939,0.47000000000000003,0.13,0.34,36.34000000000001,09:37:36,40.5,400,40.51,1700,40.5063,1000
949,0.4,0.09,0.31,40.38,09:37:40,40.5,700,40.51,1700,40.5058,200
954,0.47,0.21,0.26,42.24999999999999,09:37:42,40.53,500,40.54,300,40.5292,400
970,0.46,0.2,0.26,48.26999999999999,09:37:48,40.55,200,40.56,500,40.5517,1000
979,0.35000000000000003,0.07,0.28,52.18999999999998,09:37:52,40.54,500,40.55,100,40.5478,3000
1018,0.6000000000000001,0.27,0.33,13.870000000000003,09:38:13,40.58,300,40.59,500,40.5892,200
1023,0.39,0.11,0.28,15.890000000000002,09:38:15,40.57,100,40.58,800,40.5756,250
1033,0.42000000000000004,0.14,0.28,19.959999999999997,09:38:19,40.57,400,40.58,300,40.575,19900
1039,0.49,0.07,0.42,24.03,09:38:24,40.57,300,40.58,500,40.5725,100
1059,0.4,0.09,0.31,33.72999999999999,09:38:33,40.55,500,40.56,400,40.555,100
1075,0.30000000000000004,0.07,0.23,39.77999999999999,09:38:39,40.51,400,40.52,600,40.5123,1600
1094,0.45,0.14,0.31,47.79999999999999,09:38:47,40.51,600,40.52,800,40.5199,150
1113,0.51,0.21,0.3,56.069999999999986,09:38:56,40.51,500,40.52,1500,40.5137,500
1127,0.44,0.18,0.26,2.0300000000000002,09:39:02,40.5,400,40.51,1100,40.5025,900
1172,0.31,0.07,0.24,26.210000000000004,09:39:26,40.5,600,40.51,400,40.5085,580
1216,0.49,0.22,0.27,44.52000000000004,09:39:44,40.52,1600,40.53,200,40.5225,100
1238,0.38,0.19,0.19,52.20000000000004,09:39:52,40.52,1600,40.53,800,40.5258,500
1251,0.28,0.08,0.2,56.20000000000003,09:39:56,40.53,300,40.54,900,40.5304,1000
1272,0.46,0.23,0.23,6.21,09:40:06,40.53,900,40.54,600,40.535,100
1273,0.31,0.09,0.22,6.52,09:40:06,40.54,800,40.55,600,40.5457,1000
1283,2.42,2.13,0.29,13.54,09:40:13,40.54,500,40.55,1600,40.542,399
1341,0.44999999999999996,0.21,0.24,38.019999999999996,09:40:38,40.51,400,40.52,300,40.518,900
1373,0.28,0.08,0.2,50.13999999999998,09:40:50,40.48,700,40.49,1100,40.4857,222
1391,0.49,0.22,0.27,58.19999999999999,09:40:58,40.5,200,40.51,700,40.509,200
1523,0.47,0.09,0.38,52.29999999999999,09:41:52,40.5,9100,40.51,1000,40.5038,400
1554,4.06,3.67,0.39,8.559999999999999,09:42:08,40.48,300,40.49,600,40.4824,200
1595,0.7,0.24,0.46,31.999999999999993,09:42:31,40.51,1000,40.52,1400,40.5162,200
1627,0.44,0.24,0.2,45.989999999999995,09:42:45,40.48,200,40.49,1400,40.4866,1000
1632,0.33,0.07,0.26,47.75999999999999,09:42:47,40.48,400,40.49,1400,40.4801,100
1686,0.31,0.07,0.24,10.150000000000004,09:43:10,40.48,500,40.49,1200,40.4837,900
1715,0.32,0.08,0.24,25.959999999999997,09:43:25,40.51,500,40.52,1900,40.5158,3000
1736,0.6000000000000001,0.27,0.33,34.43000000000001,09:43:34,40.5,600,40.51,1900,40.5029,300
1788,0.29000000000000004,0.07,0.22,54.05000000000001,09:43:54,40.51,2200,40.52,1300,40.510999999999996,600
1886,0.35,0.17,0.18,37.89999999999999,09:44:37,40.56,1000,40.57,500,40.565,100
1921,0.41000000000000003,0.17,0.24,50.050000000000004,09:44:50,40.62,900,40.63,700,40.62,100
1945,0.43,0.18,0.25,57.91000000000002,09:44:57,40.6,600,40.61,800,40.603,300
1956,0.43000000000000005,0.09,0.34,1.9500000000000002,09:45:01,40.61,500,40.62,700,40.6163,1200
1980,0.37,0.08,0.29,19.78,09:45:19,40.59,700,40.6,400,40.5956,860
1981,0.5,0.2,0.3,20.28,09:45:20,40.59,1100,40.6,900,40.595,100
1990,0.34,0.17,0.17,23.78,09:45:23,40.63,1000,40.64,600,40.635,100
1996,0.37,0.12,0.25,26.14,09:45:26,40.66,2000,40.67,600,40.66,100
2001,0.5800000000000001,0.27,0.31,28.230000000000004,09:45:28,40.68,600,40.69,1100,40.68,100
2005,0.43,0.07,0.36,30.040000000000006,09:45:30,40.69,1100,40.7,20000,40.69,300
2009,0.43,0.21,0.22,31.820000000000007,09:45:31,40.7,1300,40.71,400,40.71,100
2014,0.5700000000000001,0.26,0.31,34.100000000000016,09:45:34,40.72,1600,40.73,500,40.72,600
2020,0.47,0.26,0.21,36.07000000000002,09:45:36,40.72,11600,40.73,1200,40.73,100
2030,0.38,0.2,0.18,39.75000000000002,09:45:39,40.71,600,40.72,800,40.7147,3000
2046,0.41000000000000003,0.15,0.26,45.80000000000002,09:45:45,40.69,200,40.7,600,40.7,100
2052,0.39,0.15,0.24,48.11000000000002,09:45:48,40.68,700,40.69,1000,40.689,2800
2071,0.53,0.25,0.28,55.84000000000002,09:45:55,40.68,17900,40.69,800,40.6865,900
2082,0.29000000000000004,0.07,0.22,0.29000000000000004,09:46:00,40.67,10400,40.68,2400,40.665,300
2087,0.56,0.27,0.29,2.2,09:46:02,40.68,2300,40.69,1000,40.6697,100
2093,0.32,0.07,0.25,4.07,09:46:04,40.67,10400,40.68,1000,40.6796,2000
2098,0.31,0.08,0.23,6.209999999999999,09:46:06,40.65,800,40.66,1000,40.654,562
2103,0.44999999999999996,0.21,0.24,8.159999999999998,09:46:08,40.64,700,40.65,700,40.6408,100
2107,2.08,1.85,0.23,11.409999999999998,09:46:11,40.64,700,40.65,1000,40.65,700
