,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,49.26,300,49.37,300,49.32,100
51,0.4,0.18,0.22,0.0,09:31:00,49.26,300,49.36,100,49.26,400
252,0.24000000000000002,0.07,0.17,26.58999999999999,09:32:26,49.19,100,49.25,100,49.22,100
276,0.24000000000000002,0.07,0.17,34.65,09:32:34,49.19,100,49.25,200,49.19,100
359,0.35,0.18,0.17,0.0,09:33:00,49.2,100,49.25,100,49.2,200
405,0.5700000000000001,0.28,0.29,18.120000000000005,09:33:18,49.17,600,49.24,100,49.17,100
515,1.4000000000000001,1.06,0.34,19.64,09:34:19,49.12,100,49.21,200,49.14,100
614,0.38,0.08,0.3,0.0,09:35:00,49.16,100,49.21,100,49.1601,300
625,2.72,2.35,0.37,14.980000000000002,09:35:14,49.16,100,49.21,100,49.16,100
628,0.45,0.22,0.23,16.62,09:35:16,49.16,100,49.21,100,49.185,249
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,49.19,200,49.23,100,49.21,100
727,0.38,0.21,0.17,53.05000000000001,09:35:53,49.15,200,49.19,100,49.15,100
931,0.5,0.07,0.43,32.239999999999995,09:37:32,49.18,100,49.23,1200,49.18,100
959,0.48,0.21,0.27,43.65999999999998,09:37:43,49.18,200,49.23,100,49.205,100
1291,0.36,0.17,0.19,0.0,09:40:00,49.17,200,49.21,100,49.195,300
1519,0.38,0.08,0.3,50.46999999999999,09:41:50,49.22,100,49.24,100,49.23,100
1523,0.47,0.09,0.38,52.29999999999999,09:41:52,49.23,100,49.25,200,49.2301,100
1547,0.47,0.22,0.25,0.0,09:42:00,49.22,200,49.24,100,49.24,323
1561,0.38,0.08,0.3,12.06,09:42:12,49.22,200,49.23,200,49.225,215
1595,0.7,0.24,0.46,30.089999999999993,09:42:30,49.23,100,49.29,1200,49.245,400
1600,0.33,0.08,0.25,32.019999999999996,09:42:32,49.24,200,49.3,1200,49.27,100
1622,0.33,0.07,0.26,41.89999999999999,09:42:41,49.25,2900,49.3,200,49.275,300
1672,0.46,0.08,0.38,0.0,09:43:00,49.28,400,49.33,200,49.28,100
1904,0.4,0.2,0.2,0.0,09:44:00,49.28,100,49.32,300,49.31,100
1909,0.31,0.11,0.2,1.7000000000000002,09:44:01,49.28,100,49.32,300,49.3,100
1951,0.39,0.2,0.19,0.0,09:45:00,49.26,400,49.31,100,49.285,500
2041,0.5700000000000001,0.25,0.32,44.12000000000002,09:45:44,49.33,200,49.36,100,49.33,100
2093,0.32,0.07,0.25,0.0,09:46:00,49.34,100,49.37,200,49.34,100
2107,2.08,1.85,0.23,7.340000000000001,09:46:07,49.35,100,49.38,200,49.38,100
