,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,37.6,300,37.69,300,37.685,100
71,0.37,0.18,0.19,0.0,09:31:00,37.52,100,37.56,500,37.56,100
77,1.79,1.43,0.36,4.07,09:31:04,37.47,100,37.52,200,37.5,100
105,0.41000000000000003,0.23,0.18,15.579999999999998,09:31:15,37.47,100,37.52,1100,37.47,197
122,0.32,0.12,0.2,21.329999999999995,09:31:21,37.42,100,37.49,400,37.45,100
127,0.6000000000000001,0.27,0.33,23.439999999999994,09:31:23,37.42,100,37.49,800,37.42,200
175,0.32,0.14,0.18,41.2,09:31:41,37.41,1900,37.45,1000,37.41,100
186,0.29,0.08,0.21,0.0,09:32:00,37.39,300,37.44,1100,37.4,756
197,2.11,1.93,0.18,5.2,09:32:05,37.35,4300,37.42,100,37.36,100
200,2.27,2.05,0.22,8.01,09:32:08,37.35,4300,37.42,600,37.37,100
201,4.77,4.56,0.21,12.78,09:32:12,37.35,4400,37.41,800,37.355,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,37.36,300,37.42,900,37.38,100
209,1.96,1.75,0.21,18.8,09:32:18,37.36,400,37.42,900,37.3816,1000
258,0.39,0.22,0.17,34.55999999999999,09:32:34,37.36,200,37.41,1100,37.35,100
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,37.37,200,37.39,200,37.385,100
359,0.35,0.18,0.17,12.069999999999999,09:33:12,37.43,200,37.46,400,37.44,100
381,0.41000000000000003,0.22,0.19,22.130000000000003,09:33:22,37.42,100,37.45,100,37.445,74000
387,0.42000000000000004,0.22,0.2,24.35,09:33:24,37.43,100,37.45,600,37.43,100
446,0.25,0.07,0.18,44.30000000000001,09:33:44,37.41,200,37.44,900,37.4325,100
507,0.51,0.26,0.25,9.459999999999999,09:34:09,37.46,200,37.47,100,37.46,100
509,2.14,1.95,0.19,13.379999999999999,09:34:13,37.46,200,37.5,500,37.461,800
556,0.47000000000000003,0.28,0.19,38.279999999999994,09:34:38,37.46,300,37.5,1100,37.49,100
641,0.4,0.18,0.22,22.53,09:35:22,37.38,100,37.39,500,37.39,100
668,0.26,0.07,0.19,32.669999999999995,09:35:32,37.28,100,37.31,200,37.28,183
674,0.44999999999999996,0.21,0.24,34.75,09:35:34,37.27,100,37.29,200,37.27,100
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,37.22,100,37.24,1000,37.24,100
701,0.26,0.08,0.18,44.800000000000004,09:35:44,37.15,400,37.19,100,37.18,100
707,0.25,0.07,0.18,46.68000000000001,09:35:46,37.12,200,37.13,100,37.12,200
708,0.25,0.08,0.17,46.93000000000001,09:35:46,37.12,200,37.13,100,37.11,100
714,0.44,0.26,0.18,48.92000000000001,09:35:48,37.15,100,37.17,200,37.15,100
