,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,59.28,100,59.5,300,59.28,553
12,0.35,0.16,0.19,4.76,09:30:04,59.28,300,59.5,300,59.5,100
56,0.30000000000000004,0.07,0.23,4.9799999999999995,09:31:04,59.31,200,59.45,200,59.45,100
59,0.33,0.1,0.23,6.17,09:31:06,59.31,200,59.45,200,59.38,300
122,0.32,0.12,0.2,36.10000000000001,09:31:36,59.38,200,59.51,400,59.39,100
138,0.38,0.07,0.31,42.140000000000015,09:31:42,59.35,200,59.4,100,59.375,200
144,0.46,0.18,0.28,44.46000000000002,09:31:44,59.35,100,59.4,100,59.35,100
156,0.48,0.21,0.27,50.20000000000002,09:31:50,59.36,300,59.51,400,59.415,100
163,0.43,0.24,0.19,52.29000000000002,09:31:52,59.36,300,59.51,400,59.435,300
169,0.27,0.07,0.2,54.020000000000024,09:31:54,59.36,300,59.51,400,59.37,100
289,0.30000000000000004,0.14,0.16,22.069999999999993,09:32:22,59.37,300,59.45,500,59.41,100
309,0.25,0.07,0.18,28.199999999999985,09:32:28,59.35,300,59.43,200,59.4,100
338,0.3,0.08,0.22,0.0,09:33:00,59.32,100,59.37,900,59.33,100
344,0.36,0.18,0.18,3.77,09:33:03,59.31,400,59.37,200,59.34,300
354,2.19,1.96,0.23,12.57,09:33:12,59.25,200,59.33,100,59.29,100
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,59.26,200,59.33,200,59.27,100
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,59.25,300,59.33,100,59.31,100
417,0.39,0.2,0.19,37.88000000000001,09:33:37,59.25,300,59.33,100,59.3125,100
433,0.26,0.07,0.19,43.81000000000001,09:33:43,59.26,100,59.33,400,59.295,100
457,0.33,0.13,0.2,51.84,09:33:51,59.29,200,59.34,100,59.3025,100
499,0.38,0.19,0.19,0.0,09:34:00,59.32,200,59.36,100,59.36,100
514,3.77,3.6,0.17,14.16,09:34:14,59.27,100,59.35,200,59.32,100
515,1.4000000000000001,1.06,0.34,15.56,09:34:15,59.26,200,59.35,400,59.2925,100
566,0.33,0.08,0.25,35.86999999999999,09:34:35,59.31,300,59.38,100,59.345,100
594,0.38,0.14,0.24,46.059999999999995,09:34:46,59.35,200,59.44,100,59.44,100
600,0.35000000000000003,0.08,0.27,48.169999999999995,09:34:48,59.36,200,59.44,300,59.43,100
623,1.67,1.41,0.26,11.46,09:35:11,59.44,300,59.47,200,59.4475,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,59.42,400,59.51,100,59.4825,100
