,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,199.36,1200,199.51,1000,199.41,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,199.33,100,199.51,1000,199.32,200
12,0.35,0.16,0.19,4.76,09:30:04,199.19,500,199.36,100,199.2,100
22,0.3,0.08,0.22,8.47,09:30:08,199.2,100,199.32,100,199.26,147
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,199.19,400,199.32,100,199.2745,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,199.26,100,199.4,800,199.265,100
46,0.35000000000000003,0.08,0.27,0.35000000000000003,09:31:00,199.19,100,199.35,100,199.19,700
56,0.30000000000000004,0.07,0.23,5.329999999999999,09:31:05,199.19,100,199.31,500,199.25,150
59,0.33,0.1,0.23,6.52,09:31:06,199.15,100,199.25,100,199.15,100
65,0.31,0.07,0.24,10.33,09:31:10,199.14,100,199.31,500,199.3099,2000
68,0.9600000000000001,0.68,0.28,11.96,09:31:11,199.14,100,199.31,500,199.28,100
69,0.42,0.21,0.21,12.38,09:31:12,199.22,200,199.38,500,199.3,100
71,0.37,0.18,0.19,15.12,09:31:15,199.24,200,199.35,300,199.35,100
75,0.89,0.62,0.27,16.97,09:31:16,199.22,200,199.31,400,199.31,200
80,1.4100000000000001,1.07,0.34,21.98,09:31:21,199.23,400,199.4,500,199.3226,408
87,0.25,0.08,0.17,24.230000000000004,09:31:24,199.22,200,199.39,200,199.315,100
94,0.27,0.07,0.2,26.520000000000003,09:31:26,199.14,200,199.31,200,199.1783,200
99,0.27,0.07,0.2,28.39,09:31:28,199.14,100,199.22,300,199.16,618
127,0.6000000000000001,0.27,0.33,38.56000000000002,09:31:38,199.15,100,199.24,100,199.155,200
133,0.26,0.07,0.19,40.52000000000002,09:31:40,199.19,200,199.25,100,199.22,100
138,0.38,0.07,0.31,42.490000000000016,09:31:42,199.19,200,199.32,100,199.2931,210
144,0.46,0.18,0.28,44.810000000000024,09:31:44,199.19,100,199.3,100,199.29,200
147,0.47,0.22,0.25,46.090000000000025,09:31:46,199.19,100,199.3,100,199.299,100
148,0.4,0.08,0.32,46.49000000000002,09:31:46,199.19,100,199.32,100,199.24,200
152,0.74,0.21,0.53,48.72000000000002,09:31:48,199.19,200,199.33,600,199.215,300
156,0.48,0.21,0.27,50.55000000000002,09:31:50,199.19,200,199.33,300,199.285,400
175,0.32,0.14,0.18,56.32000000000002,09:31:56,199.22,200,199.32,100,199.27,100
182,0.33,0.07,0.26,58.61000000000002,09:31:58,199.25,100,199.4,1500,199.4,400
186,0.29,0.08,0.21,0.0,09:32:00,199.53,100,199.59,100,199.51,1000
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,199.48,100,199.69,200,199.6417,1000
197,2.11,1.93,0.18,5.2,09:32:05,199.7,100,199.74,500,199.7256,1000
200,2.27,2.05,0.22,8.01,09:32:08,199.6,100,199.7,100,199.61,100
201,4.77,4.56,0.21,12.78,09:32:12,199.55,300,199.69,400,199.6899,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,199.68,400,199.8,1300,199.7999,100
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,199.9,100,199.98,200,199.96,163
209,1.96,1.75,0.21,18.8,09:32:18,200.16,100,200.29,100,200.2703,169
