,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,274.0,200,274.4,300,274.0,100
16,0.32,0.08,0.24,6.53,09:30:06,274.01,100,274.39,100,274.1563,100
32,0.43,0.21,0.22,12.59,09:30:12,273.0,100,274.18,100,274.02,100
64,2.08,1.88,0.2,0.0,09:31:00,272.91,100,273.69,100,273.19,100
127,0.6000000000000001,0.27,0.33,28.54,09:31:28,272.84,100,273.42,100,273.15,300
133,0.26,0.07,0.19,30.500000000000004,09:31:30,272.5,200,273.42,100,272.82,100
201,4.77,4.56,0.21,0.0,09:32:00,272.54,100,273.56,100,273.0,100
246,0.36,0.18,0.18,17.46,09:32:17,272.56,100,273.55,100,272.94,100
375,0.32,0.15,0.17,0.0,09:33:00,272.83,100,273.49,100,273.1884,1000
546,0.45,0.2,0.25,0.0,09:34:00,273.19,300,274.0,1300,273.29,100
618,0.34,0.07,0.27,0.0,09:35:00,273.43,100,273.99,100,273.71,200
701,0.26,0.08,0.18,39.62999999999999,09:35:39,273.98,100,274.3,400,273.98,100
707,0.25,0.07,0.18,41.50999999999999,09:35:41,273.99,200,274.3,400,273.97,100
741,0.23,0.07,0.16,51.64,09:35:51,274.02,100,274.3,400,274.1757,200
748,0.4,0.22,0.18,53.57,09:35:53,274.02,100,274.29,100,274.16,100
771,2.1,1.83,0.27,0.0,09:36:00,274.15,200,274.5,100,274.41,100
814,0.5800000000000001,0.19,0.39,22.68999999999999,09:36:22,274.17,100,274.5,100,274.48,100
822,0.30000000000000004,0.07,0.23,26.32999999999999,09:36:26,274.17,100,274.5,100,274.335,100
855,0.35000000000000003,0.07,0.28,40.629999999999995,09:36:40,274.17,100,274.45,200,274.29,100
870,0.35000000000000003,0.08,0.27,46.379999999999995,09:36:46,274.17,100,274.45,200,274.45,230
889,0.67,0.21,0.46,0.0,09:37:00,274.18,100,274.45,200,274.4499,200
898,1.7399999999999998,1.38,0.36,5.970000000000001,09:37:05,274.18,100,274.45,200,274.39,100
901,2.69,2.4,0.29,10.270000000000001,09:37:10,274.18,100,274.55,100,274.5,100
914,0.41000000000000003,0.21,0.2,16.020000000000003,09:37:16,274.18,100,274.55,100,274.49,100
937,0.51,0.2,0.31,27.070000000000007,09:37:27,274.18,100,274.55,100,274.55,200
944,0.43,0.08,0.35,30.08000000000001,09:37:30,274.37,100,274.82,100,274.37,122
954,0.47,0.21,0.26,33.96,09:37:33,274.88,100,275.15,100,275.08,694
959,0.48,0.21,0.27,35.79,09:37:35,274.88,200,275.48,100,275.15,100
1002,0.42,0.07,0.35,0.0,09:38:00,274.91,1000,275.3,200,275.05,100
1011,0.56,0.27,0.29,4.200000000000001,09:38:04,274.91,1100,275.3,200,275.1284,1000
1016,4.37,4.13,0.24,10.9,09:38:10,274.92,100,275.3,200,275.0,100
1028,0.34,0.08,0.26,15.91,09:38:15,274.92,200,275.3,200,274.82,100
1033,0.42000000000000004,0.14,0.28,17.979999999999997,09:38:17,274.93,1000,275.3,200,275.0872,1000
1080,0.46,0.23,0.23,40.2,09:38:40,274.93,1000,275.3,200,274.93,500
1123,0.44999999999999996,0.21,0.24,0.0,09:39:00,275.15,1000,275.51,400,275.48,100
1135,0.42000000000000004,0.2,0.22,5.6000000000000005,09:39:05,275.16,100,275.6,300,275.52,200
1137,0.31,0.08,0.23,7.8,09:39:07,275.14,200,275.6,300,275.49,100
1156,0.27,0.07,0.2,17.47,09:39:17,275.14,200,275.6,300,275.3159,1000
1277,0.46,0.2,0.26,0.0,09:40:00,275.23,200,275.5,200,275.32,193
1430,0.3,0.08,0.22,0.0,09:41:00,275.23,200,275.56,100,275.5,191
1434,0.97,0.67,0.3,2.0999999999999996,09:41:02,275.36,100,275.6,300,275.56,100
1439,3.9699999999999998,3.65,0.32,7.34,09:41:07,275.33,100,275.68,100,275.6,100
1547,0.47,0.22,0.25,0.0,09:42:00,275.62,100,275.8,300,275.75,100
1554,4.06,3.67,0.39,6.65,09:42:06,275.63,100,275.98,100,275.8,300
1568,0.38,0.07,0.31,18.14,09:42:18,275.67,100,275.97,100,275.81,100
1586,0.48,0.19,0.29,25.869999999999994,09:42:25,275.69,100,275.97,100,275.79,100
1605,0.39,0.09,0.3,33.81999999999999,09:42:33,275.9,100,276.15,100,276.0,220
1700,0.31,0.1,0.21,0.0,09:43:00,276.01,200,276.46,300,276.15,100
1715,0.32,0.08,0.24,8.030000000000001,09:43:08,276.16,300,276.45,100,276.28,100
1767,0.37,0.18,0.19,28.16,09:43:28,276.23,200,276.44,100,276.23,500
1783,0.29,0.08,0.21,34.089999999999996,09:43:34,275.77,200,276.3,100,276.1,100
1916,0.46,0.27,0.19,4.06,09:44:04,275.81,100,276.07,100,276.04,100
1956,0.43000000000000005,0.09,0.34,0.0,09:45:00,275.81,200,276.07,400,275.94,100
1970,1.2,0.89,0.31,10.79,09:45:10,275.91,100,276.2,200,275.95,100
1981,0.5,0.2,0.3,18.330000000000002,09:45:18,275.91,100,276.2,200,276.135,100
2041,0.5700000000000001,0.25,0.32,42.17000000000001,09:45:42,275.92,100,276.19,100,275.955,100
2056,0.51,0.28,0.23,47.91000000000001,09:45:47,275.96,100,276.19,100,276.09,100
2067,0.47,0.18,0.29,52.260000000000005,09:45:52,276.08,100,276.19,100,276.08,100
2071,0.53,0.25,0.28,53.89000000000001,09:45:53,276.08,200,276.31,100,276.19,100
2082,0.29000000000000004,0.07,0.22,0.0,09:46:00,275.93,300,276.31,100,276.123,1000
2110,0.37,0.1,0.27,12.129999999999999,09:46:12,276.09,100,276.4,300,276.29,100
2112,2.15,1.73,0.42,14.58,09:46:14,276.58,100,276.76,100,276.6,100
2115,0.34,0.08,0.26,15.86,09:46:15,276.58,100,276.78,100,276.67,100
2118,2.44,2.1,0.34,21.35,09:46:21,275.97,200,276.55,300,276.64,100
2140,0.30000000000000004,0.07,0.23,30.040000000000003,09:46:30,276.03,200,276.55,200,276.55,100
2158,0.32999999999999996,0.09,0.24,36.05000000000001,09:46:36,276.3,100,276.73,100,276.35,100
2180,0.28,0.08,0.2,43.910000000000025,09:46:43,276.3,100,276.73,200,276.472,100
2197,0.34,0.14,0.2,50.00000000000003,09:46:50,276.34,400,276.73,200,276.34,100
2203,0.33,0.14,0.19,51.81000000000003,09:46:51,276.35,100,276.73,200,276.69,200
2228,0.44,0.23,0.21,0.0,09:47:00,276.34,100,276.68,100,276.4202,528
2279,0.5,0.21,0.29,23.999999999999993,09:47:23,276.46,100,276.8,100,276.68,100
2300,0.54,0.2,0.34,32.12999999999999,09:47:32,276.46,200,276.8,100,276.7958,105
2309,0.32999999999999996,0.09,0.24,35.969999999999985,09:47:35,276.8,100,276.9,100,276.8,100
2315,0.25,0.07,0.18,37.71999999999999,09:47:37,276.86,200,277.0,1100,276.86,100
2347,0.42,0.21,0.21,49.61999999999999,09:47:49,276.48,100,276.94,100,276.73,100
2352,0.5,0.2,0.3,51.66999999999999,09:47:51,276.47,100,276.97,200,276.705,100
2353,0.37,0.07,0.3,52.039999999999985,09:47:52,276.47,100,276.95,200,276.72,100
2373,0.39,0.2,0.19,0.0,09:48:00,276.42,200,276.98,100,276.9499,100
2414,3.29,3.03,0.26,20.97,09:48:20,277.01,100,277.3,500,276.97,100
2423,0.37,0.14,0.23,23.729999999999997,09:48:23,277.18,100,277.5,100,277.3,153
2440,0.24000000000000002,0.07,0.17,29.699999999999992,09:48:29,277.33,100,277.5,100,277.45,100
2444,0.32,0.15,0.17,30.909999999999993,09:48:30,277.34,100,277.5,100,277.33,100
2458,0.34,0.17,0.17,35.73,09:48:35,277.34,100,277.5,100,277.34,100
2464,0.47,0.22,0.25,38.12999999999999,09:48:38,276.83,200,277.33,500,277.28,100
2524,0.51,0.2,0.31,0.0,09:49:00,276.89,100,277.32,100,277.3199,100
2533,0.51,0.15,0.36,3.6800000000000006,09:49:03,276.89,100,277.33,500,276.89,100
2569,0.66,0.23,0.43,28.150000000000002,09:49:28,276.9,100,277.28,100,276.9,100
2581,0.44,0.2,0.24,33.63999999999999,09:49:33,276.9,100,277.28,100,277.128,100
2594,0.37,0.07,0.3,39.60999999999999,09:49:39,276.89,100,277.28,100,276.91,100
2644,0.43,0.21,0.22,57.780000000000015,09:49:57,276.91,100,277.2,200,276.94,100
2684,0.37,0.17,0.2,0.0,09:50:00,276.61,600,276.94,100,276.83,100
2700,0.27,0.07,0.2,5.82,09:50:05,276.61,600,276.99,100,276.621,140
2712,0.5,0.27,0.23,10.049999999999999,09:50:10,276.61,600,276.99,100,276.7534,1000
2725,0.27,0.07,0.2,15.89,09:50:15,276.62,400,277.0,100,276.66,100
2801,3.3499999999999996,3.01,0.34,4.789999999999999,09:51:04,276.77,300,277.1,100,276.9165,400
2858,0.29,0.08,0.21,27.889999999999993,09:51:27,276.97,100,277.3,200,277.1,100
2880,0.34,0.07,0.27,35.929999999999986,09:51:35,277.03,300,277.35,100,277.2,100
2896,0.30000000000000004,0.07,0.23,41.749999999999986,09:51:41,277.07,100,277.5,100,277.35,100
2907,0.25,0.07,0.18,45.799999999999976,09:51:45,277.13,100,277.5,100,277.5,100
2911,0.32,0.08,0.24,47.939999999999976,09:51:47,277.13,200,277.49,100,277.17,100
2916,0.41000000000000003,0.2,0.21,0.0,09:52:00,277.13,200,277.48,100,277.3388,1000
2972,0.25,0.07,0.18,26.000000000000004,09:52:26,277.28,300,277.67,100,277.66,100
3030,0.39,0.22,0.17,46.13000000000001,09:52:46,277.53,100,277.79,200,277.68,100
3047,0.41000000000000003,0.18,0.23,52.18000000000001,09:52:52,277.72,100,277.86,1500,277.79,100
3053,0.44,0.23,0.21,54.150000000000006,09:52:54,277.63,100,277.86,1500,277.72,100
3065,0.32999999999999996,0.12,0.21,58.169999999999995,09:52:58,277.63,300,277.83,100,277.67,100
3071,0.4,0.17,0.23,0.0,09:53:00,277.64,100,277.84,100,277.7214,100
3075,0.6,0.23,0.37,2.08,09:53:02,277.49,500,277.67,100,277.63,100
3127,0.3,0.09,0.21,27.780000000000005,09:53:27,277.61,100,277.84,100,277.62,500
3158,0.42,0.24,0.18,37.73,09:53:37,277.18,200,277.49,100,277.49,200
3172,0.31,0.13,0.18,41.84999999999998,09:53:41,277.12,200,277.49,100,277.32,100
3220,0.23,0.07,0.16,57.54999999999996,09:53:57,277.13,100,277.37,100,277.14,200
3230,0.26,0.08,0.18,0.0,09:54:00,277.13,100,277.37,100,277.13,100
3234,0.34,0.08,0.26,1.32,09:54:01,276.94,200,277.37,100,277.12,100
3239,0.31,0.12,0.19,6.8999999999999995,09:54:06,277.36,100,277.59,100,277.39,100
3287,0.24000000000000002,0.07,0.17,30.9,09:54:30,277.06,100,277.29,100,277.21,200
3418,0.4,0.07,0.33,22.04999999999999,09:55:22,277.22,400,277.59,100,277.221,1000
3429,0.43,0.18,0.25,25.969999999999988,09:55:25,277.23,100,277.58,100,277.47,100
3505,0.48,0.24,0.24,56.280000000000015,09:55:56,277.37,300,277.58,100,277.4002,107
3529,0.52,0.2,0.32,0.0,09:56:00,277.37,300,277.58,100,277.38,100
3533,0.45,0.23,0.22,1.57,09:56:01,277.25,100,277.37,100,277.25,172
3558,0.58,0.23,0.35,13.679999999999998,09:56:13,277.26,100,277.43,100,277.4,100
3667,3.57,3.32,0.25,0.0,09:57:00,277.61,200,277.85,100,277.7,100
3679,3.34,3.09,0.25,11.82,09:57:11,277.47,100,277.79,100,277.54,100
3812,0.26,0.07,0.19,8.059999999999999,09:58:08,277.03,100,277.64,200,277.0301,100
3858,0.35,0.16,0.19,33.99000000000001,09:58:33,277.05,100,277.33,300,277.06,100
3891,0.42,0.21,0.21,46.059999999999995,09:58:46,276.5,100,277.25,200,276.681,187
3949,2.23,1.97,0.26,0.0,09:59:00,276.68,100,277.22,200,277.0371,145
3950,0.25,0.08,0.17,0.25,09:59:00,276.75,100,277.22,200,277.0288,500
4059,0.38,0.18,0.2,39.89000000000001,09:59:39,276.88,100,277.44,100,276.88,100
4088,0.28,0.07,0.21,0.0,10:00:00,276.97,100,277.56,200,277.26,100
4112,0.43,0.18,0.25,12.37,10:00:12,276.95,100,277.57,200,277.27,100
4121,0.37,0.1,0.27,18.720000000000006,10:00:18,276.95,200,277.57,200,277.04,100
4269,0.32,0.13,0.19,15.73,10:01:15,277.09,200,277.52,100,277.315,100
4279,0.45,0.23,0.22,19.540000000000003,10:01:19,277.09,200,277.52,100,277.2835,100
4353,0.35,0.18,0.17,0.0,10:02:00,277.11,200,277.54,200,277.53,100
4366,0.32,0.09,0.23,3.91,10:02:03,277.13,400,277.56,100,277.55,100
4381,0.76,0.5,0.26,20.900000000000002,10:02:20,277.17,100,277.55,100,277.3828,1000
4392,0.27,0.09,0.18,24.009999999999998,10:02:24,277.21,200,277.55,100,277.22,100
4416,0.36000000000000004,0.08,0.28,32.17999999999999,10:02:32,277.21,300,277.55,100,277.23,100
4443,0.28,0.08,0.2,41.94000000000001,10:02:41,277.37,200,277.7,400,277.6,100
4488,0.51,0.19,0.32,57.79000000000003,10:02:57,277.71,100,277.78,100,277.78,100
4489,0.35000000000000003,0.07,0.28,58.14000000000003,10:02:58,277.71,300,277.87,100,277.71,100
4494,0.36,0.12,0.24,0.0,10:03:00,277.71,300,277.87,100,277.85,103
4511,0.28,0.08,0.2,5.860000000000001,10:03:05,277.71,400,277.87,100,277.711,100
4536,0.25,0.08,0.17,18.530000000000005,10:03:18,277.76,200,277.95,400,277.9,100
4538,2.86,2.63,0.23,21.700000000000003,10:03:21,277.76,200,277.95,400,277.8435,700
4626,0.36,0.16,0.2,49.62,10:03:49,277.42,200,277.81,100,277.76,100
4685,0.29000000000000004,0.09,0.2,0.0,10:04:00,277.54,100,277.77,100,277.6561,100
4697,0.26,0.07,0.19,4.03,10:04:04,277.83,100,277.91,100,277.77,100
4707,0.39,0.11,0.28,8.2,10:04:08,277.84,100,278.15,100,277.97,100
4727,0.47000000000000003,0.27,0.2,15.979999999999999,10:04:15,277.86,100,278.15,100,277.86,475
4742,0.5700000000000001,0.27,0.3,22.10000000000001,10:04:22,277.92,100,278.15,100,278.13,100
4774,0.53,0.2,0.33,34.27,10:04:34,277.89,300,278.15,100,277.92,100
4818,0.37,0.17,0.2,16.070000000000004,10:05:16,277.41,300,277.91,200,277.58,100
4819,2.35,1.95,0.4,18.420000000000005,10:05:18,277.08,200,277.65,200,277.42,100
4828,0.48,0.23,0.25,23.830000000000005,10:05:23,277.27,200,277.63,100,277.445,200
4999,0.37,0.17,0.2,34.17999999999999,10:06:34,277.06,200,277.45,100,277.05,500
5044,0.24000000000000002,0.07,0.17,50.05000000000002,10:06:50,277.11,200,277.45,100,277.15,100
5084,1.94,1.74,0.2,0.0,10:07:00,277.11,200,277.45,100,277.2222,254
5168,0.37,0.18,0.19,37.1,10:07:37,277.11,400,277.23,200,277.11,100
5174,0.25,0.07,0.18,38.910000000000004,10:07:38,277.18,100,277.34,100,277.31,100
5250,0.43000000000000005,0.23,0.2,4.23,10:08:04,277.23,100,277.59,400,277.29,100
5462,168.17,168.0,0.17,0.0,10:12:00,276.42,200,276.77,200,276.44,100
5546,0.32,0.12,0.2,0.0,10:13:00,276.4,100,276.76,100,276.435,100
