,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,193.01,200,193.09,400,193.09,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,192.9,200,192.98,400,192.96599999999998,100
12,0.35,0.16,0.19,4.76,09:30:04,192.9,100,192.94,500,192.9,100
15,0.59,0.23,0.36,6.21,09:30:06,192.9,100,192.94,500,192.91,500
16,0.32,0.08,0.24,6.53,09:30:06,192.9,100,192.98,100,192.9274,100
22,0.3,0.08,0.22,8.47,09:30:08,192.82,200,192.92,200,192.87,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,192.76,500,192.85,100,192.76,500
32,0.43,0.21,0.22,12.59,09:30:12,192.82,1000,192.85,200,192.8122,900
42,0.32,0.07,0.25,16.54,09:30:16,192.83,400,192.97,700,192.8554,1500
45,0.32,0.09,0.23,0.0,09:31:00,192.83,400,192.97,500,192.9125,1500
51,0.4,0.18,0.22,2.33,09:31:02,192.84,100,192.94,400,192.93,2100
64,2.08,1.88,0.2,10.02,09:31:10,192.79,100,192.89,500,192.82,1100
69,0.42,0.21,0.21,12.38,09:31:12,192.79,100,192.92,400,192.89,100
71,0.37,0.18,0.19,15.12,09:31:15,192.79,1100,192.92,400,192.855,200
75,0.89,0.62,0.27,16.97,09:31:16,192.82,600,192.91,100,192.8515,810
77,1.79,1.43,0.36,19.189999999999998,09:31:19,192.86,100,193.06,500,193.0054,100
80,1.4100000000000001,1.07,0.34,21.98,09:31:21,192.86,100,193.06,500,193.05900000000003,1000
81,0.43000000000000005,0.17,0.26,22.41,09:31:22,192.87,400,193.0,200,192.949,200
87,0.25,0.08,0.17,24.230000000000004,09:31:24,192.98,400,193.05,100,193.0591,900
88,0.39,0.2,0.19,24.620000000000005,09:31:24,192.96,300,193.05,100,193.05,100
94,0.27,0.07,0.2,26.520000000000003,09:31:26,192.91,300,193.02,300,192.9128,117
99,0.27,0.07,0.2,28.39,09:31:28,192.87,500,193.0,400,192.9423,100
105,0.41000000000000003,0.23,0.18,30.700000000000003,09:31:30,192.87,500,192.95,100,192.9004,100
110,0.5,0.28,0.22,32.580000000000005,09:31:32,192.89,400,192.99,200,192.99,100
117,0.3,0.08,0.22,34.730000000000004,09:31:34,192.89,400,192.99,300,192.95,1000
122,0.32,0.12,0.2,36.45000000000001,09:31:36,192.94,1100,193.04,300,192.97,100
138,0.38,0.07,0.31,42.490000000000016,09:31:42,192.93,500,193.0,500,192.993,4000
148,0.4,0.08,0.32,46.49000000000002,09:31:46,192.85,500,192.96,400,192.9048,100
156,0.48,0.21,0.27,50.55000000000002,09:31:50,192.89,400,192.97,200,192.96,100
169,0.27,0.07,0.2,54.370000000000026,09:31:54,193.01,400,193.06,300,193.06,300
181,0.34,0.17,0.17,58.28000000000002,09:31:58,193.04,800,193.12,1000,193.02,100
182,0.33,0.07,0.26,58.61000000000002,09:31:58,193.01,100,193.14,400,193.085,100
186,0.29,0.08,0.21,0.0,09:32:00,193.01,500,193.11,300,193.07,100
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,192.92,200,193.03,300,193.0025,500
197,2.11,1.93,0.18,5.2,09:32:05,192.93,100,193.03,100,193.01,100
201,4.77,4.56,0.21,12.78,09:32:12,193.01,400,193.12,500,193.065,300
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,193.04,100,193.12,400,193.12,100
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,193.04,600,193.11,100,193.04,100
209,1.96,1.75,0.21,18.8,09:32:18,193.09,400,193.17,200,193.17,100
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,193.21,500,193.28,500,193.229,500
221,0.26,0.08,0.18,22.34,09:32:22,193.21,200,193.27,100,193.26,100
227,0.36,0.19,0.17,24.189999999999998,09:32:24,193.21,200,193.27,100,193.2699,300
241,0.26,0.09,0.17,28.399999999999995,09:32:28,193.12,100,193.25,200,193.2,100
246,0.36,0.18,0.18,30.23999999999999,09:32:30,193.08,100,193.17,1000,193.1,200
252,0.24000000000000002,0.07,0.17,32.32999999999999,09:32:32,193.12,400,193.21,200,193.21,100
258,0.39,0.22,0.17,34.55999999999999,09:32:34,193.16,1200,193.26,200,193.155,1000
270,0.36,0.2,0.16,38.53999999999998,09:32:38,193.07,200,193.16,400,193.111,100
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,193.07,100,193.16,100,193.15,100
283,0.25,0.09,0.16,42.359999999999985,09:32:42,193.07,100,193.16,100,193.1051,300
295,0.33999999999999997,0.18,0.16,46.37,09:32:46,193.11,100,193.2,100,193.1695,100
300,0.36,0.19,0.17,47.89,09:32:47,193.11,100,193.2,100,193.1374,1000
302,0.39,0.22,0.17,48.61,09:32:48,193.14,500,193.24,200,193.18,100
309,0.25,0.07,0.18,50.54,09:32:50,193.13,300,193.24,500,193.185,100
315,0.3,0.08,0.22,52.58,09:32:52,193.13,300,193.2,100,193.1999,200
325,0.25,0.07,0.18,56.56999999999999,09:32:56,192.9,300,192.92,200,192.9001,200
332,0.25,0.07,0.18,58.52,09:32:58,192.88,500,192.99,300,192.9265,200
343,2.23,1.98,0.25,3.41,09:33:03,192.89,1000,192.97,500,192.8901,9000
350,3.75,3.46,0.29,9.190000000000001,09:33:09,192.97,100,193.06,100,192.9883,300
352,0.35,0.18,0.17,9.8,09:33:09,193.02,200,193.11,1800,193.03900000000002,500
354,2.19,1.96,0.23,12.57,09:33:12,193.0,100,193.11,100,193.0,100
359,0.35,0.18,0.17,15.84,09:33:15,193.0,500,193.1,200,193.0625,200
362,2.69,2.48,0.21,19.009999999999998,09:33:19,193.02,500,193.1,300,192.98,100
370,0.66,0.28,0.38,22.090000000000003,09:33:22,192.79,1000,192.99,800,192.988,100
381,0.41000000000000003,0.22,0.19,25.900000000000006,09:33:25,192.85,300,192.95,900,192.86,100
399,0.38,0.21,0.17,31.950000000000006,09:33:31,192.8,1000,192.85,1000,192.90200000000002,100
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,192.77,100,192.83,400,192.815,100
