,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,207.02,100,208.43,200,207.72,100
338,0.3,0.08,0.22,0.0,09:33:00,207.24,200,208.32,100,208.18,104
551,0.47,0.25,0.22,0.0,09:34:00,207.4,100,208.18,100,208.0,100
614,0.38,0.08,0.3,0.0,09:35:00,206.89,100,207.57,200,207.02,100
617,3.8,3.55,0.25,4.83,09:35:04,206.57,200,207.55,200,206.89,100
662,0.56,0.29,0.27,30.749999999999996,09:35:30,206.59,200,207.51,600,207.47,100
668,0.26,0.07,0.19,32.669999999999995,09:35:32,207.29,100,207.81,200,207.49,100
674,0.44999999999999996,0.21,0.24,34.75,09:35:34,207.29,100,208.01,200,207.81,100
810,0.4,0.12,0.28,0.0,09:36:00,207.36,100,207.99,100,207.97,100
959,0.48,0.21,0.27,11.420000000000005,09:37:11,207.56,400,208.32,100,207.9,100
965,0.42,0.18,0.24,13.490000000000006,09:37:13,207.56,400,208.34,100,208.32,100
989,0.36,0.07,0.29,23.67000000000001,09:37:23,207.56,400,208.33,100,207.945,100
1051,0.47,0.17,0.3,29.99,09:38:29,207.56,200,208.32,100,207.94,100
1084,0.41000000000000003,0.17,0.24,43.72999999999998,09:38:43,207.56,200,208.31,100,207.99,100
1181,0.43,0.18,0.25,0.0,09:39:00,208.2,200,208.74,100,208.31,100
1193,0.44999999999999996,0.15,0.3,4.3500000000000005,09:39:04,208.2,300,208.8,100,208.44,100
1211,0.45,0.2,0.25,12.36,09:39:12,208.21,700,208.85,100,208.505,100
1283,2.42,2.13,0.29,0.0,09:40:00,208.23,600,208.79,100,208.5,100
1314,0.45999999999999996,0.21,0.25,14.77,09:40:14,208.25,700,208.79,100,208.78,100
1319,0.49,0.28,0.21,16.58,09:40:16,208.25,800,208.79,100,208.69,100
