,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,64.58,200,64.64,100,64.6064,300
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,64.58,300,64.64,100,64.64,100
71,0.37,0.18,0.19,0.0,09:31:00,64.59,100,64.64,400,64.6078,376
99,0.27,0.07,0.2,13.27,09:31:13,64.44,200,64.6,300,64.59,100
309,0.25,0.07,0.18,0.0,09:32:00,64.52,200,64.56,100,64.5,100
315,0.3,0.08,0.22,2.04,09:32:02,64.57,300,64.64,100,64.61,100
362,2.69,2.48,0.21,0.0,09:33:00,64.57,300,64.64,100,64.57,100
375,0.32,0.15,0.17,4.910000000000001,09:33:04,64.57,300,64.64,100,64.63,100
486,0.25,0.07,0.18,0.25,09:34:00,64.66,100,64.7,100,64.68,100
492,0.34,0.14,0.2,2.12,09:34:02,64.69,200,64.76,200,64.74,100
499,0.38,0.19,0.19,4.330000000000001,09:34:04,64.69,200,64.75,300,64.69,100
531,0.51,0.17,0.34,26.389999999999993,09:34:26,64.69,200,64.75,200,64.7166,125
571,0.32,0.07,0.25,42.20999999999999,09:34:42,64.69,100,64.71,100,64.71,100
577,0.43,0.14,0.29,44.40999999999999,09:34:44,64.69,100,64.72,200,64.7,100
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,64.72,300,64.76,100,64.72,100
622,3.44,3.13,0.31,9.790000000000001,09:35:09,64.7,100,64.74,100,64.75,100
641,0.4,0.18,0.22,22.53,09:35:22,64.7,100,64.73,100,64.73,300
657,0.54,0.28,0.26,28.75,09:35:28,64.67,100,64.72,100,64.7062,863
668,0.26,0.07,0.19,32.669999999999995,09:35:32,64.65,1100,64.72,100,64.65,200
680,0.33,0.07,0.26,36.78000000000001,09:35:36,64.6,100,64.64,100,64.62,100
771,2.1,1.83,0.27,11.81,09:36:11,64.54,200,64.6,100,64.55,200
800,0.44000000000000006,0.17,0.27,28.390000000000008,09:36:28,64.6,300,64.65,200,64.625,100
954,0.47,0.21,0.26,33.96,09:37:33,64.63,100,64.67,200,64.635,232
1011,0.56,0.27,0.29,0.0,09:38:00,64.64,100,64.67,100,64.6604,244
1016,4.37,4.13,0.24,6.7,09:38:06,64.63,100,64.67,200,64.66,100
1161,0.37,0.09,0.28,14.099999999999998,09:39:14,64.68,200,64.74,200,64.715,100
1482,0.45999999999999996,0.24,0.22,18.319999999999993,09:41:18,64.65,200,64.69,300,64.67,100
1547,0.47,0.22,0.25,0.0,09:42:00,64.6,200,64.64,200,64.604,258
1735,0.43,0.18,0.25,25.919999999999998,09:43:25,64.59,100,64.6,100,64.6,100
1810,0.54,0.21,0.33,0.0,09:44:00,64.63,400,64.66,200,64.6375,245
