,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,72.77,200,72.97,300,72.81,100
16,0.32,0.08,0.24,6.53,09:30:06,72.77,200,72.86,100,72.78,100
32,0.43,0.21,0.22,12.59,09:30:12,72.81,100,73.14,200,72.85,100
59,0.33,0.1,0.23,0.0,09:31:00,72.84,100,73.12,100,72.9767,126
200,2.27,2.05,0.22,0.0,09:32:00,72.84,100,73.09,100,72.82,200
458,0.27,0.09,0.18,42.92,09:33:42,72.85,100,73.07,200,72.98,100
463,0.28,0.07,0.21,44.78,09:33:44,72.85,100,73.07,200,73.07,100
464,0.39,0.17,0.22,45.17,09:33:45,72.85,100,73.07,200,72.87,100
514,3.77,3.6,0.17,0.0,09:34:00,72.85,100,72.9,300,72.9,100
759,0.38,0.21,0.17,0.0,09:36:00,72.87,200,72.9,300,72.86,100
765,0.44000000000000006,0.17,0.27,2.13,09:36:02,72.81,100,72.87,100,72.83,100
805,0.65,0.28,0.37,28.220000000000006,09:36:28,72.91,100,73.03,400,72.92,100
855,0.35000000000000003,0.07,0.28,50.19,09:36:50,72.9,100,72.99,400,72.945,100
931,0.5,0.07,0.43,13.71,09:37:13,73.01,100,73.1,300,73.005,200
965,0.42,0.18,0.24,27.2,09:37:27,73.01,100,73.08,200,73.01,100
1065,0.28,0.07,0.21,0.0,09:38:00,72.96,200,73.02,100,73.0,200
1071,0.39,0.13,0.26,2.2,09:38:02,72.93,100,73.0,200,72.96,100
1202,0.47,0.18,0.29,29.83,09:39:29,72.96,100,73.03,100,73.015,408
1261,0.35,0.17,0.18,0.0,09:40:00,72.92,100,73.0,300,72.93,100
1362,0.4,0.2,0.2,45.89999999999998,09:40:45,72.89,100,72.98,100,72.97,100
1401,0.29000000000000004,0.1,0.19,0.0,09:41:00,72.96,100,73.0,500,72.95,100
1555,0.30000000000000004,0.07,0.23,0.0,09:42:00,72.9,200,72.95,200,72.91,100
1783,0.29,0.08,0.21,49.77,09:43:49,72.81,200,72.86,300,72.835,100
1831,0.59,0.35,0.24,7.489999999999999,09:44:07,72.75,100,72.82,300,72.75,300
1847,0.46,0.18,0.28,15.860000000000001,09:44:15,72.76,100,72.81,500,72.79,100
1868,0.33999999999999997,0.12,0.22,23.93,09:44:23,72.71,100,72.78,100,72.785,100
1877,0.65,0.27,0.38,27.919999999999995,09:44:27,72.71,100,72.77,100,72.745,100
1886,0.35,0.17,0.18,31.769999999999996,09:44:31,72.72,100,72.78,100,72.7553,139
1970,1.2,0.89,0.31,8.54,09:45:08,72.73,100,72.78,500,72.755,100
2098,0.31,0.08,0.23,4.01,09:46:04,72.8,100,72.85,200,72.8,100
2197,0.34,0.14,0.2,48.090000000000025,09:46:48,72.87,100,72.91,100,72.89,100
2289,0.31,0.08,0.23,23.95,09:47:23,72.83,100,72.88,200,72.8466,149
2383,0.44,0.26,0.18,0.0,09:48:00,72.82,100,72.84,100,72.845,100
