,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,1924.74,100,1932.77,200,1932.9658,125
12,0.35,0.16,0.19,4.76,09:30:04,1924.74,100,1932.48,100,1928.61,100
45,0.32,0.09,0.23,0.0,09:31:00,1924.74,100,1930.44,100,1925.13,100
64,2.08,1.88,0.2,10.02,09:31:10,1924.73,100,1930.35,100,1924.73,100
80,1.4100000000000001,1.07,0.34,21.98,09:31:21,1924.68,100,1930.32,100,1927.525,100
81,0.43000000000000005,0.17,0.26,22.41,09:31:22,1920.0,200,1930.32,100,1924.47,100
87,0.25,0.08,0.17,24.230000000000004,09:31:24,1920.01,100,1930.32,100,1926.82,100
241,0.26,0.09,0.17,0.0,09:32:00,1923.01,100,1931.0,700,1926.78,100
362,2.69,2.48,0.21,0.0,09:33:00,1920.0,200,1925.6,500,1922.37,100
417,0.39,0.2,0.19,18.870000000000005,09:33:18,1920.0,200,1931.0,800,1923.39,150
701,0.26,0.08,0.18,0.0,09:35:00,1920.01,300,1929.99,100,1929.99,100
785,0.42,0.21,0.21,0.0,09:36:00,1921.98,100,1925.24,200,1924.21,100
805,0.65,0.28,0.37,8.010000000000002,09:36:08,1920.61,200,1929.0,100,1925.24,100
949,0.4,0.09,0.31,0.0,09:37:00,1921.18,100,1926.06,100,1924.84,100
954,0.47,0.21,0.26,1.87,09:37:01,1921.18,100,1926.41,500,1923.795,220
1035,0.55,0.19,0.36,0.0,09:38:00,1924.01,100,1926.08,100,1925.58,200
1216,0.49,0.22,0.27,0.0,09:39:00,1921.39,100,1926.0,100,1923.88,100
1220,0.29000000000000004,0.07,0.22,1.4,09:39:01,1921.39,100,1926.0,100,1925.539,900
1256,0.5800000000000001,0.3,0.28,13.759999999999998,09:39:13,1921.55,100,1926.0,300,1922.48,100
1277,0.46,0.2,0.26,0.0,09:40:00,1923.77,100,1925.97,100,1923.77,100
1357,0.29,0.08,0.21,35.88999999999998,09:40:35,1920.01,100,1925.84,200,1922.7,100
1427,0.33,0.13,0.2,0.0,09:41:00,1920.62,200,1926.0,200,1921.96,100
1720,0.54,0.23,0.31,0.0,09:43:00,1921.82,200,1924.05,100,1923.22,100
1773,0.29000000000000004,0.07,0.22,20.18,09:43:20,1921.83,100,1924.02,100,1921.84,100
1799,0.6,0.24,0.36,30.30999999999999,09:43:30,1921.85,100,1924.02,100,1921.86,100
1837,1.29,1.03,0.26,0.0,09:44:00,1921.84,100,1924.02,200,1921.85,100
1847,0.46,0.18,0.28,5.1499999999999995,09:44:05,1920.04,100,1924.01,200,1921.01,200
1863,0.37,0.07,0.3,11.29,09:44:11,1920.04,100,1922.25,100,1920.52,100
1886,0.35,0.17,0.18,21.06,09:44:21,1920.02,100,1922.25,100,1920.02,100
1897,0.27,0.08,0.19,24.97,09:44:24,1920.58,100,1923.99,100,1921.14,110
1904,0.4,0.2,0.2,27.23,09:44:27,1920.6,100,1924.02,100,1922.305,100
1909,0.31,0.11,0.2,28.93,09:44:28,1920.6,100,1924.02,100,1920.61,100
1945,0.43,0.18,0.25,41.07000000000001,09:44:41,1920.62,200,1923.92,100,1921.3501,100
1956,0.43000000000000005,0.09,0.34,0.0,09:45:00,1920.7,100,1925.82,200,1921.53,105
1962,0.38,0.08,0.3,2.25,09:45:02,1920.01,200,1925.83,100,1920.7,100
2158,0.32999999999999996,0.09,0.24,0.0,09:46:00,1920.71,100,1923.46,100,1922.08,145
2164,0.44999999999999996,0.21,0.24,2.18,09:46:02,1920.7,100,1921.94,100,1921.93,100
2185,0.39,0.18,0.21,9.860000000000001,09:46:09,1920.04,100,1921.95,200,1920.43,196
2209,0.53,0.27,0.26,17.86,09:46:17,1920.04,100,1926.0,100,1921.95,100
2309,0.32999999999999996,0.09,0.24,0.0,09:47:00,1920.06,200,1926.0,100,1924.9,100
2328,0.3,0.09,0.21,5.659999999999999,09:47:05,1922.03,200,1926.0,100,1923.03,100
2373,0.39,0.2,0.19,0.0,09:48:00,1922.03,200,1925.0,100,1924.89,100
3075,0.6,0.23,0.37,0.0,09:53:00,1922.03,100,1924.9,200,1923.465,100
3085,0.29000000000000004,0.09,0.2,3.8600000000000003,09:53:03,1922.03,100,1923.47,200,1922.7476,100
3233,0.35,0.09,0.26,0.0,09:54:00,1923.47,100,1924.73,200,1924.095,100
3261,0.45,0.27,0.18,22.250000000000004,09:54:22,1924.15,300,1924.73,200,1924.15,100
3266,0.43000000000000005,0.26,0.17,23.950000000000006,09:54:23,1923.27,200,1925.99,100,1924.0,200
3410,0.32,0.08,0.24,0.0,09:55:00,1923.52,300,1925.0,100,1924.26,100
3634,0.4,0.21,0.19,0.0,09:56:00,1923.56,200,1925.0,200,1924.1,100
3652,0.27,0.07,0.2,0.0,09:57:00,1922.81,100,1925.0,100,1922.92,100
3657,0.38,0.09,0.29,1.9299999999999997,09:57:01,1922.81,100,1923.91,100,1922.815,100
3677,1.35,1.06,0.29,17.03,09:57:17,1922.81,200,1923.91,100,1923.36,100
