,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,69.42,200,69.45,600,69.45,100
12,0.35,0.16,0.19,4.76,09:30:04,69.4,1600,69.45,600,69.4247,200
16,0.32,0.08,0.24,6.53,09:30:06,69.39,300,69.44,4900,69.44,200
22,0.3,0.08,0.22,8.47,09:30:08,69.39,300,69.44,5000,69.4192,500
32,0.43,0.21,0.22,12.59,09:30:12,69.32,200,69.39,600,69.389,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,69.32,200,69.39,700,69.37,200
42,0.32,0.07,0.25,16.54,09:30:16,69.32,200,69.38,2200,69.38,280
56,0.30000000000000004,0.07,0.23,4.9799999999999995,09:31:04,69.32,200,69.38,2400,69.3589,150
65,0.31,0.07,0.24,9.980000000000002,09:31:09,69.32,300,69.38,1000,69.33,100
69,0.42,0.21,0.21,12.030000000000003,09:31:12,69.32,300,69.37,3900,69.32,300
80,1.4100000000000001,1.07,0.34,21.630000000000003,09:31:21,69.29,400,69.32,100,69.29,1000
88,0.39,0.2,0.19,24.270000000000007,09:31:24,69.29,900,69.32,500,69.3,100
120,0.27,0.07,0.2,35.35000000000001,09:31:35,69.33,800,69.36,100,69.31,100
122,0.32,0.12,0.2,36.10000000000001,09:31:36,69.34,100,69.38,100,69.36,100
127,0.6000000000000001,0.27,0.33,38.210000000000015,09:31:38,69.33,200,69.35,500,69.3401,449
148,0.4,0.08,0.32,46.14000000000002,09:31:46,69.3,100,69.35,600,69.34,155
181,0.34,0.17,0.17,57.93000000000002,09:31:57,69.25,300,69.29,300,69.2725,1000
199,0.27,0.07,0.2,0.0,09:32:00,69.25,300,69.27,100,69.27,100
200,2.27,2.05,0.22,2.27,09:32:02,69.26,1000,69.28,700,69.26,100
202,2.2199999999999998,2.03,0.19,9.259999999999998,09:32:09,69.32,100,69.34,500,69.3297,102
206,0.24000000000000002,0.07,0.17,10.379999999999999,09:32:10,69.26,500,69.28,100,69.28,100
209,1.96,1.75,0.21,13.059999999999999,09:32:13,69.25,300,69.27,400,69.2513,928
264,0.24000000000000002,0.07,0.17,30.769999999999996,09:32:30,69.3,200,69.32,100,69.3153,200
270,0.36,0.2,0.16,32.8,09:32:32,69.31,100,69.33,300,69.3229,250
283,0.25,0.09,0.16,36.620000000000005,09:32:36,69.3,200,69.33,400,69.3225,300
289,0.30000000000000004,0.14,0.16,38.67000000000001,09:32:38,69.3,200,69.33,200,69.3043,100
309,0.25,0.07,0.18,44.80000000000002,09:32:44,69.35,200,69.38,200,69.35,100
359,0.35,0.18,0.17,16.14,09:33:16,69.27,300,69.3,300,69.2916,200
362,2.69,2.48,0.21,19.31,09:33:19,69.27,200,69.3,300,69.2867,729
375,0.32,0.15,0.17,24.220000000000006,09:33:24,69.27,200,69.3,200,69.2833,300
405,0.5700000000000001,0.28,0.29,34.260000000000005,09:33:34,69.25,700,69.26,800,69.25,100
480,0.28,0.11,0.17,0.0,09:34:00,69.28,500,69.3,200,69.2802,300
508,1.78,1.57,0.21,11.239999999999998,09:34:11,69.29,400,69.32,500,69.3008,180
513,2.17,1.87,0.3,16.61,09:34:16,69.29,600,69.32,300,69.3112,150
546,0.45,0.2,0.25,34.08,09:34:34,69.3,400,69.32,800,69.3116,500
577,0.43,0.14,0.29,46.29999999999999,09:34:46,69.31,500,69.34,400,69.325,100
583,0.31,0.13,0.18,48.12999999999999,09:34:48,69.31,500,69.34,400,69.3267,400
588,0.29000000000000004,0.07,0.22,50.01999999999999,09:34:50,69.31,500,69.34,400,69.3247,400
594,0.38,0.14,0.24,52.279999999999994,09:34:52,69.33,500,69.35,400,69.345,100
668,0.26,0.07,0.19,32.669999999999995,09:35:32,69.28,200,69.3,600,69.2902,100
686,0.6200000000000001,0.28,0.34,39.32000000000001,09:35:39,69.31,300,69.33,100,69.3241,105
701,0.26,0.08,0.18,44.800000000000004,09:35:44,69.3,200,69.32,200,69.311,1000
707,0.25,0.07,0.18,46.68000000000001,09:35:46,69.3,300,69.32,100,69.305,450
741,0.23,0.07,0.16,56.81000000000002,09:35:56,69.22,300,69.24,200,69.22,100
751,0.4,0.23,0.17,0.0,09:36:00,69.21,400,69.22,600,69.21,100
759,0.38,0.21,0.17,2.25,09:36:02,69.21,200,69.23,900,69.23,100
769,0.36000000000000004,0.08,0.28,9.370000000000001,09:36:09,69.18,300,69.21,700,69.1889,1000
771,2.1,1.83,0.27,11.81,09:36:11,69.16,300,69.19,600,69.18,100
772,0.24000000000000002,0.07,0.17,12.05,09:36:12,69.16,200,69.18,200,69.1724,150
778,0.39,0.21,0.18,16.39,09:36:16,69.16,200,69.18,500,69.1732,500
780,0.43,0.19,0.24,20.580000000000002,09:36:20,69.15,1100,69.17,900,69.15,100
785,0.42,0.21,0.21,22.46,09:36:22,69.1,200,69.12,1100,69.12,100
