,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,53.13,300,53.18,300,53.2,100
32,0.43,0.21,0.22,12.59,09:30:12,53.12,1000,53.15,2000,53.141999999999996,200
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,53.12,1100,53.15,2000,53.1308,1000
51,0.4,0.18,0.22,1.98,09:31:01,53.12,1100,53.15,2000,53.135,100
56,0.30000000000000004,0.07,0.23,4.9799999999999995,09:31:04,53.12,1100,53.14,100,53.12,100
59,0.33,0.1,0.23,6.17,09:31:06,53.14,200,53.16,900,53.15,100
64,2.08,1.88,0.2,9.670000000000002,09:31:09,53.16,100,53.17,700,53.165,100
69,0.42,0.21,0.21,12.030000000000003,09:31:12,53.16,100,53.17,700,53.1637,1000
71,0.37,0.18,0.19,14.770000000000001,09:31:14,53.17,900,53.19,900,53.185,100
80,1.4100000000000001,1.07,0.34,21.630000000000003,09:31:21,53.17,900,53.19,1000,53.17,262
138,0.38,0.07,0.31,42.140000000000015,09:31:42,53.19,200,53.2,700,53.19,200
152,0.74,0.21,0.53,48.37000000000002,09:31:48,53.17,600,53.2,100,53.18,100
201,4.77,4.56,0.21,7.58,09:32:07,53.13,200,53.14,300,53.14,100
227,0.36,0.19,0.17,18.990000000000002,09:32:18,53.11,200,53.12,200,53.1163,500
238,0.38,0.21,0.17,22.319999999999997,09:32:22,53.09,1000,53.1,200,53.1,100
246,0.36,0.18,0.18,25.039999999999996,09:32:25,53.09,500,53.1,400,53.095,100
270,0.36,0.2,0.16,33.339999999999996,09:32:33,53.08,300,53.09,1900,53.085,100
276,0.24000000000000002,0.07,0.17,35.19,09:32:35,53.07,100,53.08,200,53.08,100
295,0.33999999999999997,0.18,0.16,41.170000000000016,09:32:41,53.06,200,53.08,100,53.07,100
315,0.3,0.08,0.22,47.38000000000002,09:32:47,53.07,600,53.09,1300,53.09,100
350,3.75,3.46,0.29,9.190000000000001,09:33:09,53.05,400,53.07,500,53.06,100
356,2.15,1.91,0.24,14.98,09:33:14,53.04,200,53.05,700,53.04,100
362,2.69,2.48,0.21,19.009999999999998,09:33:19,53.03,200,53.04,300,53.03,100
370,0.66,0.28,0.38,22.090000000000003,09:33:22,53.03,500,53.04,300,53.035,100
381,0.41000000000000003,0.22,0.19,25.900000000000006,09:33:25,53.01,100,53.02,200,53.01,200
393,0.35,0.18,0.17,29.870000000000005,09:33:29,53.01,300,53.02,700,53.02,100
405,0.5700000000000001,0.28,0.29,33.96,09:33:33,53.0,500,53.02,600,53.005,200
412,0.47000000000000003,0.27,0.2,35.970000000000006,09:33:35,53.0,500,53.01,300,53.0055,1357
417,0.39,0.2,0.19,37.88000000000001,09:33:37,52.99,100,53.0,300,53.0,100
423,0.28,0.07,0.21,40.030000000000015,09:33:40,52.99,300,53.0,300,52.995,1000
440,0.45,0.25,0.2,46.19000000000002,09:33:46,52.95,1500,52.97,100,52.97,100
458,0.27,0.09,0.18,52.11000000000001,09:33:52,52.98,400,52.99,200,52.98,100
492,0.34,0.14,0.2,4.010000000000001,09:34:04,52.99,400,53.0,300,52.99,100
527,0.43,0.21,0.22,26.20999999999999,09:34:26,52.98,100,52.99,400,52.985,100
571,0.32,0.07,0.25,44.09999999999999,09:34:44,52.99,500,53.0,300,52.9943,200
617,3.8,3.55,0.25,4.83,09:35:04,52.97,400,52.99,400,52.9776,180
618,0.34,0.07,0.27,5.17,09:35:05,52.97,400,52.99,400,52.9701,175
774,2.31,2.11,0.2,5.24,09:36:05,52.97,700,52.99,1200,52.9784,200
778,0.39,0.21,0.18,7.02,09:36:07,52.98,200,52.99,400,52.9857,500
795,0.33,0.1,0.23,16.939999999999998,09:36:16,52.97,100,52.98,300,52.9768,800
842,0.52,0.21,0.31,37.10000000000001,09:36:37,52.98,100,52.99,600,52.9871,120
926,0.53,0.1,0.43,30.270000000000003,09:37:30,52.96,200,52.97,200,52.965,200
939,0.47000000000000003,0.13,0.34,36.34000000000001,09:37:36,52.96,300,52.97,200,52.9675,100
943,0.37,0.07,0.3,37.940000000000005,09:37:37,52.96,300,52.97,400,52.96,100
954,0.47,0.21,0.26,42.24999999999999,09:37:42,52.96,800,52.98,200,52.9673,100
965,0.42,0.18,0.24,46.14999999999999,09:37:46,52.97,200,52.98,200,52.975,100
1002,0.42,0.07,0.35,0.0,09:38:00,52.98,400,53.0,900,52.9841,700
1011,0.56,0.27,0.29,4.200000000000001,09:38:04,52.98,400,53.0,900,52.9859,278
1337,0.48,0.21,0.27,34.1,09:40:34,53.01,1000,53.02,200,53.015,100
1427,0.33,0.13,0.2,12.16,09:41:12,53.01,500,53.02,900,53.0107,124
1440,0.31,0.08,0.23,22.33,09:41:22,53.0,400,53.01,600,53.0001,487
1568,0.38,0.07,0.31,16.279999999999998,09:42:16,52.99,400,53.0,1100,52.9901,100
1676,0.54,0.25,0.29,6.07,09:43:06,52.96,500,52.97,700,52.9699,200
1741,0.4,0.08,0.32,36.050000000000004,09:43:36,52.99,600,53.0,400,52.998999999999995,150
1882,0.46,0.2,0.26,32.03999999999999,09:44:32,52.99,500,53.0,700,52.9965,382
2112,2.15,1.73,0.42,14.58,09:46:14,53.02,500,53.03,600,53.025,100
2209,0.53,0.27,0.26,53.91000000000003,09:46:53,53.04,500,53.05,300,53.05,100
2267,0.36,0.18,0.18,20.129999999999995,09:47:20,53.02,800,53.03,600,53.0293,2000
2295,0.44999999999999996,0.09,0.36,30.199999999999992,09:47:30,53.02,800,53.03,800,53.0244,1000
2315,0.25,0.07,0.18,38.16,09:47:38,53.02,900,53.03,800,53.0269,400
2373,0.39,0.2,0.19,0.0,09:48:00,53.04,400,53.05,500,53.045,100
2389,0.31,0.09,0.22,5.930000000000001,09:48:05,53.04,400,53.05,600,53.0446,145
2405,0.63,0.25,0.38,14.330000000000002,09:48:14,53.04,700,53.05,1200,53.0462,270
2453,0.43000000000000005,0.23,0.2,34.01,09:48:34,53.04,900,53.05,1300,53.0475,300
2464,0.47,0.22,0.25,38.12999999999999,09:48:38,53.04,900,53.05,1400,53.0468,100
2508,0.30000000000000004,0.07,0.23,53.71000000000001,09:48:53,53.04,700,53.05,1600,53.0444,150
