,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,22.2,700,22.25,200,22.24,100
71,0.37,0.18,0.19,0.0,09:31:00,22.21,800,22.25,200,22.23,100
88,0.39,0.2,0.19,9.5,09:31:09,22.21,800,22.25,100,22.21,100
227,0.36,0.19,0.17,18.990000000000002,09:32:18,22.26,600,22.28,100,22.27,300
246,0.36,0.18,0.18,25.039999999999996,09:32:25,22.26,900,22.28,200,22.26,145
343,2.23,1.98,0.25,0.0,09:33:00,22.29,300,22.32,600,22.3,100
350,3.75,3.46,0.29,5.78,09:33:05,22.3,1100,22.32,200,22.31,100
354,2.19,1.96,0.23,9.16,09:33:09,22.29,600,22.3,200,22.29,100
365,0.42000000000000004,0.23,0.19,16.55,09:33:16,22.31,100,22.33,200,22.33,200
375,0.32,0.15,0.17,20.510000000000005,09:33:20,22.27,600,22.29,100,22.28,100
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,22.23,500,22.25,100,22.25,300
772,0.24000000000000002,0.07,0.17,9.8,09:36:09,22.25,600,22.26,300,22.255,100
774,2.31,2.11,0.2,12.360000000000001,09:36:12,22.25,600,22.26,300,22.2599,125
905,0.42000000000000004,0.1,0.32,20.169999999999998,09:37:20,22.34,300,22.35,100,22.34,100
914,0.41000000000000003,0.21,0.2,24.31,09:37:24,22.34,100,22.35,300,22.35,100
931,0.5,0.07,0.43,32.660000000000004,09:37:32,22.36,300,22.38,300,22.37,100
1016,4.37,4.13,0.24,0.0,09:38:00,22.37,600,22.39,400,22.38,100
1148,2.41,2.17,0.24,6.15,09:39:06,22.39,300,22.4,400,22.39,100
1149,0.26,0.07,0.19,6.41,09:39:06,22.39,300,22.4,400,22.4,100
1177,0.36,0.15,0.21,19.87,09:39:19,22.4,200,22.41,400,22.405,100
1202,0.47,0.18,0.29,29.83,09:39:29,22.41,600,22.42,300,22.42,100
1220,0.29000000000000004,0.07,0.22,37.670000000000016,09:39:37,22.41,600,22.42,300,22.41,100
1251,0.28,0.08,0.2,47.95000000000001,09:39:47,22.43,400,22.45,400,22.44,100
1667,0.41000000000000003,0.13,0.28,2.25,09:43:02,22.39,500,22.4,200,22.395,100
2036,0.5,0.21,0.29,29.44,09:45:29,22.43,300,22.44,800,22.43,100
2046,0.41000000000000003,0.15,0.26,33.059999999999995,09:45:33,22.45,200,22.46,1000,22.45,200
2112,2.15,1.73,0.42,2.45,09:46:02,22.46,600,22.47,400,22.46,100
2115,0.34,0.08,0.26,3.7300000000000004,09:46:03,22.46,400,22.47,200,22.47,100
2185,0.39,0.18,0.21,33.779999999999994,09:46:33,22.45,700,22.46,600,22.455,100
2610,0.32,0.08,0.24,43.96000000000001,09:49:43,22.46,600,22.47,500,22.465,100
3389,1.5,1.26,0.24,6.3500000000000005,09:55:06,22.47,1300,22.48,200,22.48,100
3392,0.29,0.08,0.21,9.809999999999999,09:55:09,22.48,500,22.49,500,22.49,100
3439,0.28,0.08,0.2,30.039999999999992,09:55:30,22.49,1400,22.5,400,22.495,100
