,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,448.0,100,449.76,200,448.855,100
80,1.4100000000000001,1.07,0.34,0.0,09:31:00,448.0,100,449.76,200,448.88,100
186,0.29,0.08,0.21,37.98000000000001,09:31:37,448.0,100,449.75,100,449.3583,500
206,0.24000000000000002,0.07,0.17,0.0,09:32:00,448.0,200,449.74,100,449.74,100
209,1.96,1.75,0.21,2.6799999999999997,09:32:02,448.0,200,449.74,200,449.73,100
234,0.23,0.07,0.16,10.040000000000001,09:32:10,448.0,200,449.74,200,448.9577,100
264,0.24000000000000002,0.07,0.17,20.39000000000001,09:32:20,448.0,200,449.73,100,448.27,100
320,0.69,0.28,0.41,38.78,09:32:38,446.54,100,448.85,100,447.16,100
470,0.41000000000000003,0.19,0.22,0.0,09:33:00,446.41,100,448.79,100,448.29,100
475,0.32,0.09,0.23,1.86,09:33:01,446.41,100,448.79,100,447.6,270
515,1.4000000000000001,1.06,0.34,0.0,09:34:00,446.41,100,447.88,200,447.5,100
535,0.39,0.08,0.31,8.270000000000001,09:34:08,446.41,100,447.88,200,447.145,100
689,0.28,0.07,0.21,0.0,09:35:00,446.42,1300,447.36,100,447.08,100
695,0.6200000000000001,0.28,0.34,2.2600000000000002,09:35:02,446.42,1300,447.36,100,446.89,100
707,0.25,0.07,0.18,6.020000000000001,09:35:06,446.43,100,447.36,100,447.13,100
780,0.43,0.19,0.24,0.0,09:36:00,447.08,100,447.97,100,446.87800000000004,100
784,0.32,0.09,0.23,1.4600000000000002,09:36:01,447.08,100,447.97,100,447.15,100
790,0.38,0.09,0.29,3.91,09:36:03,447.04,1000,447.97,100,447.4997,100
795,0.33,0.1,0.23,5.73,09:36:05,447.04,1000,447.97,100,447.86,100
818,0.32,0.14,0.18,15.770000000000001,09:36:15,447.04,1000,447.97,300,447.505,100
909,0.6000000000000001,0.26,0.34,0.0,09:37:00,447.32,500,447.82,100,447.542,100
