,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,63.28,200,63.37,400,63.367,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,63.28,300,63.37,300,63.3692,100
16,0.32,0.08,0.24,6.53,09:30:06,63.28,200,63.36,400,63.28,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,63.28,300,63.36,300,63.32,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,63.24,600,63.3,200,63.24,100
110,0.5,0.28,0.22,10.17,09:31:10,63.2,200,63.26,100,63.2,100
127,0.6000000000000001,0.27,0.33,16.150000000000002,09:31:16,63.22,200,63.27,400,63.22,300
163,0.43,0.24,0.19,30.230000000000008,09:31:30,63.18,200,63.23,200,63.18,200
197,2.11,1.93,0.18,2.9299999999999997,09:32:02,63.18,300,63.23,1000,63.19,100
209,1.96,1.75,0.21,16.53,09:32:16,63.23,200,63.28,500,63.205,100
258,0.39,0.22,0.17,32.28999999999999,09:32:32,63.15,300,63.18,200,63.15,100
264,0.24000000000000002,0.07,0.17,34.23999999999999,09:32:34,63.13,100,63.17,200,63.14,200
276,0.24000000000000002,0.07,0.17,38.11999999999998,09:32:38,63.1,100,63.14,100,63.13,100
309,0.25,0.07,0.18,48.27,09:32:48,63.1,100,63.13,300,63.1,100
320,0.69,0.28,0.41,52.63,09:32:52,63.07,200,63.1,100,63.09,100
332,0.25,0.07,0.18,56.25000000000001,09:32:56,63.03,200,63.08,100,63.05,100
344,0.36,0.18,0.18,0.0,09:33:00,63.04,200,63.08,100,63.06,100
352,0.35,0.18,0.17,6.029999999999999,09:33:06,63.04,200,63.08,200,63.04,200
354,2.19,1.96,0.23,8.799999999999999,09:33:08,62.99,100,63.03,200,62.99,200
365,0.42000000000000004,0.23,0.19,16.189999999999998,09:33:16,62.98,100,63.03,200,62.98,100
381,0.41000000000000003,0.22,0.19,22.130000000000003,09:33:22,62.99,100,63.07,100,63.03,200
399,0.38,0.21,0.17,28.180000000000003,09:33:28,63.0,100,63.1,300,63.035,100
440,0.45,0.25,0.2,42.420000000000016,09:33:42,63.05,100,63.1,400,63.08,100
522,0.33,0.07,0.26,16.43,09:34:16,63.0,100,63.04,100,63.01,100
540,0.35,0.13,0.22,23.9,09:34:23,62.98,200,63.02,100,63.0,100
546,0.45,0.2,0.25,26.039999999999996,09:34:26,63.0,100,63.04,100,63.02,100
