,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,56.03,900,56.09,900,56.09,100
16,0.32,0.08,0.24,6.53,09:30:06,56.08,100,56.12,100,56.12,200
51,0.4,0.18,0.22,2.33,09:31:02,56.05,100,56.12,500,56.11,100
69,0.42,0.21,0.21,12.38,09:31:12,56.07,100,56.12,700,56.08,100
77,1.79,1.43,0.36,19.189999999999998,09:31:19,56.06,300,56.11,400,56.07,100
81,0.43000000000000005,0.17,0.26,22.41,09:31:22,56.04,300,56.1,600,56.058,125
110,0.5,0.28,0.22,32.580000000000005,09:31:32,56.04,300,56.1,600,56.1,100
122,0.32,0.12,0.2,36.45000000000001,09:31:36,56.07,200,56.1,200,56.085,100
200,2.27,2.05,0.22,8.01,09:32:08,56.1,300,56.11,400,56.105,100
201,4.77,4.56,0.21,12.78,09:32:12,56.1,400,56.11,400,56.1038,1000
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,56.13,100,56.14,200,56.13,100
323,0.47,0.22,0.25,56.059999999999995,09:32:56,56.15,800,56.16,200,56.15,191
325,0.25,0.07,0.18,56.56999999999999,09:32:56,56.16,400,56.17,400,56.17,100
332,0.25,0.07,0.18,58.52,09:32:58,56.16,400,56.17,300,56.165,100
344,0.36,0.18,0.18,3.77,09:33:03,56.17,200,56.19,100,56.18,100
350,3.75,3.46,0.29,9.190000000000001,09:33:09,56.18,200,56.19,200,56.19,100
359,0.35,0.18,0.17,15.84,09:33:15,56.17,700,56.19,200,56.1701,1100
375,0.32,0.15,0.17,23.920000000000005,09:33:23,56.2,200,56.21,400,56.2,100
452,0.26,0.07,0.19,49.95000000000001,09:33:49,56.18,700,56.2,900,56.1926,1000
508,1.78,1.57,0.21,11.239999999999998,09:34:11,56.16,500,56.18,300,56.16,130
599,0.44,0.21,0.23,54.03999999999999,09:34:54,56.16,400,56.17,200,56.175,100
600,0.35000000000000003,0.08,0.27,54.38999999999999,09:34:54,56.16,400,56.17,100,56.1601,200
625,2.72,2.35,0.37,14.980000000000002,09:35:14,56.1,200,56.11,200,56.1099,300
668,0.26,0.07,0.19,32.669999999999995,09:35:32,56.06,300,56.07,200,56.06,100
674,0.44999999999999996,0.21,0.24,34.75,09:35:34,56.04,200,56.05,200,56.0449,400
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,56.02,200,56.03,100,56.03,100
701,0.26,0.08,0.18,44.800000000000004,09:35:44,56.03,400,56.04,200,56.04,800
