,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,153.23,100,153.32,200,153.27,100
12,0.35,0.16,0.19,4.76,09:30:04,153.24,100,153.32,200,153.3,17900
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,153.18,200,153.32,500,153.19,100
56,0.30000000000000004,0.07,0.23,0.0,09:31:00,153.12,200,153.26,300,153.14,100
65,0.31,0.07,0.24,5.0,09:31:05,153.13,800,153.26,300,153.2,100
77,1.79,1.43,0.36,13.86,09:31:13,153.15,500,153.26,100,153.22,200
80,1.4100000000000001,1.07,0.34,16.65,09:31:16,153.13,1100,153.26,100,153.17,100
152,0.74,0.21,0.53,43.39000000000001,09:31:43,153.15,100,153.25,200,153.24,100
197,2.11,1.93,0.18,0.0,09:32:00,153.15,100,153.23,100,153.21,100
214,0.33999999999999997,0.18,0.16,14.990000000000002,09:32:14,153.17,200,153.25,200,153.25,100
227,0.36,0.19,0.17,18.990000000000002,09:32:18,153.24,100,153.3,100,153.29,100
246,0.36,0.18,0.18,25.039999999999996,09:32:25,153.3,100,153.38,100,153.36,200
283,0.25,0.09,0.16,37.160000000000004,09:32:37,153.28,200,153.35,200,153.34,132
295,0.33999999999999997,0.18,0.16,41.170000000000016,09:32:41,153.3,300,153.39,400,153.37,100
300,0.36,0.19,0.17,42.69000000000002,09:32:42,153.33,100,153.41,100,153.4,100
344,0.36,0.18,0.18,0.36,09:33:00,153.35,200,153.41,100,153.41,200
362,2.69,2.48,0.21,15.6,09:33:15,153.35,300,153.41,600,153.35,100
464,0.39,0.17,0.22,50.95,09:33:50,153.31,200,153.39,100,153.31,100
540,0.35,0.13,0.22,25.719999999999995,09:34:25,153.31,500,153.38,600,153.345,100
614,0.38,0.08,0.3,0.0,09:35:00,153.35,1000,153.42,100,153.39,100
617,3.8,3.55,0.25,4.83,09:35:04,153.37,300,153.46,100,153.42,100
618,0.34,0.07,0.27,5.17,09:35:05,153.48,400,153.61,800,153.55,180
622,3.44,3.13,0.31,9.790000000000001,09:35:09,153.52,300,153.64,1000,153.59,100
623,1.67,1.41,0.26,11.46,09:35:11,153.54,400,153.64,400,153.61,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,153.56,500,153.65,200,153.64,100
628,0.45,0.22,0.23,16.62,09:35:16,153.59,1000,153.69,100,153.66,100
641,0.4,0.18,0.22,22.53,09:35:22,153.59,1800,153.71,300,153.69,100
647,0.43000000000000005,0.16,0.27,24.77,09:35:24,153.62,1000,153.75,700,153.71,175
662,0.56,0.29,0.27,30.749999999999996,09:35:30,153.64,300,153.76,800,153.73,200
668,0.26,0.07,0.19,32.669999999999995,09:35:32,153.7,200,153.78,400,153.75,100
680,0.33,0.07,0.26,36.78000000000001,09:35:36,153.63,900,153.76,100,153.705,200
686,0.6200000000000001,0.28,0.34,39.32000000000001,09:35:39,153.65,900,153.8,400,153.79,100
733,0.35,0.19,0.16,54.79000000000001,09:35:54,153.59,1100,153.68,100,153.65,100
774,2.31,2.11,0.2,14.610000000000001,09:36:14,153.64,500,153.72,200,153.68,200
780,0.43,0.19,0.24,20.580000000000002,09:36:20,153.64,100,153.72,400,153.7,100
805,0.65,0.28,0.37,30.470000000000006,09:36:30,153.65,100,153.72,200,153.685,100
809,0.42,0.12,0.3,32.2,09:36:32,153.66,300,153.72,100,153.72,100
842,0.52,0.21,0.31,46.46999999999999,09:36:46,153.67,100,153.72,100,153.67,100
901,2.69,2.4,0.29,14.19,09:37:14,153.62,1300,153.73,100,153.63,100
949,0.4,0.09,0.31,36.01,09:37:36,153.67,600,153.71,100,153.6701,100
1216,0.49,0.22,0.27,44.52000000000004,09:39:44,153.65,200,153.73,200,153.6777,500
1261,0.35,0.17,0.18,0.0,09:40:00,153.51,300,153.56,100,153.54,100
1330,0.38,0.19,0.19,33.98,09:40:33,153.48,200,153.56,100,153.48,100
1346,0.45,0.19,0.26,39.949999999999996,09:40:39,153.48,200,153.54,100,153.53,100
1407,1.19,0.95,0.24,4.99,09:41:04,153.48,200,153.54,100,153.52,100
1451,0.31,0.08,0.23,26.179999999999996,09:41:26,153.49,800,153.54,100,153.5122,120
1555,0.30000000000000004,0.07,0.23,0.0,09:42:00,153.5,200,153.57,200,153.56,100
1566,0.41000000000000003,0.09,0.32,9.52,09:42:09,153.5,300,153.55,100,153.5219,300
1637,0.4,0.18,0.22,41.02,09:42:41,153.5,200,153.56,200,153.51,100
1676,0.54,0.25,0.29,3.8200000000000003,09:43:03,153.42,900,153.53,100,153.475,100
1752,0.28,0.07,0.21,37.82,09:43:37,153.48,300,153.53,100,153.49,100
1933,0.41000000000000003,0.18,0.23,49.81000000000001,09:44:49,153.45,900,153.52,100,153.47,154
1966,0.42000000000000004,0.19,0.23,0.0,09:45:00,153.41,1000,153.47,100,153.44,100
1985,0.5700000000000001,0.28,0.29,16.139999999999997,09:45:16,153.45,100,153.51,100,153.46,120
2014,0.5700000000000001,0.26,0.31,28.250000000000004,09:45:28,153.42,700,153.49,100,153.4474,200
2440,0.24000000000000002,0.07,0.17,0.0,09:48:00,153.4,700,153.51,1100,153.4488,103
2654,0.33,0.08,0.25,0.0,09:50:00,153.38,600,153.45,100,153.43,100
2656,0.45,0.18,0.27,0.8500000000000001,09:50:00,153.38,600,153.45,100,153.45,100
2936,0.42,0.21,0.21,8.100000000000001,09:52:08,153.35,100,153.42,1100,153.38,128
3132,0.26,0.07,0.19,0.0,09:53:00,153.27,400,153.35,500,153.32,100
3240,2.9800000000000004,2.74,0.24,2.9800000000000004,09:54:02,153.27,100,153.33,700,153.292,100
3469,0.52,0.24,0.28,9.590000000000002,09:55:09,153.31,200,153.37,1300,153.33,100
3504,0.44,0.21,0.23,23.380000000000003,09:55:23,153.24,1500,153.33,300,153.26,300
3990,0.25,0.07,0.18,10.05,09:59:10,153.28,300,153.33,200,153.28,100
4155,0.48,0.17,0.31,0.0,10:00:00,153.31,500,153.39,500,153.3333,290
4196,0.74,0.17,0.57,19.94,10:00:19,153.31,800,153.42,800,153.3579,102
4484,0.4,0.18,0.22,42.88999999999999,10:02:42,153.23,300,153.34,1100,153.2975,133
4934,0.28,0.08,0.2,0.0,10:06:00,153.31,300,153.37,200,153.335,100
5194,0.26,0.07,0.19,51.60000000000002,10:07:51,153.23,300,153.28,100,153.265,200
5213,0.4,0.2,0.2,57.60000000000002,10:07:57,153.22,200,153.29,300,153.255,100
5439,0.46,0.27,0.19,23.83,10:09:23,153.23,200,153.26,800,153.23,100
5748,0.36,0.17,0.19,26.0,10:14:26,153.3,300,153.34,100,153.328,1000
6261,0.6,0.18,0.42,49.91000000000002,10:17:49,153.41,400,153.45,100,153.433,150
6521,0.43,0.22,0.21,30.049999999999997,10:20:30,153.49,500,153.57,200,153.498,361
6559,0.6000000000000001,0.07,0.53,10.14,10:21:10,153.56,100,153.61,100,153.62,100
6637,2.21,1.94,0.27,15.350000000000001,10:22:15,153.56,500,153.65,100,153.6,100
8363,0.59,0.09,0.5,22.149999999999995,10:38:22,153.43,200,153.48,1600,153.455,200
9030,0.63,0.21,0.42,0.63,10:46:00,153.46,500,153.52,1100,153.5,100
9109,0.6100000000000001,0.28,0.33,0.0,10:47:00,153.54,100,153.59,200,153.57,100
9163,0.64,0.18,0.46,38.22999999999999,10:47:38,153.55,100,153.59,100,153.567,200
9402,0.5700000000000001,0.14,0.43,20.160000000000004,10:50:20,153.58,400,153.63,800,153.605,100
9497,0.5800000000000001,0.07,0.51,19.939999999999998,10:51:19,153.62,200,153.68,100,153.6291,100
9500,0.59,0.22,0.37,21.75,10:51:21,153.62,100,153.68,300,153.644,500
9567,0.6200000000000001,0.07,0.55,24.570000000000007,10:52:24,153.58,300,153.62,300,153.582,100
9646,0.5900000000000001,0.07,0.52,12.190000000000001,10:53:12,153.54,600,153.61,100,153.58,100
9809,0.6100000000000001,0.07,0.54,0.0,10:57:00,153.52,100,153.59,100,153.563,1258
10012,0.58,0.29,0.29,13.82,10:59:13,153.61,300,153.69,1400,153.662,200
10546,0.44,0.07,0.37,5.86,11:07:05,153.55,600,153.61,100,153.575,100
11115,0.44,0.13,0.31,53.40000000000001,11:13:53,153.68,300,153.75,300,153.715,400
11143,0.5700000000000001,0.2,0.37,10.82,11:14:10,153.73,600,153.75,100,153.77,100
11197,0.45,0.08,0.37,42.85999999999999,11:14:42,153.77,300,153.78,100,153.78,100
11518,0.6100000000000001,0.07,0.54,0.0,11:20:00,153.69,300,153.77,400,153.76,300
11660,0.7899999999999999,0.22,0.57,0.0,11:22:00,153.72,400,153.75,300,153.74,100
11837,0.8,0.39,0.41,14.4,11:24:14,153.63,1600,153.72,700,153.631,110
12099,0.63,0.08,0.55,27.439999999999998,11:29:27,153.67,200,153.74,800,153.718,200
12179,0.7999999999999999,0.22,0.58,49.04999999999999,11:30:49,153.61,100,153.76,100,153.6125,2000
12205,0.6000000000000001,0.07,0.53,0.0,11:31:00,153.57,100,153.74,100,153.6658,100
12247,0.6000000000000001,0.14,0.46,25.75,11:31:25,153.6,200,153.65,100,153.625,179
12538,0.63,0.21,0.42,50.0,11:34:50,153.39,100,153.46,100,153.425,100
12566,79.02,78.7,0.32,0.0,11:36:00,153.49,100,153.55,200,153.52200000000002,130
12766,0.45,0.07,0.38,0.0,11:38:00,153.43,100,153.54,100,153.4732,100
13480,0.29000000000000004,0.07,0.22,20.899999999999995,11:47:20,153.53,200,153.63,100,153.5862,300
13487,0.4,0.18,0.22,23.04,11:47:23,153.53,200,153.62,100,153.586,100
13715,0.42000000000000004,0.22,0.2,24.13000000000001,11:48:24,153.54,200,153.62,100,153.60399999999998,150
14318,0.27,0.07,0.2,0.0,11:52:00,153.54,300,153.6,100,153.5736,100
14526,0.25,0.07,0.18,4.04,11:54:04,153.54,400,153.6,100,153.5799,123
