,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,5.71,1500,5.72,5800,5.715,200
37,0.44,0.21,0.23,14.589999999999998,09:30:14,5.7,106000,5.71,6000,5.71,200
42,0.32,0.07,0.25,16.54,09:30:16,5.7,104400,5.71,7000,5.7085,2400
110,0.5,0.28,0.22,26.060000000000002,09:31:26,5.7,104100,5.71,8700,5.705,100
201,4.77,4.56,0.21,12.78,09:32:12,5.71,7400,5.72,12500,5.7156,259
480,0.28,0.11,0.17,0.0,09:34:00,5.7,104000,5.71,12700,5.7,100
621,0.33,0.07,0.26,1.52,09:35:01,5.7,90700,5.71,22600,5.7088,700
662,0.56,0.29,0.27,25.919999999999995,09:35:25,5.7,90700,5.71,43100,5.7010000000000005,111
901,2.69,2.4,0.29,16.38,09:37:16,5.7,92100,5.71,39700,5.7001,300
1149,0.26,0.07,0.19,10.47,09:39:10,5.69,19100,5.7,30600,5.695,100
1197,0.53,0.17,0.36,31.990000000000006,09:39:31,5.69,17600,5.7,50400,5.69,100
1600,0.33,0.08,0.25,33.92999999999999,09:42:33,5.69,24600,5.7,46400,5.699,131
1688,0.46,0.26,0.2,4.4,09:43:04,5.69,23500,5.7,46400,5.6949,146
2067,0.47,0.18,0.29,38.20999999999999,09:45:38,5.69,33200,5.7,53300,5.6942,1000
2124,0.31,0.09,0.22,23.840000000000003,09:46:23,5.69,44500,5.7,49900,5.6938,1000
2130,0.43,0.18,0.25,25.950000000000003,09:46:25,5.69,56400,5.7,49000,5.6901,500
2506,0.42000000000000004,0.2,0.22,53.13000000000001,09:48:53,5.69,33900,5.7,52800,5.6936,750
2621,0.38,0.17,0.21,49.580000000000005,09:49:49,5.69,34200,5.7,52900,5.6958,500
3014,0.5,0.18,0.32,40.24,09:52:40,5.69,37700,5.7,52300,5.6999,11000
3239,0.31,0.12,0.19,5.92,09:54:05,5.69,64900,5.7,50000,5.6994,100
3807,0.37,0.18,0.19,3.9699999999999998,09:58:03,5.71,38400,5.72,25100,5.7125,100
3814,2.37,2.09,0.28,12.11,09:58:12,5.71,38700,5.72,26700,5.7185,2449
