,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,33.83,500,33.87,200,33.83,100
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,33.83,500,33.87,100,33.86,100
12,0.35,0.16,0.19,4.76,09:30:04,33.83,500,33.91,300,33.85,100
69,0.42,0.21,0.21,5.86,09:31:05,33.83,500,33.88,100,33.87,100
110,0.5,0.28,0.22,26.060000000000002,09:31:26,33.81,100,33.89,800,33.88,100
117,0.3,0.08,0.22,28.21,09:31:28,33.79,500,33.93,300,33.89,500
127,0.6000000000000001,0.27,0.33,32.04,09:31:32,33.8,700,33.93,200,33.92,200
169,0.27,0.07,0.2,47.85000000000001,09:31:47,33.81,200,33.93,100,33.9,100
175,0.32,0.14,0.18,49.800000000000004,09:31:49,33.82,600,33.93,100,33.93,200
258,0.39,0.22,0.17,26.549999999999994,09:32:26,34.0,200,34.01,400,34.0,100
264,0.24000000000000002,0.07,0.17,28.499999999999996,09:32:28,34.0,100,34.02,500,34.01,100
343,2.23,1.98,0.25,0.0,09:33:00,34.0,400,34.02,100,34.0085,100
350,3.75,3.46,0.29,5.78,09:33:05,34.02,100,34.03,100,34.0116,2000
354,2.19,1.96,0.23,9.16,09:33:09,34.01,200,34.03,400,34.02,100
362,2.69,2.48,0.21,15.6,09:33:15,34.02,200,34.04,200,34.03,100
365,0.42000000000000004,0.23,0.19,16.55,09:33:16,34.02,200,34.04,200,34.04,240
370,0.66,0.28,0.38,18.680000000000003,09:33:18,34.02,400,34.03,300,34.0217,100
387,0.42000000000000004,0.22,0.2,24.710000000000004,09:33:24,34.03,100,34.04,200,34.0353,2000
423,0.28,0.07,0.21,36.62000000000001,09:33:36,34.03,100,34.04,200,34.035,150
452,0.26,0.07,0.19,46.540000000000006,09:33:46,33.97,200,33.98,200,33.97,100
458,0.27,0.09,0.18,48.7,09:33:48,33.97,400,33.99,400,33.98,100
464,0.39,0.17,0.22,50.95,09:33:50,34.0,100,34.01,400,33.99,100
479,0.38,0.12,0.26,56.03000000000001,09:33:56,34.06,200,34.08,200,34.07,100
480,0.28,0.11,0.17,0.0,09:34:00,34.05,800,34.08,300,34.08,400
492,0.34,0.14,0.2,4.010000000000001,09:34:04,34.08,700,34.1,6500,34.09,100
508,1.78,1.57,0.21,11.239999999999998,09:34:11,34.15,400,34.16,100,34.15,100
509,2.14,1.95,0.19,13.379999999999999,09:34:13,34.16,100,34.18,300,34.17,100
513,2.17,1.87,0.3,16.61,09:34:16,34.1,400,34.13,100,34.1,600
514,3.77,3.6,0.17,20.38,09:34:20,34.07,200,34.1,200,34.06,100
561,0.26,0.08,0.18,40.00999999999999,09:34:40,34.05,600,34.08,1100,34.05,100
636,0.43,0.22,0.21,20.59,09:35:20,34.13,100,34.15,300,34.14,200
641,0.4,0.18,0.22,22.53,09:35:22,34.13,100,34.15,300,34.1347,1500
662,0.56,0.29,0.27,30.749999999999996,09:35:30,34.17,300,34.19,300,34.18,100
674,0.44999999999999996,0.21,0.24,34.75,09:35:34,34.17,600,34.19,300,34.1701,5000
677,0.42,0.21,0.21,35.86000000000001,09:35:35,34.19,100,34.2,500,34.19,200
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,34.19,100,34.22,400,34.22,121
701,0.26,0.08,0.18,44.800000000000004,09:35:44,34.21,200,34.24,2000,34.2,600
727,0.38,0.21,0.17,53.05000000000001,09:35:53,34.26,100,34.27,300,34.25,755
732,0.25,0.07,0.18,54.44000000000001,09:35:54,34.26,100,34.28,300,34.27,300
741,0.23,0.07,0.16,56.81000000000002,09:35:56,34.32,500,34.33,200,34.31,145
751,0.4,0.23,0.17,0.0,09:36:00,34.32,400,34.34,200,34.32,100
764,0.29,0.08,0.21,3.9400000000000004,09:36:03,34.33,400,34.35,47800,34.333,200
765,0.44000000000000006,0.17,0.27,4.380000000000001,09:36:04,34.33,400,34.35,47800,34.33,126
769,0.36000000000000004,0.08,0.28,9.370000000000001,09:36:09,34.3,1100,34.33,1300,34.3238,711
772,0.24000000000000002,0.07,0.17,12.05,09:36:12,34.31,400,34.34,3100,34.3269,150
785,0.42,0.21,0.21,22.46,09:36:22,34.35,300,34.39,300,34.38,147
790,0.38,0.09,0.29,24.490000000000002,09:36:24,34.35,500,34.39,300,34.37,100
800,0.44000000000000006,0.17,0.27,28.390000000000008,09:36:28,34.36,500,34.39,400,34.39,100
828,0.26,0.08,0.18,40.329999999999984,09:36:40,34.39,300,34.42,200,34.405,400
850,0.34,0.08,0.26,50.269999999999996,09:36:50,34.35,500,34.36,300,34.36,300
855,0.35000000000000003,0.07,0.28,52.44,09:36:52,34.41,600,34.43,400,34.43,800
860,0.29,0.08,0.21,54.279999999999994,09:36:54,34.42,500,34.43,400,34.421,500
875,0.42000000000000004,0.08,0.34,0.0,09:37:00,34.44,400,34.46,100,34.46,100
878,0.5900000000000001,0.07,0.52,1.7600000000000002,09:37:01,34.45,500,34.46,100,34.45,100
889,0.67,0.21,0.46,7.869999999999999,09:37:07,34.46,200,34.48,2400,34.464,400
893,0.28,0.07,0.21,9.77,09:37:09,34.47,200,34.49,500,34.48,100
898,1.7399999999999998,1.38,0.36,13.839999999999998,09:37:13,34.42,700,34.44,1000,34.41,100
901,2.69,2.4,0.29,18.139999999999997,09:37:18,34.44,500,34.45,1000,34.44,1000
902,0.39,0.14,0.25,18.529999999999998,09:37:18,34.47,400,34.49,500,34.49,300
914,0.41000000000000003,0.21,0.2,23.889999999999997,09:37:23,34.48,800,34.49,1000,34.4813,1500
918,0.49,0.14,0.35,25.749999999999996,09:37:25,34.48,300,34.49,100,34.4884,500
922,0.43,0.08,0.35,27.889999999999997,09:37:27,34.5,2600,34.52,500,34.51,300
934,0.35000000000000003,0.07,0.28,33.71,09:37:33,34.47,700,34.49,500,34.47,200
949,0.4,0.09,0.31,39.959999999999994,09:37:39,34.42,400,34.46,200,34.424,3900
954,0.47,0.21,0.26,41.829999999999984,09:37:41,34.42,1100,34.45,1000,34.42,100
970,0.46,0.2,0.26,47.84999999999998,09:37:47,34.44,400,34.45,900,34.435,100
984,0.41,0.12,0.29,53.639999999999965,09:37:53,34.44,900,34.45,900,34.4469,300
989,0.36,0.07,0.29,55.90999999999997,09:37:55,34.45,100,34.48,400,34.465,300
998,0.48,0.21,0.27,0.0,09:38:00,34.45,900,34.47,200,34.4669,100
1016,4.37,4.13,0.24,12.880000000000003,09:38:12,34.5,100,34.52,100,34.5,100
1028,0.34,0.08,0.26,17.89,09:38:17,34.5,200,34.52,100,34.5068,2000
1080,0.46,0.23,0.23,42.17999999999999,09:38:42,34.5,200,34.52,200,34.5116,200
1084,0.41000000000000003,0.17,0.24,43.72999999999998,09:38:43,34.5,200,34.52,100,34.52,100
1123,0.44999999999999996,0.21,0.24,0.0,09:39:00,34.53,100,34.54,100,34.53,100
1137,0.31,0.08,0.23,7.8,09:39:07,34.55,500,34.57,500,34.56,100
1142,0.37,0.18,0.19,9.600000000000001,09:39:09,34.52,100,34.55,600,34.54,100
1181,0.43,0.18,0.25,29.51000000000001,09:39:29,34.5,200,34.53,100,34.515,150
1295,0.29000000000000004,0.07,0.22,19.1,09:40:19,34.4,200,34.44,200,34.425,700
1319,0.49,0.28,0.21,27.800000000000004,09:40:27,34.39,300,34.43,200,34.416,100
1401,0.29000000000000004,0.1,0.19,1.8,09:41:01,34.42,200,34.45,200,34.431,400
1456,0.37,0.15,0.22,27.689999999999998,09:41:27,34.43,200,34.46,200,34.445,1600
1503,0.3,0.08,0.22,43.91999999999999,09:41:43,34.43,300,34.46,400,34.4323,100
1600,0.33,0.08,0.25,33.92999999999999,09:42:33,34.46,100,34.49,1400,34.475,200
1658,0.76,0.29,0.47,58.21999999999998,09:42:58,34.39,200,34.41,200,34.4,100
1686,0.31,0.07,0.24,5.789999999999999,09:43:05,34.38,500,34.4,500,34.385,300
1778,0.48,0.21,0.27,45.830000000000005,09:43:45,34.37,200,34.4,200,34.3855,200
1815,0.33,0.07,0.26,4.07,09:44:04,34.41,200,34.43,100,34.411,330
1847,0.46,0.18,0.28,21.99,09:44:21,34.44,400,34.46,600,34.443000000000005,700
1868,0.33999999999999997,0.12,0.22,30.06,09:44:30,34.43,500,34.45,100,34.4498,100
1962,0.38,0.08,0.3,2.25,09:45:02,34.49,100,34.5,100,34.495,100
1969,5.109999999999999,4.93,0.18,9.59,09:45:09,34.49,500,34.5,200,34.4943,100
2001,0.5800000000000001,0.27,0.31,26.28000000000001,09:45:26,34.5,600,34.51,200,34.505,100
2025,0.35000000000000003,0.08,0.27,36.00000000000001,09:45:36,34.53,200,34.54,100,34.525,125
2052,0.39,0.15,0.24,46.16000000000001,09:45:46,34.52,100,34.53,700,34.531,135
2103,0.44999999999999996,0.21,0.24,8.159999999999998,09:46:08,34.51,400,34.52,900,34.510999999999996,400
2107,2.08,1.85,0.23,11.409999999999998,09:46:11,34.51,400,34.52,1000,34.5162,200
2145,0.32,0.14,0.18,32.03,09:46:32,34.48,400,34.5,200,34.482,200
2158,0.32999999999999996,0.09,0.24,36.34,09:46:36,34.48,500,34.49,100,34.485,100
