,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,105.43,200,105.84,300,105.53,100
32,0.43,0.21,0.22,12.59,09:30:12,105.21,300,105.48,100,105.47,100
77,1.79,1.43,0.36,0.0,09:31:00,105.15,500,105.48,400,105.3355,2000
117,0.3,0.08,0.22,15.54,09:31:15,105.16,100,105.48,400,105.48,100
144,0.46,0.18,0.28,25.620000000000005,09:31:25,105.16,100,105.48,300,105.22,100
148,0.4,0.08,0.32,27.3,09:31:27,105.16,100,105.48,300,105.2,100
156,0.48,0.21,0.27,31.360000000000003,09:31:31,105.18,100,105.48,300,105.43,100
214,0.33999999999999997,0.18,0.16,0.0,09:32:00,105.24,100,105.45,200,105.35,100
320,0.69,0.28,0.41,34.70999999999999,09:32:34,105.24,200,105.45,200,105.353,1000
387,0.42000000000000004,0.22,0.2,0.0,09:33:00,105.26,100,105.39,100,105.26,100
515,1.4000000000000001,1.06,0.34,0.0,09:34:00,105.24,100,105.38,300,105.37,100
594,0.38,0.14,0.24,30.499999999999993,09:34:30,105.23,100,105.38,300,105.29,100
614,0.38,0.08,0.3,0.0,09:35:00,105.23,100,105.38,300,105.305,100
636,0.43,0.22,0.21,20.59,09:35:20,105.23,100,105.36,200,105.295,100
765,0.44000000000000006,0.17,0.27,0.0,09:36:00,105.45,100,105.55,400,105.45,100
767,1.8299999999999998,1.63,0.2,2.23,09:36:02,105.4,100,105.53,400,105.41,110
774,2.31,2.11,0.2,10.230000000000002,09:36:10,105.35,200,105.5,200,105.4,200
795,0.33,0.1,0.23,21.930000000000007,09:36:21,105.35,100,105.48,100,105.351,116
822,0.30000000000000004,0.07,0.23,33.760000000000005,09:36:33,105.35,100,105.48,100,105.39,100
837,0.67,0.44,0.23,39.870000000000005,09:36:39,105.29,200,105.37,100,105.31,100
866,0.42,0.21,0.21,52.170000000000016,09:36:52,105.34,100,105.62,100,105.36,100
931,0.5,0.07,0.43,0.0,09:37:00,105.28,100,105.36,100,105.38,100
934,0.35000000000000003,0.07,0.28,1.4700000000000002,09:37:01,105.24,100,105.36,100,105.28,100
970,0.46,0.2,0.26,15.610000000000005,09:37:15,105.25,100,105.39,100,105.32,300
1137,0.31,0.08,0.23,7.8,09:39:07,105.15,400,105.27,100,105.25,100
1142,0.37,0.18,0.19,9.600000000000001,09:39:09,105.17,100,105.34,100,105.27,100
1161,0.37,0.09,0.28,21.900000000000002,09:39:21,105.18,100,105.32,100,105.2558,1200
1172,0.31,0.07,0.24,25.76,09:39:25,105.16,100,105.3,100,105.1968,100
1197,0.53,0.17,0.36,35.73000000000002,09:39:35,105.17,200,105.34,100,105.235,100
1362,0.4,0.2,0.2,0.0,09:40:00,105.17,100,105.3,100,105.24,100
1387,0.5700000000000001,0.27,0.3,10.540000000000001,09:40:10,105.15,100,105.26,500,105.15,100
1427,0.33,0.13,0.2,0.0,09:41:00,105.15,100,105.26,600,105.205,100
1451,0.31,0.08,0.23,14.02,09:41:14,105.15,100,105.26,100,105.1783,300
1606,0.48,0.22,0.26,12.19,09:42:12,105.15,100,105.31,100,105.2371,300
1904,0.4,0.2,0.2,0.0,09:44:00,105.32,300,105.43,100,105.34,100
1909,0.31,0.11,0.2,1.7000000000000002,09:44:01,105.32,200,105.45,100,105.385,100
1951,0.39,0.2,0.19,0.0,09:45:00,105.41,100,105.53,100,105.52,100
1996,0.37,0.12,0.25,26.14,09:45:26,105.23,100,105.37,100,105.2301,199
2005,0.43,0.07,0.36,30.040000000000006,09:45:30,105.26,100,105.38,100,105.33,100
2020,0.47,0.26,0.21,36.07000000000002,09:45:36,105.28,100,105.4,100,105.32600000000001,150
2110,0.37,0.1,0.27,0.0,09:46:00,105.42,100,105.52,100,105.455,100
2118,2.44,2.1,0.34,9.219999999999999,09:46:09,105.47,100,105.59,100,105.525,100
2145,0.32,0.14,0.18,19.610000000000003,09:46:19,105.49,200,105.64,100,105.64,100
2239,0.28,0.07,0.21,0.0,09:47:00,105.67,100,105.78,100,105.68,100
2245,0.37,0.08,0.29,2.3200000000000003,09:47:02,105.67,200,105.78,100,105.76,100
2263,1.56,1.22,0.34,14.930000000000001,09:47:14,105.67,100,105.78,100,105.67,119
2273,0.37,0.2,0.17,17.86,09:47:17,105.67,100,105.78,100,105.725,100
2373,0.39,0.2,0.19,0.0,09:48:00,105.7,100,105.78,100,105.74,100
2469,0.37,0.09,0.28,40.04999999999999,09:48:40,105.61,100,105.72,200,105.6782,170
2586,0.54,0.24,0.3,0.0,09:49:00,105.71,300,105.8,300,105.72,100
2638,0.33,0.1,0.23,19.739999999999995,09:49:19,105.67,300,105.8,300,105.7266,300
2712,0.5,0.27,0.23,0.0,09:50:00,105.69,300,105.8,300,105.745,300
