,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,32.0,100,32.15,500,32.09,100
42,0.32,0.07,0.25,16.54,09:30:16,32.0,500,32.15,1100,32.075,4000
45,0.32,0.09,0.23,0.0,09:31:00,32.0,100,32.15,1000,32.14,100
59,0.33,0.1,0.23,6.52,09:31:06,32.0,100,32.15,1000,32.0887,2500
94,0.27,0.07,0.2,26.520000000000003,09:31:26,32.0,100,32.14,1000,32.0924,150
181,0.34,0.17,0.17,58.28000000000002,09:31:58,32.12,600,32.19,100,32.15,100
202,2.2199999999999998,2.03,0.19,0.0,09:32:00,32.13,400,32.15,100,32.16,100
227,0.36,0.19,0.17,9.19,09:32:09,32.14,400,32.17,100,32.155,200
332,0.25,0.07,0.18,43.519999999999996,09:32:43,32.14,100,32.16,100,32.1589,268
365,0.42000000000000004,0.23,0.19,16.189999999999998,09:33:16,32.15,100,32.17,100,32.1699,300
375,0.32,0.15,0.17,20.150000000000002,09:33:20,32.11,100,32.14,300,32.13,100
480,0.28,0.11,0.17,0.0,09:34:00,32.14,300,32.17,100,32.17,100
522,0.33,0.07,0.26,24.469999999999995,09:34:24,32.17,100,32.18,200,32.18,200
531,0.51,0.17,0.34,28.27999999999999,09:34:28,32.23,400,32.24,100,32.24,400
535,0.39,0.08,0.31,30.049999999999994,09:34:30,32.23,200,32.24,100,32.23,100
551,0.47,0.25,0.22,35.97,09:34:35,32.22,200,32.24,400,32.22,200
618,0.34,0.07,0.27,5.17,09:35:05,32.21,1100,32.23,300,32.235,200
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,32.24,100,32.26,200,32.25,100
833,0.39,0.16,0.23,30.339999999999993,09:36:30,32.18,400,32.2,200,32.19,100
922,0.43,0.08,0.35,4.0,09:37:04,32.19,200,32.2,200,32.2,100
934,0.35000000000000003,0.07,0.28,9.82,09:37:09,32.17,100,32.18,300,32.175,200
1137,0.31,0.08,0.23,4.06,09:39:04,32.2,300,32.21,200,32.21,100
1261,0.35,0.17,0.18,0.0,09:40:00,32.2,200,32.22,200,32.2075,100
1319,0.49,0.28,0.21,30.119999999999997,09:40:30,32.19,200,32.2,200,32.195,400
1330,0.38,0.19,0.19,33.98,09:40:33,32.19,200,32.2,100,32.1966,100
1391,0.49,0.22,0.27,58.19999999999999,09:40:58,32.18,200,32.19,300,32.185,200
1469,0.56,0.23,0.33,31.91,09:41:31,32.2,100,32.21,500,32.205,200
1605,0.39,0.09,0.3,33.81999999999999,09:42:33,32.2,300,32.21,100,32.215,100
1810,0.54,0.21,0.33,0.0,09:44:00,32.22,300,32.23,200,32.225,200
2528,0.48000000000000004,0.2,0.28,0.0,09:49:00,32.23,300,32.24,400,32.2358,136
2751,5.26,5.09,0.17,52.030000000000015,09:50:52,32.18,500,32.19,600,32.1801,100
2978,0.38,0.21,0.17,26.000000000000007,09:52:26,32.17,400,32.18,800,32.1748,192
3500,0.47,0.22,0.25,56.16000000000002,09:55:56,32.23,700,32.24,400,32.2399,124
3522,0.33,0.07,0.26,5.89,09:56:05,32.23,700,32.24,400,32.2367,300
3563,0.33,0.07,0.26,28.089999999999996,09:56:28,32.24,400,32.25,500,32.245,600
3740,0.38,0.17,0.21,41.970000000000006,09:57:41,32.25,600,32.26,400,32.26,100
3765,0.4,0.2,0.2,49.839999999999996,09:57:49,32.25,500,32.26,500,32.255,200
3809,0.25,0.07,0.18,0.0,09:58:00,32.28,600,32.29,400,32.28,900
3821,0.39,0.23,0.16,14.9,09:58:14,32.27,600,32.28,300,32.275,100
3858,0.35,0.16,0.19,26.80000000000001,09:58:26,32.27,100,32.28,400,32.27,100
3930,0.26,0.07,0.19,0.0,09:59:00,32.28,400,32.29,500,32.285,100
3941,2.56,2.22,0.34,5.35,09:59:05,32.26,300,32.27,800,32.265,100
3996,0.24000000000000002,0.07,0.17,27.719999999999995,09:59:27,32.29,700,32.3,1100,32.29,100
4014,0.34,0.17,0.17,33.86,09:59:33,32.29,700,32.3,900,32.295,100
4028,0.4,0.23,0.17,37.95000000000001,09:59:37,32.3,1200,32.31,200,32.3,100
4034,0.4,0.23,0.17,39.81000000000001,09:59:39,32.31,700,32.32,400,32.31,100
4104,3.3400000000000003,2.95,0.39,4.970000000000001,10:00:04,32.31,500,32.32,500,32.315,100
4107,0.32,0.07,0.25,6.100000000000001,10:00:06,32.34,600,32.35,200,32.34,100
4141,0.54,0.18,0.36,26.110000000000003,10:00:26,32.33,500,32.34,500,32.33,100
4145,0.45000000000000007,0.17,0.28,28.160000000000004,10:00:28,32.32,500,32.33,800,32.335,200
4223,0.41000000000000003,0.18,0.23,13.82,10:01:13,32.36,500,32.37,100,32.3666,2000
4226,0.59,0.24,0.35,15.58,10:01:15,32.37,500,32.38,300,32.37,100
4238,0.27,0.07,0.2,21.480000000000004,10:01:21,32.35,200,32.36,800,32.35,100
4317,0.26,0.08,0.18,47.42000000000004,10:01:47,32.34,700,32.35,200,32.355,200
4342,0.28,0.1,0.18,55.38000000000005,10:01:55,32.34,600,32.35,400,32.345,300
4392,0.27,0.09,0.18,24.009999999999998,10:02:24,32.38,600,32.39,800,32.38,100
4410,0.38,0.09,0.29,30.20999999999999,10:02:30,32.38,600,32.39,200,32.39,100
4438,0.32,0.08,0.24,40.00000000000001,10:02:40,32.38,600,32.39,200,32.3889,100
4443,0.28,0.08,0.2,41.94000000000001,10:02:41,32.4,700,32.41,600,32.4,100
4484,0.4,0.18,0.22,56.29000000000003,10:02:56,32.37,200,32.38,800,32.3766,100
4514,1.45,1.22,0.23,5.980000000000001,10:03:05,32.36,300,32.37,500,32.365,200
4969,0.24000000000000002,0.07,0.17,17.659999999999997,10:06:17,32.31,300,32.32,800,32.313,100
4976,0.31,0.09,0.22,19.769999999999996,10:06:19,32.3,500,32.31,400,32.305,100
4988,0.27,0.07,0.2,23.789999999999992,10:06:23,32.29,400,32.3,400,32.2908,100
4994,0.45999999999999996,0.22,0.24,26.109999999999996,10:06:26,32.29,400,32.3,600,32.2907,100
5310,0.31,0.07,0.24,22.73999999999999,10:08:22,32.29,1200,32.3,400,32.2999,475
5462,168.17,168.0,0.17,0.0,10:12:00,32.32,700,32.33,600,32.32,100
5503,0.5700000000000001,0.37,0.2,12.43,10:12:12,32.32,900,32.33,600,32.325,100
5983,0.25,0.07,0.18,53.650000000000034,10:15:53,32.34,1200,32.35,200,32.3499,100
6271,0.69,0.24,0.45,0.0,10:18:00,32.34,1500,32.35,700,32.3487,500
6289,0.37,0.18,0.19,8.809999999999999,10:18:08,32.36,1200,32.37,300,32.36,100
6318,52.14,51.78,0.36,0.0,10:19:00,32.37,900,32.38,400,32.375,100
6442,0.36,0.15,0.21,0.0,10:20:00,32.38,1200,32.39,700,32.385,200
6454,0.43000000000000005,0.17,0.26,5.89,10:20:05,32.38,1100,32.39,700,32.389,163
6472,0.35000000000000003,0.08,0.27,13.749999999999998,10:20:13,32.42,1000,32.43,400,32.43,100
6483,0.36,0.14,0.22,17.8,10:20:17,32.43,800,32.44,600,32.435,100
6516,0.39,0.19,0.2,30.049999999999997,10:20:30,32.44,1000,32.45,900,32.44,100
6521,0.43,0.22,0.21,32.09,10:20:32,32.44,1100,32.45,100,32.45,100
6542,0.32,0.08,0.24,2.07,10:21:02,32.45,1100,32.46,600,32.455,100
6559,0.6000000000000001,0.07,0.53,10.14,10:21:10,32.46,2800,32.47,400,32.48,100
6563,0.71,0.23,0.48,12.68,10:21:12,32.45,600,32.46,600,32.46,100
6684,0.38,0.08,0.3,43.41000000000001,10:22:43,32.41,600,32.42,200,32.42,100
6708,0.37,0.09,0.28,53.35,10:22:53,32.4,600,32.41,200,32.405,100
6734,2.37,1.92,0.45,7.67,10:23:07,32.4,600,32.41,300,32.41,100
6854,0.25,0.07,0.18,0.0,10:24:00,32.42,500,32.43,500,32.425,100
6984,0.42,0.07,0.35,2.9299999999999997,10:25:02,32.41,1100,32.42,200,32.415,100
7228,0.27,0.07,0.2,14.980000000000002,10:27:14,32.41,800,32.42,900,32.4149,100
7237,0.47000000000000003,0.2,0.27,19.17,10:27:19,32.41,700,32.42,1000,32.4146,156
7566,0.52,0.19,0.33,43.27,10:29:43,32.46,2100,32.47,400,32.47,172
7590,0.26,0.07,0.19,9.63,10:30:09,32.46,1300,32.47,600,32.465,100
7704,0.29000000000000004,0.07,0.22,0.0,10:31:00,32.44,800,32.45,1400,32.445,100
7766,0.30000000000000004,0.07,0.23,31.970000000000006,10:31:31,32.43,1300,32.44,400,32.4342,250
7952,0.41000000000000003,0.21,0.2,0.0,10:34:00,32.47,700,32.48,400,32.475,100
8111,0.62,0.08,0.54,23.820000000000004,10:35:23,32.44,1200,32.45,800,32.4428,110
8340,2.96,2.43,0.53,0.0,10:38:00,32.47,700,32.48,1000,32.4766,125
8343,2.58,1.97,0.61,4.2,10:38:04,32.48,600,32.49,1200,32.49,100
8377,0.61,0.17,0.44,24.840000000000003,10:38:24,32.48,500,32.49,900,32.485,100
8436,0.8300000000000001,0.27,0.56,22.009999999999998,10:39:22,32.43,400,32.44,700,32.4356,150
9117,1.5699999999999998,1.0,0.57,14.81,10:47:14,32.21,800,32.22,100,32.2156,100
9122,0.6000000000000001,0.07,0.53,17.810000000000002,10:47:17,32.2,300,32.21,100,32.2125,100
9147,0.44,0.07,0.37,31.859999999999992,10:47:31,32.2,100,32.21,500,32.2046,260
9264,0.6,0.24,0.36,36.98999999999999,10:48:36,32.17,100,32.18,500,32.1725,100
9335,0.7699999999999999,0.08,0.69,36.420000000000016,10:49:36,32.16,700,32.17,900,32.165,100
9381,3.3899999999999997,2.88,0.51,11.989999999999998,10:50:11,32.16,100,32.17,1300,32.1657,100
9573,0.62,0.21,0.41,28.40000000000001,10:52:28,32.18,300,32.2,700,32.1964,700
9756,118.97,118.36,0.61,0.0,10:56:00,32.2,400,32.21,800,32.2058,1896
9941,0.44,0.07,0.37,30.02,10:58:30,32.19,200,32.2,1700,32.1983,625
10338,0.8200000000000001,0.07,0.75,12.599999999999998,11:05:12,32.14,600,32.15,1200,32.145,100
10377,0.45,0.08,0.37,39.80000000000002,11:05:39,32.14,600,32.15,1700,32.1443,100
10389,0.64,0.22,0.42,46.41000000000002,11:05:46,32.14,1700,32.15,1600,32.135,100
10499,0.56,0.07,0.49,41.14,11:06:41,32.2,1500,32.21,500,32.2025,100
10724,0.62,0.18,0.44,13.389999999999997,11:09:13,32.2,100,32.21,1100,32.2083,1500
11195,0.5800000000000001,0.12,0.46,45.19999999999998,11:14:45,32.2,1000,32.21,1500,32.207,152
11923,0.63,0.08,0.55,0.0,11:25:00,32.25,2000,32.26,1000,32.2574,100
12029,0.59,0.1,0.49,35.82000000000001,11:26:35,32.25,2100,32.26,1100,32.2599,100
12879,0.35,0.15,0.2,0.0,11:42:00,32.21,700,32.22,2500,32.217,175
14799,0.25,0.07,0.18,0.0,11:56:00,32.21,800,32.22,1400,32.2193,3056
14953,0.36,0.17,0.19,57.450000000000045,11:56:57,32.21,1100,32.22,1400,32.2188,385
15249,0.35000000000000003,0.08,0.27,51.77,11:58:51,32.24,900,32.25,1000,32.2432,350
15927,0.30000000000000004,0.07,0.23,26.020000000000003,12:03:26,32.27,1200,32.28,2100,32.2752,775
16271,0.27,0.07,0.2,9.780000000000003,12:05:09,32.27,1500,32.28,1300,32.2754,225
16454,0.36,0.18,0.18,41.73999999999998,12:06:41,32.27,1400,32.28,1500,32.2767,250
16624,0.27,0.07,0.2,53.13000000000004,12:07:53,32.27,1400,32.28,1700,32.277,300
17880,0.29000000000000004,0.09,0.2,55.83000000000004,12:15:55,32.27,500,32.28,2100,32.2746,125
18074,2.85,2.68,0.17,7.83,12:17:07,32.27,900,32.28,2100,32.271,100
18617,0.39,0.21,0.18,16.540000000000003,12:20:16,32.27,1000,32.28,2000,32.2773,150
19303,0.59,0.08,0.51,0.0,12:25:00,32.27,1700,32.28,1200,32.2735,325
19882,0.41000000000000003,0.24,0.17,0.0,12:29:00,32.31,1100,32.32,500,32.3199,2437
21456,0.24000000000000002,0.07,0.17,14.880000000000004,12:39:14,32.26,500,32.27,1400,32.2651,395
21786,149.10999999999999,148.89,0.22,0.0,12:44:00,32.29,1000,32.3,900,32.2934,100
22032,0.7,0.38,0.32,4.960000000000001,12:46:04,32.27,900,32.28,1000,32.2763,614
24088,0.28,0.07,0.21,23.19,13:00:23,32.27,800,32.28,700,32.2757,250
24179,0.23,0.07,0.16,21.529999999999998,13:01:21,32.27,400,32.28,1100,32.2747,222
24649,0.41000000000000003,0.24,0.17,26.07,13:04:26,32.26,600,32.27,1400,32.2631,125
26606,1.22,0.07,1.15,0.0,13:27:00,32.28,1500,32.29,1200,32.2856,200
26898,1.21,0.17,1.04,30.200000000000003,13:33:30,32.28,700,32.29,900,32.2889,100
27317,1.1900000000000002,0.07,1.12,12.209999999999999,13:43:12,32.26,1200,32.27,500,32.2662,201
27394,0.99,0.08,0.91,43.8,13:44:43,32.25,1000,32.26,600,32.2533,100
27539,1.1900000000000002,0.07,1.12,31.59000000000001,13:47:31,32.28,1800,32.29,600,32.2857,200
27547,1.1900000000000002,0.07,1.12,1.1900000000000002,13:48:01,32.28,1400,32.29,400,32.287,656
27577,0.8099999999999999,0.08,0.73,36.99,13:48:36,32.28,1100,32.29,500,32.2875,100
27721,1.2000000000000002,0.27,0.93,0.0,13:51:00,32.29,800,32.3,500,32.293,185
27722,3.8,2.78,1.02,3.8,13:51:03,32.29,900,32.3,500,32.2968,172
27858,0.82,0.08,0.74,9.8,13:53:09,32.29,1500,32.3,1400,32.2946,150
28521,1.1800000000000002,0.08,1.1,0.0,14:07:00,32.33,1200,32.34,2100,32.3382,800
28557,1.02,0.08,0.94,51.040000000000006,14:07:51,32.33,1200,32.34,2000,32.3334,352
28637,1.01,0.13,0.88,19.600000000000005,14:09:19,32.36,1500,32.37,500,32.361,138
28680,1.2000000000000002,0.08,1.12,17.99,14:10:17,32.37,1300,32.38,500,32.3745,313
28695,1.21,0.07,1.14,35.989999999999995,14:10:35,32.37,1300,32.38,700,32.376999999999995,155
28787,3.0100000000000002,2.33,0.68,0.0,14:12:00,32.39,1100,32.4,1300,32.395,100
28828,0.8200000000000001,0.07,0.75,36.589999999999996,14:12:36,32.39,1100,32.4,1300,32.3978,2300
28903,0.98,0.29,0.69,14.380000000000003,14:14:14,32.39,1000,32.4,1500,32.3966,164
28928,1.16,0.33,0.83,38.559999999999995,14:14:38,32.39,1100,32.4,1500,32.3945,320
29141,0.81,0.07,0.74,34.440000000000005,14:18:34,32.37,700,32.38,1800,32.3757,132
29368,0.62,0.14,0.48,48.230000000000025,14:21:48,32.29,1000,32.3,1700,32.2959,237
29490,0.6000000000000001,0.28,0.32,10.19,14:23:10,32.29,800,32.3,1100,32.2966,320
29724,0.63,0.19,0.44,42.23000000000001,14:25:42,32.32,400,32.33,1200,32.3282,1575
30037,0.74,0.07,0.67,13.199999999999998,14:29:13,32.34,700,32.35,1500,32.3442,141
30451,0.7799999999999999,0.21,0.57,7.85,14:34:07,32.36,1100,32.37,900,32.3626,160
30493,0.6300000000000001,0.07,0.56,5.59,14:36:05,32.36,1400,32.37,1400,32.3657,124
30624,0.62,0.19,0.43,15.25,14:38:15,32.35,1400,32.36,600,32.3475,100
30848,0.63,0.2,0.43,34.39,14:40:34,32.34,800,32.35,1500,32.3483,1270
30890,0.8300000000000001,0.28,0.55,16.78,14:41:16,32.34,1400,32.35,1800,32.3492,100
31035,0.5900000000000001,0.25,0.34,8.410000000000002,14:43:08,32.34,1100,32.35,2200,32.3411,100
31234,0.75,0.19,0.56,29.799999999999997,14:45:29,32.32,1600,32.33,900,32.327,233
31419,0.58,0.21,0.37,0.0,14:48:00,32.35,2300,32.36,1200,32.3566,300
31452,0.62,0.25,0.37,28.42,14:48:28,32.35,1900,32.36,1100,32.3544,285
31896,0.6,0.18,0.42,17.77,14:53:17,32.35,600,32.36,1200,32.3546,335
33221,0.6,0.22,0.38,43.79000000000002,15:10:43,32.35,2900,32.36,1400,32.3582,960
33393,0.6,0.21,0.39,36.400000000000006,15:12:36,32.35,3200,32.36,1600,32.3557,216
33693,0.5900000000000001,0.07,0.52,0.0,15:16:00,32.35,1700,32.36,1400,32.3515,150
33762,0.6,0.08,0.52,51.730000000000004,15:16:51,32.35,1500,32.36,1800,32.357,120
33868,4.59,3.97,0.62,9.2,15:18:09,32.35,1600,32.36,1800,32.3565,500
34106,0.75,0.07,0.68,56.56000000000001,15:20:56,32.34,1200,32.35,1600,32.3445,236
35282,0.75,0.21,0.54,0.0,15:35:00,32.35,1000,32.36,1600,32.3525,420
35423,0.59,0.21,0.38,31.750000000000004,15:36:31,32.34,700,32.35,1700,32.3425,100
35434,0.57,0.08,0.49,37.91,15:36:37,32.34,700,32.35,1600,32.3457,700
35879,0.6300000000000001,0.07,0.56,48.030000000000015,15:41:48,32.34,3100,32.35,4400,32.3498,150
36560,0.44,0.08,0.36,45.640000000000015,15:49:45,32.35,2500,32.36,4700,32.351,122
36921,0.58,0.17,0.41,23.59,15:54:23,32.35,1400,32.36,900,32.3599,103
36928,0.56,0.12,0.44,27.57,15:54:27,32.35,1300,32.36,1000,32.3559,1000
37054,3.4,2.83,0.57,0.0,15:56:00,32.33,5300,32.34,6100,32.3361,101
37066,0.5700000000000001,0.23,0.34,10.620000000000001,15:56:10,32.33,5700,32.34,6300,32.3399,100
37122,0.44,0.14,0.3,46.67000000000002,15:56:46,32.33,6900,32.34,6900,32.3357,100
