,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,61.28,800,61.4,100,61.29,140
45,0.32,0.09,0.23,0.0,09:31:00,61.2,10000,61.36,200,61.28,100
46,0.35000000000000003,0.08,0.27,0.35000000000000003,09:31:00,61.2,10000,61.36,100,61.285,100
99,0.27,0.07,0.2,28.39,09:31:28,61.2,10000,61.36,100,61.22,100
186,0.29,0.08,0.21,0.0,09:32:00,61.07,100,61.19,100,61.12,100
200,2.27,2.05,0.22,8.01,09:32:08,61.08,400,61.18,100,61.08,300
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,61.04,400,61.12,200,61.07,100
246,0.36,0.18,0.18,30.23999999999999,09:32:30,61.07,100,61.18,200,61.1417,300
320,0.69,0.28,0.41,54.9,09:32:54,61.01,200,61.11,300,61.02,194
412,0.47000000000000003,0.27,0.2,26.779999999999994,09:33:26,61.03,100,61.11,400,61.03,100
531,0.51,0.17,0.34,0.0,09:34:00,61.05,300,61.11,400,61.05,100
551,0.47,0.25,0.22,7.690000000000001,09:34:07,61.05,300,61.11,400,61.104,100
561,0.26,0.08,0.18,11.730000000000002,09:34:11,61.05,300,61.11,400,61.11,200
657,0.54,0.28,0.26,0.0,09:35:00,61.06,200,61.1,200,61.06,100
767,1.8299999999999998,1.63,0.2,2.23,09:36:02,61.01,200,61.04,300,61.04,100
850,0.34,0.08,0.26,45.89000000000001,09:36:45,61.01,200,61.08,100,61.065,375
889,0.67,0.21,0.46,0.0,09:37:00,61.02,100,61.11,100,61.09,100
892,0.5,0.24,0.26,1.62,09:37:01,61.03,100,61.11,200,61.075,100
905,0.42000000000000004,0.1,0.32,11.880000000000003,09:37:11,61.03,100,61.12,200,61.119,100
1028,0.34,0.08,0.26,0.0,09:38:00,61.03,100,61.07,200,61.0474,100
1137,0.31,0.08,0.23,0.0,09:39:00,61.03,100,61.07,200,61.0498,100
1152,0.44,0.2,0.24,7.75,09:39:07,61.01,200,61.05,200,61.0366,200
1211,0.45,0.2,0.25,34.07000000000001,09:39:34,61.0,200,61.04,200,61.01,100
1231,0.29,0.08,0.21,41.610000000000014,09:39:41,61.0,100,61.02,200,61.0087,200
1272,0.46,0.23,0.23,0.0,09:40:00,60.99,100,61.01,200,61.0,100
1314,0.45999999999999996,0.21,0.25,22.1,09:40:22,60.99,100,61.02,300,61.005,100
1330,0.38,0.19,0.19,27.769999999999996,09:40:27,60.98,100,61.02,300,60.99,100
1456,0.37,0.15,0.22,19.83,09:41:19,60.95,500,60.99,100,60.98,100
1523,0.47,0.09,0.38,44.150000000000006,09:41:44,60.96,100,60.99,200,60.975,100
1547,0.47,0.22,0.25,0.0,09:42:00,60.9,400,60.93,200,60.94,500
1554,4.06,3.67,0.39,6.65,09:42:06,60.92,300,60.96,200,60.93,100
1577,0.48,0.17,0.31,22.11,09:42:22,60.93,100,60.96,200,60.945,100
1600,0.33,0.08,0.25,32.019999999999996,09:42:32,60.93,100,60.96,200,60.9432,100
1654,0.45999999999999996,0.15,0.31,54.08999999999998,09:42:54,60.93,100,61.0,300,60.96,126
1671,0.37,0.09,0.28,0.0,09:43:00,60.93,100,61.0,100,60.965,100
1703,1.58,1.25,0.33,17.48,09:43:17,60.93,200,60.97,200,60.97,100
1721,0.32,0.08,0.24,24.319999999999997,09:43:24,60.96,100,61.01,100,60.9819,170
1904,0.4,0.2,0.2,0.0,09:44:00,60.94,200,61.03,200,60.931000000000004,100
1933,0.41000000000000003,0.18,0.23,9.809999999999999,09:44:09,60.94,400,61.03,100,60.95,100
2259,0.29,0.08,0.21,0.0,09:47:00,60.93,200,60.96,200,60.958999999999996,250
2279,0.5,0.21,0.29,8.34,09:47:08,60.86,300,60.91,500,60.9,100
2358,0.36000000000000004,0.08,0.28,38.239999999999995,09:47:38,60.83,100,60.86,300,60.845,100
2363,0.47,0.17,0.3,40.43999999999998,09:47:40,60.8,600,60.86,300,60.86,119
2368,0.33,0.1,0.23,42.18999999999998,09:47:42,60.8,500,60.86,300,60.81,100
2373,0.39,0.2,0.19,0.0,09:48:00,60.83,100,60.88,200,60.8799,150
2383,0.44,0.26,0.18,3.8000000000000003,09:48:03,60.83,100,60.87,200,60.87,100
2388,0.28,0.07,0.21,5.620000000000001,09:48:05,60.83,100,60.87,200,60.8492,250
