,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,58.24,800,58.39,100,58.44,100
16,0.32,0.08,0.24,6.53,09:30:06,58.24,100,58.38,400,58.37,100
64,2.08,1.88,0.2,0.0,09:31:00,58.24,100,58.38,600,58.35,200
138,0.38,0.07,0.31,32.470000000000006,09:31:32,58.19,300,58.28,100,58.22,100
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,58.17,100,58.2,200,58.17,100
209,1.96,1.75,0.21,18.8,09:32:18,58.17,100,58.21,500,58.2,100
221,0.26,0.08,0.18,22.34,09:32:22,58.17,200,58.21,200,58.21,100
258,0.39,0.22,0.17,34.55999999999999,09:32:34,58.05,200,58.17,200,58.06,100
320,0.69,0.28,0.41,54.9,09:32:54,57.94,100,57.98,100,58.0,146
332,0.25,0.07,0.18,58.52,09:32:58,58.0,100,58.03,100,58.03,100
352,0.35,0.18,0.17,0.61,09:33:00,57.96,100,58.03,200,57.99,100
354,2.19,1.96,0.23,3.38,09:33:03,57.95,100,58.03,200,57.96,100
359,0.35,0.18,0.17,6.649999999999999,09:33:06,57.95,100,58.03,700,57.9501,100
399,0.38,0.21,0.17,22.759999999999998,09:33:22,57.98,100,58.03,100,58.005,100
457,0.33,0.13,0.2,42.65,09:33:42,57.95,200,58.02,500,57.95,100
516,0.42000000000000004,0.2,0.22,20.060000000000002,09:34:20,57.96,300,58.01,200,57.97,200
577,0.43,0.14,0.29,44.15999999999999,09:34:44,57.88,500,57.91,200,57.89,100
588,0.29000000000000004,0.07,0.22,47.87999999999999,09:34:47,57.78,200,57.84,200,57.83,100
594,0.38,0.14,0.24,50.13999999999999,09:34:50,57.79,100,57.85,2000,57.84,200
600,0.35000000000000003,0.08,0.27,52.24999999999999,09:34:52,57.85,100,57.88,300,57.825,100
604,0.4,0.12,0.28,54.07999999999999,09:34:54,57.69,100,57.75,100,57.7,100
621,0.33,0.07,0.26,0.0,09:35:00,57.63,200,57.69,200,57.67,100
622,3.44,3.13,0.31,3.44,09:35:03,57.6,100,57.69,100,57.63,100
632,0.29000000000000004,0.07,0.22,12.329999999999998,09:35:12,57.6,100,57.69,400,57.68,161
641,0.4,0.18,0.22,16.18,09:35:16,57.63,200,57.68,400,57.645,100
647,0.43000000000000005,0.16,0.27,18.419999999999998,09:35:18,57.64,100,57.68,400,57.65,100
653,0.44,0.22,0.22,20.490000000000002,09:35:20,57.59,200,57.67,200,57.62,100
662,0.56,0.29,0.27,24.399999999999995,09:35:24,57.61,100,57.67,700,57.64,100
674,0.44999999999999996,0.21,0.24,28.399999999999995,09:35:28,57.6,100,57.67,700,57.61,100
686,0.6200000000000001,0.28,0.34,32.97,09:35:32,57.63,100,57.71,200,57.71,100
785,0.42,0.21,0.21,2.3100000000000005,09:36:02,57.65,200,57.72,200,57.685,100
805,0.65,0.28,0.37,10.320000000000002,09:36:10,57.81,200,57.9,200,57.855,100
810,0.4,0.12,0.28,12.450000000000003,09:36:12,57.86,200,57.96,200,57.9,100
814,0.5800000000000001,0.19,0.39,14.350000000000003,09:36:14,57.88,300,57.97,200,57.91,100
822,0.30000000000000004,0.07,0.23,17.990000000000002,09:36:17,57.92,100,58.02,100,57.94,100
898,1.7399999999999998,1.38,0.36,11.000000000000002,09:37:11,58.07,100,58.14,100,58.09,100
902,0.39,0.14,0.25,15.690000000000001,09:37:15,58.08,100,58.14,100,58.12,100
905,0.42000000000000004,0.1,0.32,16.91,09:37:16,58.08,200,58.18,200,58.14,100
939,0.47000000000000003,0.13,0.34,33.08,09:37:33,58.17,100,58.27,200,58.24,100
943,0.37,0.07,0.3,34.67999999999999,09:37:34,58.21,200,58.27,100,58.23,100
970,0.46,0.2,0.26,45.00999999999998,09:37:45,58.27,100,58.36,100,58.28,100
984,0.41,0.12,0.29,50.79999999999996,09:37:50,58.29,100,58.36,200,58.355,100
993,0.39,0.12,0.27,54.68999999999997,09:37:54,58.33,100,58.39,200,58.345,100
1023,0.39,0.11,0.28,3.0100000000000002,09:38:03,58.28,1300,58.38,600,58.38,100
1035,0.55,0.19,0.36,9.390000000000002,09:38:09,58.29,500,58.38,400,58.335,100
1080,0.46,0.23,0.23,29.300000000000008,09:38:29,58.24,100,58.34,700,58.29,100
1090,0.55,0.22,0.33,33.150000000000006,09:38:33,58.13,100,58.2,200,58.13,100
1094,0.45,0.14,0.31,34.920000000000016,09:38:34,58.13,100,58.25,100,58.165,100
1117,0.62,0.27,0.35,45.02000000000001,09:38:45,58.19,100,58.3,100,58.25,100
1127,0.44,0.18,0.26,0.0,09:39:00,58.21,100,58.37,200,58.3,1200
1148,2.41,2.17,0.24,12.370000000000001,09:39:12,58.45,100,58.5,1600,58.5,100
1156,0.27,0.07,0.2,15.89,09:39:15,58.46,100,58.57,100,58.51,100
1211,0.45,0.2,0.25,40.29000000000002,09:39:40,58.57,200,58.62,100,58.59,100
1231,0.29,0.08,0.21,47.83000000000003,09:39:47,58.61,100,58.67,200,58.63,100
1251,0.28,0.08,0.2,54.17000000000002,09:39:54,58.56,200,58.63,200,58.61,100
1266,0.52,0.28,0.24,0.0,09:40:00,58.47,1000,58.61,100,58.52,100
1281,1.3,0.91,0.39,8.440000000000001,09:40:08,58.46,200,58.59,100,58.55,100
1283,2.42,2.13,0.29,11.22,09:40:11,58.48,100,58.56,200,58.56,300
1319,0.49,0.28,0.21,27.800000000000004,09:40:27,58.4,100,58.48,100,58.46,100
1373,0.28,0.08,0.2,47.819999999999986,09:40:47,58.38,1300,58.48,100,58.4,100
1395,0.34,0.08,0.26,0.0,09:41:00,58.28,200,58.35,100,58.31,100
1407,1.19,0.95,0.24,4.99,09:41:04,58.33,100,58.39,200,58.33,100
1463,0.27,0.07,0.2,30.02,09:41:30,58.33,200,58.4,400,58.34,100
1509,0.35,0.15,0.2,46.279999999999994,09:41:46,58.27,100,58.43,300,58.42,100
1725,0.36,0.09,0.27,25.589999999999996,09:43:25,58.33,100,58.41,100,58.36,100
1773,0.29000000000000004,0.07,0.22,43.720000000000006,09:43:43,58.37,100,58.45,100,58.39,100
1815,0.33,0.07,0.26,0.0,09:44:00,58.33,200,58.5,500,58.49,100
1977,1.44,1.19,0.25,14.569999999999999,09:45:14,58.36,200,58.45,200,58.405,100
2005,0.43,0.07,0.36,25.840000000000003,09:45:25,58.35,200,58.44,200,58.395,100
2036,0.5,0.21,0.29,37.980000000000004,09:45:37,58.37,100,58.44,100,58.43,100
2052,0.39,0.15,0.24,43.910000000000004,09:45:43,58.47,300,58.56,100,58.515,100
2071,0.53,0.25,0.28,51.64,09:45:51,58.5,100,58.56,100,58.53,100
2112,2.15,1.73,0.42,12.67,09:46:12,58.51,300,58.57,200,58.54,1000
2116,2.6999999999999997,2.32,0.38,16.65,09:46:16,58.58,200,58.65,100,58.64,100
2135,0.41000000000000003,0.2,0.21,26.080000000000002,09:46:26,58.61,100,58.64,200,58.62,100
2273,0.37,0.2,0.17,17.86,09:47:17,58.47,100,58.54,500,58.505,100
2283,0.46,0.23,0.23,21.959999999999997,09:47:21,58.47,100,58.54,500,58.48,100
2284,0.28,0.08,0.2,22.24,09:47:22,58.4,100,58.44,100,58.41,100
2343,0.5900000000000001,0.27,0.32,44.35,09:47:44,58.34,100,58.42,600,58.385,100
2417,0.29000000000000004,0.07,0.22,19.81,09:48:19,58.34,100,58.39,400,58.365,100
2429,0.25,0.07,0.18,23.79,09:48:23,58.3,1600,58.37,200,58.32,100
2649,0.45999999999999996,0.22,0.24,0.0,09:50:00,58.26,100,58.37,200,58.315,100
2716,0.67,0.22,0.45,34.120000000000005,09:50:34,58.24,100,58.33,100,58.26,100
2785,0.33,0.13,0.2,0.0,09:51:00,58.24,100,58.33,600,58.285,100
2804,0.38,0.16,0.22,11.879999999999999,09:51:11,58.24,100,58.29,600,58.27,500
3024,0.32,0.12,0.2,44.09,09:52:44,58.37,100,58.43,200,58.3878,100
3133,0.29000000000000004,0.09,0.2,7.800000000000001,09:53:07,58.5,200,58.54,100,58.535,227
3243,0.27,0.07,0.2,0.0,09:54:00,58.46,100,58.51,200,58.485,100
3406,0.48,0.19,0.29,4.09,09:55:04,58.51,300,58.55,100,58.57,100
3479,0.27,0.07,0.2,33.89000000000001,09:55:33,58.53,100,58.58,200,58.555,300
3543,0.91,0.66,0.25,18.48,09:56:18,58.56,100,58.64,800,58.6,100
3554,0.52,0.22,0.3,22.18,09:56:22,58.59,100,58.65,100,58.65,100
3581,0.48000000000000004,0.2,0.28,34.329999999999984,09:56:34,58.63,200,58.68,100,58.66,100
3610,0.25,0.08,0.17,43.98999999999999,09:56:43,58.63,200,58.68,200,58.6334,120
3622,0.37,0.12,0.25,48.01999999999999,09:56:48,58.61,200,58.68,200,58.67,100
3646,0.33999999999999997,0.13,0.21,55.96,09:56:55,58.61,100,58.68,200,58.68,100
3707,0.29,0.08,0.21,9.14,09:57:09,58.58,100,58.62,100,58.5975,100
3713,0.36,0.17,0.19,11.24,09:57:11,58.57,100,58.59,100,58.58,100
3734,0.37,0.19,0.18,19.14,09:57:19,58.56,100,58.59,100,58.5775,100
3943,0.39,0.21,0.18,6.269999999999999,09:59:06,58.51,200,58.54,100,58.525,100
3959,1.3099999999999998,1.14,0.17,15.02,09:59:15,58.46,100,58.49,100,58.47,100
4077,0.25,0.07,0.18,56.160000000000004,09:59:56,58.4,800,58.45,200,58.425,100
4193,0.6799999999999999,0.2,0.48,44.14999999999999,10:00:44,58.41,100,58.49,300,58.45,100
4273,0.27,0.07,0.2,31.280000000000005,10:01:31,58.41,100,58.46,300,58.435,100
4360,0.26,0.08,0.18,0.0,10:02:00,58.45,100,58.48,300,58.465,100
4685,0.29000000000000004,0.09,0.2,0.55,10:04:00,58.17,200,58.31,400,58.2775,100
4697,0.26,0.07,0.19,4.579999999999999,10:04:04,58.19,100,58.31,900,58.245,100
4935,0.26,0.07,0.19,0.0,10:06:00,58.54,400,58.61,100,58.575,100
5288,0.66,0.27,0.39,28.0,10:08:28,58.47,300,58.52,300,58.495,100
5387,0.41000000000000003,0.24,0.17,9.81,10:09:09,58.47,100,58.51,100,58.475,100
5513,0.44,0.19,0.25,16.490000000000002,10:12:16,58.57,400,58.62,500,58.595,100
5585,0.29000000000000004,0.07,0.22,0.0,10:13:00,58.64,300,58.69,200,58.6721,102
5591,0.46,0.26,0.2,2.15,10:13:02,58.64,200,58.69,200,58.69,300
5743,0.4,0.21,0.19,25.9,10:14:25,58.66,400,58.7,100,58.7,300
5890,0.29,0.08,0.21,17.149999999999995,10:15:17,58.69,300,58.76,300,58.725,128
5919,0.39,0.22,0.17,27.05,10:15:27,58.69,300,58.75,100,58.75,100
6029,0.26,0.07,0.19,0.0,10:16:00,58.69,300,58.75,300,58.745,100
6168,0.3,0.08,0.22,14.040000000000001,10:17:14,58.71,100,58.75,100,58.74,100
6188,0.43,0.19,0.24,24.760000000000005,10:17:24,58.72,300,58.75,400,58.735,100
6237,0.4,0.21,0.19,42.190000000000026,10:17:42,58.69,100,58.72,500,58.705,300
