,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,355.95,100,356.19,100,356.0,165
11,0.5,0.28,0.22,4.41,09:30:04,355.94,100,356.18,200,356.0702,270
16,0.32,0.08,0.24,6.53,09:30:06,356.0,400,356.57,100,356.18,100
32,0.43,0.21,0.22,12.59,09:30:12,356.0,400,356.92,300,356.72,100
42,0.32,0.07,0.25,16.54,09:30:16,356.0,500,356.92,300,356.7284,170
51,0.4,0.18,0.22,0.0,09:31:00,356.0,600,356.92,300,356.46,100
56,0.30000000000000004,0.07,0.23,3.0,09:31:03,356.01,100,356.92,300,356.6916,100
69,0.42,0.21,0.21,10.05,09:31:10,356.36,100,356.91,200,356.91,100
71,0.37,0.18,0.19,12.790000000000001,09:31:12,356.36,100,356.91,200,356.785,1000
80,1.4100000000000001,1.07,0.34,19.650000000000002,09:31:19,356.6,500,356.88,100,356.6,100
87,0.25,0.08,0.17,21.900000000000006,09:31:21,356.6,500,356.88,100,356.73,100
88,0.39,0.2,0.19,22.290000000000006,09:31:22,356.6,500,356.88,100,356.724,500
94,0.27,0.07,0.2,24.190000000000005,09:31:24,356.11,200,356.88,100,356.54,200
110,0.5,0.28,0.22,30.250000000000007,09:31:30,356.2,100,356.63,300,356.3,100
122,0.32,0.12,0.2,34.120000000000005,09:31:34,356.2,100,356.66,100,356.43,100
133,0.26,0.07,0.19,38.19000000000001,09:31:38,356.4,100,356.66,100,356.5716,400
138,0.38,0.07,0.31,40.16000000000001,09:31:40,356.42,100,356.86,100,356.66,100
148,0.4,0.08,0.32,44.16000000000002,09:31:44,356.63,200,356.88,200,356.7572,450
152,0.74,0.21,0.53,46.390000000000015,09:31:46,356.63,100,356.87,100,356.87,100
163,0.43,0.24,0.19,50.31000000000002,09:31:50,356.63,100,356.87,100,356.75,100
169,0.27,0.07,0.2,52.04000000000002,09:31:52,356.2,500,356.7,1000,356.4,100
175,0.32,0.14,0.18,53.990000000000016,09:31:53,356.2,500,356.7,1000,356.4478,100
186,0.29,0.08,0.21,0.0,09:32:00,356.2,500,356.7,1000,356.6999,2000
201,4.77,4.56,0.21,12.78,09:32:12,356.22,100,356.61,200,356.4542,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,356.21,100,356.61,200,356.42,100
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,356.21,100,356.39,100,356.426,200
209,1.96,1.75,0.21,18.8,09:32:18,356.21,200,356.39,200,356.23,162
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,356.21,100,356.44,100,356.22,200
220,0.37,0.21,0.16,22.08,09:32:22,356.21,100,356.44,100,356.325,250
221,0.26,0.08,0.18,22.34,09:32:22,356.21,100,356.44,200,356.21,200
227,0.36,0.19,0.17,24.189999999999998,09:32:24,356.21,100,356.44,200,356.3183,1500
234,0.23,0.07,0.16,26.159999999999997,09:32:26,356.21,100,356.44,200,356.32099999999997,2000
241,0.26,0.09,0.17,28.399999999999995,09:32:28,356.21,100,356.43,100,356.39,100
246,0.36,0.18,0.18,30.23999999999999,09:32:30,356.05,500,356.28,200,356.165,100
252,0.24000000000000002,0.07,0.17,32.32999999999999,09:32:32,356.24,200,356.44,100,356.352,100
270,0.36,0.2,0.16,38.53999999999998,09:32:38,356.3,100,356.44,100,356.31,100
302,0.39,0.22,0.17,48.61,09:32:48,356.26,100,356.61,100,356.53,100
309,0.25,0.07,0.18,50.54,09:32:50,356.27,100,356.61,100,356.4422,450
325,0.25,0.07,0.18,56.56999999999999,09:32:56,356.31,100,356.5,300,356.4977,1000
343,2.23,1.98,0.25,3.41,09:33:03,356.06,100,356.41,100,356.24,180
350,3.75,3.46,0.29,9.190000000000001,09:33:09,356.32,100,356.61,100,356.49,100
