,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,93.0,600,93.17,2000,93.0799,100
22,0.3,0.08,0.22,8.47,09:30:08,92.91,800,93.03,200,93.0,100
77,1.79,1.43,0.36,0.0,09:31:00,92.91,400,93.0,500,92.91,100
80,1.4100000000000001,1.07,0.34,2.79,09:31:02,92.92,100,93.0,500,92.98,100
133,0.26,0.07,0.19,21.330000000000002,09:31:21,92.94,500,93.2,900,93.07,100
200,2.27,2.05,0.22,0.0,09:32:00,93.01,500,93.17,200,93.17,100
220,0.37,0.21,0.16,14.069999999999999,09:32:14,93.02,400,93.16,1500,93.03,100
258,0.39,0.22,0.17,26.549999999999994,09:32:26,93.04,300,93.09,100,93.09,100
283,0.25,0.09,0.16,34.35000000000001,09:32:34,93.04,1800,93.16,100,93.1,100
309,0.25,0.07,0.18,42.53000000000002,09:32:42,93.05,200,93.17,100,93.16,100
343,2.23,1.98,0.25,0.0,09:33:00,93.07,1700,93.16,500,93.11,100
354,2.19,1.96,0.23,9.16,09:33:09,93.13,1700,93.2,900,93.2,100
359,0.35,0.18,0.17,12.43,09:33:12,93.13,1800,93.19,400,93.19,100
370,0.66,0.28,0.38,18.680000000000003,09:33:18,93.13,400,93.18,100,93.18,100
405,0.5700000000000001,0.28,0.29,30.550000000000008,09:33:30,93.08,100,93.14,200,93.13,100
412,0.47000000000000003,0.27,0.2,32.56,09:33:32,93.06,100,93.14,100,93.08,100
486,0.25,0.07,0.18,2.14,09:34:02,92.91,100,93.0,300,92.95,150
503,0.44,0.22,0.22,8.04,09:34:08,92.78,200,92.86,200,92.85,100
508,1.78,1.57,0.21,11.239999999999998,09:34:11,92.82,100,93.07,200,92.82,100
509,2.14,1.95,0.19,13.379999999999999,09:34:13,92.84,200,93.06,100,92.931,300
540,0.35,0.13,0.22,31.939999999999994,09:34:31,92.91,100,93.06,100,92.92,100
546,0.45,0.2,0.25,34.08,09:34:34,92.83,200,92.93,200,92.84,100
556,0.47000000000000003,0.28,0.19,38.279999999999994,09:34:38,92.83,200,92.93,300,92.929,500
594,0.38,0.14,0.24,52.279999999999994,09:34:52,92.86,700,92.89,100,92.83,100
600,0.35000000000000003,0.08,0.27,54.38999999999999,09:34:54,92.86,700,92.92,100,92.9,100
604,0.4,0.12,0.28,56.21999999999999,09:34:56,92.88,100,92.98,100,92.93,100
609,0.49,0.2,0.29,58.589999999999996,09:34:58,92.93,300,93.12,200,93.02,100
628,0.45,0.22,0.23,0.0,09:35:00,92.94,300,93.06,100,92.99,100
641,0.4,0.18,0.22,5.91,09:35:05,92.91,200,93.06,200,92.94,100
686,0.6200000000000001,0.28,0.34,22.700000000000003,09:35:22,92.91,300,92.98,300,92.945,100
