,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,190.55,300,191.16,100,190.62,100
12,0.35,0.16,0.19,4.76,09:30:04,190.55,300,191.15,100,190.56,100
16,0.32,0.08,0.24,6.53,09:30:06,190.55,300,191.14,100,190.68,100
28,0.5800000000000001,0.27,0.31,10.940000000000001,09:30:10,190.55,300,190.85,100,190.555,100
32,0.43,0.21,0.22,12.59,09:30:12,190.27,100,190.79,200,190.55,100
59,0.33,0.1,0.23,0.0,09:31:00,190.2,100,190.79,300,190.26,105
75,0.89,0.62,0.27,10.45,09:31:10,190.0,300,190.65,200,190.01,100
110,0.5,0.28,0.22,26.060000000000002,09:31:26,190.07,100,190.4,300,190.08,100
122,0.32,0.12,0.2,29.93,09:31:29,189.51,100,190.23,100,189.5,100
127,0.6000000000000001,0.27,0.33,32.04,09:31:32,189.34,100,189.96,300,189.67,100
133,0.26,0.07,0.19,34.0,09:31:34,189.34,200,189.96,300,189.55,100
138,0.38,0.07,0.31,35.97,09:31:35,189.04,100,189.6,100,189.3548,500
143,0.38,0.07,0.31,37.830000000000005,09:31:37,189.37,200,189.6,300,189.48,100
144,0.46,0.18,0.28,38.290000000000006,09:31:38,189.04,100,189.44,100,189.04,100
147,0.47,0.22,0.25,39.57000000000001,09:31:39,189.04,100,189.44,100,189.44,100
148,0.4,0.08,0.32,39.970000000000006,09:31:39,189.04,200,189.6,400,189.39,100
152,0.74,0.21,0.53,42.2,09:31:42,189.13,300,189.82,200,189.145,100
169,0.27,0.07,0.2,47.85000000000001,09:31:47,189.13,300,189.8,100,189.47,100
181,0.34,0.17,0.17,51.760000000000005,09:31:51,189.13,300,189.77,100,189.45,400
186,0.29,0.08,0.21,0.0,09:32:00,189.31,200,189.77,300,189.335,100
197,2.11,1.93,0.18,5.2,09:32:05,189.31,200,189.77,300,189.34,100
200,2.27,2.05,0.22,8.01,09:32:08,189.31,1000,189.77,300,189.37,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,189.32,200,189.77,300,189.581,100
206,0.24000000000000002,0.07,0.17,16.12,09:32:16,189.32,200,189.77,200,189.33,100
220,0.37,0.21,0.16,22.08,09:32:22,189.6,100,189.77,200,189.6,110
264,0.24000000000000002,0.07,0.17,36.509999999999984,09:32:36,189.52,100,189.77,200,189.52,187
276,0.24000000000000002,0.07,0.17,40.38999999999998,09:32:40,189.73,200,189.96,200,189.94,100
281,0.38,0.21,0.17,41.749999999999986,09:32:41,189.73,300,189.96,200,189.96,400
283,0.25,0.09,0.16,42.359999999999985,09:32:42,189.55,100,189.99,200,189.5877,100
