,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,24.77,400,24.8,100,24.8,100
45,0.32,0.09,0.23,0.0,09:31:00,24.79,300,24.83,700,24.785,100
51,0.4,0.18,0.22,2.33,09:31:02,24.79,400,24.83,700,24.81,100
77,1.79,1.43,0.36,19.189999999999998,09:31:19,24.79,700,24.83,100,24.79,100
99,0.27,0.07,0.2,28.39,09:31:28,24.83,1100,24.86,600,24.83,300
117,0.3,0.08,0.22,34.730000000000004,09:31:34,24.83,1100,24.88,200,24.86,100
122,0.32,0.12,0.2,36.45000000000001,09:31:36,24.83,1100,24.87,100,24.85,300
138,0.38,0.07,0.31,42.490000000000016,09:31:42,24.87,1100,24.88,300,24.875,500
143,0.38,0.07,0.31,44.35000000000002,09:31:44,24.87,700,24.88,300,24.88,100
148,0.4,0.08,0.32,46.49000000000002,09:31:46,24.89,100,24.92,100,24.92,100
163,0.43,0.24,0.19,52.64000000000002,09:31:52,24.89,1000,24.92,200,24.91,100
169,0.27,0.07,0.2,54.370000000000026,09:31:54,24.89,1000,24.93,100,24.9299,100
175,0.32,0.14,0.18,56.32000000000002,09:31:56,24.89,1000,24.93,100,24.9,700
181,0.34,0.17,0.17,58.28000000000002,09:31:58,24.89,1000,24.93,100,24.89,100
325,0.25,0.07,0.18,56.56999999999999,09:32:56,24.93,900,24.97,1100,24.93,100
344,0.36,0.18,0.18,0.0,09:33:00,24.94,1100,24.97,1000,24.95,100
350,3.75,3.46,0.29,5.42,09:33:05,24.94,1000,24.96,400,24.97,200
359,0.35,0.18,0.17,12.069999999999999,09:33:12,24.94,1000,24.96,300,24.94,100
387,0.42000000000000004,0.22,0.2,24.35,09:33:24,24.96,300,24.98,100,24.9601,200
393,0.35,0.18,0.17,26.1,09:33:26,24.96,1400,24.98,100,24.98,200
427,0.41000000000000003,0.17,0.24,38.230000000000004,09:33:38,24.94,1000,24.98,200,24.955,100
464,0.39,0.17,0.22,50.59,09:33:50,24.87,100,24.89,300,24.8771,200
486,0.25,0.07,0.18,2.14,09:34:02,24.81,100,24.83,300,24.82,200
503,0.44,0.22,0.22,8.04,09:34:08,24.84,100,24.87,200,24.8625,100
514,3.77,3.6,0.17,20.38,09:34:20,24.83,100,24.87,200,24.84,100
527,0.43,0.21,0.22,26.20999999999999,09:34:26,24.83,100,24.87,400,24.87,100
531,0.51,0.17,0.34,28.27999999999999,09:34:28,24.82,200,24.86,200,24.8456,500
618,0.34,0.07,0.27,5.17,09:35:05,24.77,100,24.8,200,24.78,100
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,24.77,100,24.8,200,24.7862,180
680,0.33,0.07,0.26,36.78000000000001,09:35:36,24.82,200,24.84,200,24.8201,1000
769,0.36000000000000004,0.08,0.28,9.370000000000001,09:36:09,24.91,200,24.94,100,24.9399,100
814,0.5800000000000001,0.19,0.39,34.5,09:36:34,24.92,100,24.95,300,24.915,100
833,0.39,0.16,0.23,42.389999999999986,09:36:42,24.92,500,24.95,300,24.9489,500
882,0.47000000000000003,0.08,0.39,3.9500000000000006,09:37:03,24.93,100,24.96,300,24.96,100
897,1.12,0.75,0.37,12.099999999999998,09:37:12,24.96,400,24.98,200,24.9674,800
901,2.69,2.4,0.29,18.139999999999997,09:37:18,24.97,800,24.98,100,24.9799,100
905,0.42000000000000004,0.1,0.32,19.749999999999996,09:37:19,24.97,1000,24.99,900,24.9708,100
909,0.6000000000000001,0.26,0.34,21.729999999999997,09:37:21,24.98,200,25.0,400,25.0,100
918,0.49,0.14,0.35,25.749999999999996,09:37:25,25.0,100,25.03,1200,24.99,100
926,0.53,0.1,0.43,29.85,09:37:29,24.99,300,25.02,300,25.005,100
931,0.5,0.07,0.43,32.239999999999995,09:37:32,24.99,700,25.02,300,25.01,100
943,0.37,0.07,0.3,37.519999999999996,09:37:37,24.99,700,25.02,300,25.0067,1000
944,0.43,0.08,0.35,37.949999999999996,09:37:37,24.99,700,25.02,100,25.0197,600
948,0.46,0.19,0.27,39.559999999999995,09:37:39,25.0,1000,25.03,1000,25.03,200
979,0.35000000000000003,0.07,0.28,51.769999999999975,09:37:51,25.04,100,25.06,200,25.05,100
984,0.41,0.12,0.29,53.639999999999965,09:37:53,25.05,100,25.09,200,25.07,100
993,0.39,0.12,0.27,57.52999999999997,09:37:57,25.07,800,25.1,700,25.09,100
1007,0.48000000000000004,0.2,0.28,4.16,09:38:04,25.06,100,25.07,100,25.06,300
1039,0.49,0.07,0.42,24.03,09:38:24,25.07,300,25.1,700,25.08,200
1043,0.49,0.08,0.41,26.16,09:38:26,25.08,200,25.13,300,25.11,100
1055,0.55,0.24,0.31,32.14,09:38:32,25.11,600,25.14,300,25.12,100
1059,0.4,0.09,0.31,33.72999999999999,09:38:33,25.11,400,25.13,100,25.125,100
1084,0.41000000000000003,0.17,0.24,43.72999999999998,09:38:43,25.11,400,25.13,100,25.13,100
1104,0.45,0.18,0.27,52.10999999999998,09:38:52,25.13,100,25.14,600,25.14,100
1108,0.35000000000000003,0.08,0.27,53.76999999999998,09:38:53,25.13,400,25.14,600,25.135,202
1113,0.51,0.21,0.3,56.069999999999986,09:38:56,25.09,300,25.11,100,25.1,218
1161,0.37,0.09,0.28,20.320000000000004,09:39:20,25.11,200,25.14,200,25.1286,100
1220,0.29000000000000004,0.07,0.22,43.89000000000003,09:39:43,25.17,100,25.18,100,25.17,500
1226,0.27,0.08,0.19,46.11000000000003,09:39:46,25.16,100,25.18,200,25.16,100
1251,0.28,0.08,0.2,54.17000000000002,09:39:54,25.18,100,25.19,600,25.18,600
1255,0.42000000000000004,0.23,0.19,55.67000000000002,09:39:55,25.17,600,25.19,400,25.19,200
1269,2.0100000000000002,1.81,0.2,0.0,09:40:00,25.13,2100,25.15,100,25.15,100
1308,0.42,0.18,0.24,20.97,09:40:20,25.03,100,25.05,100,25.04,100
1346,0.45,0.19,0.26,34.87,09:40:34,25.02,100,25.03,200,25.02,200
1407,1.19,0.95,0.24,4.99,09:41:04,24.98,100,25.01,200,24.989,400
1417,0.42000000000000004,0.22,0.2,8.15,09:41:08,24.98,200,25.0,200,24.985,141414
1482,0.45999999999999996,0.24,0.22,36.36999999999999,09:41:36,24.98,200,24.99,100,24.9825,100
1528,0.33,0.07,0.26,54.33,09:41:54,24.97,500,24.99,500,24.9766,100
1543,0.42000000000000004,0.22,0.2,0.0,09:42:00,24.95,100,24.96,100,24.9625,100
1572,0.38,0.07,0.31,21.9,09:42:21,25.01,200,25.03,100,25.0297,100
1642,0.36,0.07,0.29,51.749999999999986,09:42:51,25.03,600,25.04,200,25.0308,300
1741,0.4,0.08,0.32,31.689999999999994,09:43:31,25.05,700,25.07,100,25.0587,200
1757,0.29000000000000004,0.07,0.22,37.660000000000004,09:43:37,25.07,500,25.09,1000,25.0787,201
1783,0.29,0.08,0.21,47.660000000000004,09:43:47,25.14,600,25.15,200,25.145,100
1847,0.46,0.18,0.28,19.839999999999996,09:44:19,25.08,100,25.1,200,25.0999,100
1863,0.37,0.07,0.3,25.979999999999993,09:44:25,25.07,100,25.09,300,25.072,2900
1916,0.46,0.27,0.19,45.98000000000002,09:44:45,25.07,500,25.1,400,25.085,400
1933,0.41000000000000003,0.18,0.23,51.73000000000001,09:44:51,25.1,300,25.12,400,25.115,100
1945,0.43,0.18,0.25,55.76000000000002,09:44:55,25.1,300,25.12,300,25.119,150
2308,0.38,0.09,0.29,36.07999999999999,09:47:36,25.07,600,25.08,500,25.075,500
