,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,29.22,7000,29.24,2600,29.23,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,29.22,2300,29.24,5100,29.238000000000003,300
163,0.43,0.24,0.19,42.62000000000001,09:31:42,29.22,4900,29.23,3900,29.22,100
193,0.41000000000000003,0.21,0.2,2.27,09:32:02,29.23,1700,29.24,3800,29.2369,170
201,4.77,4.56,0.21,12.78,09:32:12,29.23,1100,29.24,2800,29.2358,100
202,2.2199999999999998,2.03,0.19,15.0,09:32:15,29.23,1100,29.24,2900,29.233,2000
214,0.33999999999999997,0.18,0.16,20.189999999999998,09:32:20,29.23,1300,29.24,2800,29.24,300
246,0.36,0.18,0.18,30.23999999999999,09:32:30,29.23,3700,29.24,2700,29.2382,1200
258,0.39,0.22,0.17,34.55999999999999,09:32:34,29.23,2400,29.24,2800,29.2341,264
810,0.4,0.12,0.28,25.990000000000006,09:36:25,29.22,6600,29.23,1900,29.2281,300
975,0.49,0.17,0.32,31.680000000000003,09:37:31,29.21,600,29.22,3800,29.21,100
984,0.41,0.12,0.29,35.49999999999999,09:37:35,29.2,4700,29.21,2200,29.2016,2000
998,0.48,0.21,0.27,0.0,09:38:00,29.2,7500,29.21,2600,29.2,100
1035,0.55,0.19,0.36,22.27,09:38:22,29.2,4700,29.21,2700,29.2072,1600
1065,0.28,0.07,0.21,35.82999999999999,09:38:35,29.2,6700,29.21,2700,29.2032,200
1071,0.39,0.13,0.26,38.029999999999994,09:38:38,29.18,1800,29.19,2800,29.19,100
1132,0.47,0.23,0.24,0.0,09:39:00,29.18,2500,29.19,4100,29.18,100
1181,0.43,0.18,0.25,25.77000000000001,09:39:25,29.18,1600,29.19,3900,29.183000000000003,100
1295,0.29000000000000004,0.07,0.22,21.419999999999995,09:40:21,29.18,2300,29.19,4900,29.188000000000002,1000
1303,0.33,0.07,0.26,24.11,09:40:24,29.18,2400,29.19,4900,29.1832,350
1308,0.42,0.18,0.24,26.049999999999997,09:40:26,29.18,2200,29.19,2800,29.185,100
1440,0.31,0.08,0.23,10.17,09:41:10,29.18,4300,29.19,3100,29.1833,100
1523,0.47,0.09,0.38,40.14,09:41:40,29.19,5100,29.2,1200,29.1995,102
1528,0.33,0.07,0.26,42.17000000000001,09:41:42,29.19,4700,29.2,2100,29.1943,178
1591,0.39,0.08,0.31,21.329999999999995,09:42:21,29.19,1800,29.2,3800,29.195,100
2041,0.5700000000000001,0.25,0.32,44.12000000000002,09:45:44,29.19,1900,29.2,4600,29.1958,459
2103,0.44999999999999996,0.21,0.24,7.869999999999998,09:46:07,29.18,3900,29.19,1200,29.1871,100
2300,0.54,0.2,0.34,8.13,09:47:08,29.18,3600,29.19,2500,29.1868,1200
2389,0.31,0.09,0.22,5.930000000000001,09:48:05,29.19,5600,29.2,1100,29.1941,123
2409,0.31,0.08,0.23,15.780000000000003,09:48:15,29.19,5900,29.2,1300,29.1944,100
2550,2.28,1.94,0.34,18.669999999999998,09:49:18,29.18,2200,29.19,3500,29.1827,994
2658,0.41000000000000003,0.15,0.26,1.83,09:50:01,29.17,2400,29.18,2500,29.17,100
2700,0.27,0.07,0.2,25.84,09:50:25,29.17,3300,29.18,2600,29.175,2230
2928,0.42000000000000004,0.19,0.23,4.2700000000000005,09:52:04,29.16,1000,29.17,4800,29.16,100
3042,0.57,0.21,0.36,50.410000000000004,09:52:50,29.15,4900,29.16,3900,29.15,100
3059,0.47,0.3,0.17,56.35,09:52:56,29.15,6600,29.16,1300,29.1542,340
3071,0.4,0.17,0.23,0.0,09:53:00,29.15,6100,29.16,1600,29.151999999999997,2000
3088,0.42,0.18,0.24,9.83,09:53:09,29.15,3700,29.16,2100,29.1573,600
3287,0.24000000000000002,0.07,0.17,23.999999999999996,09:54:23,29.16,1800,29.17,7200,29.166,165
3301,0.41000000000000003,0.21,0.2,28.41,09:54:28,29.15,7600,29.16,3200,29.1571,396
3312,0.43,0.24,0.19,32.37000000000001,09:54:32,29.15,7200,29.16,2100,29.1585,700
3336,0.38,0.21,0.17,40.14000000000003,09:54:40,29.15,7500,29.16,1000,29.156999999999996,111
3349,0.39,0.2,0.19,44.10000000000004,09:54:44,29.15,7500,29.16,1000,29.1599,156
3479,0.27,0.07,0.2,45.87000000000002,09:55:45,29.15,5400,29.16,2200,29.1544,150
3540,1.38,1.03,0.35,18.560000000000002,09:56:18,29.16,4800,29.17,3200,29.1661,200
3543,0.91,0.66,0.25,20.380000000000003,09:56:20,29.16,4800,29.17,3200,29.1601,100
3765,0.4,0.2,0.2,49.839999999999996,09:57:49,29.17,5200,29.18,1000,29.1756,169
3990,0.25,0.07,0.18,13.17,09:59:13,29.17,1700,29.18,2300,29.1759,210
4060,0.55,0.22,0.33,37.620000000000005,09:59:37,29.17,1300,29.18,2400,29.1768,400
4104,3.3400000000000003,2.95,0.39,6.98,10:00:06,29.17,2600,29.18,2300,29.173000000000002,577
4107,0.32,0.07,0.25,8.110000000000001,10:00:08,29.17,3200,29.18,2400,29.1726,138
4133,0.46,0.18,0.28,24.220000000000006,10:00:24,29.16,3800,29.17,3600,29.1781,125
4196,0.74,0.17,0.57,54.379999999999974,10:00:54,29.17,3000,29.18,1000,29.1799,509
4218,0.6799999999999999,0.43,0.25,0.0,10:01:00,29.17,5300,29.18,1700,29.1733,400
4232,0.42,0.21,0.21,9.870000000000001,10:01:09,29.17,5300,29.18,1300,29.1741,101
4279,0.45,0.23,0.22,27.63,10:01:27,29.17,6100,29.18,2500,29.1826,800
