,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,84.06,300,84.46,300,84.46,100
240,0.27,0.09,0.18,0.0,09:32:00,84.09,200,84.45,100,84.09,200
561,0.26,0.08,0.18,0.0,09:34:00,83.92,200,84.15,400,83.98,100
636,0.43,0.22,0.21,0.0,09:35:00,83.94,100,84.13,200,83.93,100
764,0.29,0.08,0.21,0.0,09:36:00,83.91,400,84.0,200,83.98200000000001,200
785,0.42,0.21,0.21,18.520000000000003,09:36:18,84.02,100,84.1,200,84.01,100
790,0.38,0.09,0.29,20.550000000000004,09:36:20,84.0,100,84.1,100,84.02,100
1080,0.46,0.23,0.23,0.0,09:38:00,83.97,100,84.02,100,84.0,100
1084,0.41000000000000003,0.17,0.24,1.5500000000000003,09:38:01,83.95,100,84.01,100,83.97,100
1108,0.35000000000000003,0.08,0.27,11.589999999999996,09:38:11,83.91,100,84.01,100,83.95,100
1161,0.37,0.09,0.28,0.0,09:39:00,83.91,100,84.01,400,83.96,100
1177,0.36,0.15,0.21,5.7700000000000005,09:39:05,83.91,100,84.0,100,83.949,300
1482,0.45999999999999996,0.24,0.22,0.0,09:41:00,83.91,100,83.97,100,83.91,100
1577,0.48,0.17,0.31,10.05,09:42:10,83.97,1000,84.06,100,84.05,200
1586,0.48,0.19,0.29,13.810000000000002,09:42:13,83.98,100,84.06,100,83.985,100
1662,0.4,0.1,0.3,45.969999999999985,09:42:45,83.91,100,83.96,100,83.94,100
1672,0.46,0.08,0.38,0.0,09:43:00,83.91,100,83.96,200,83.9114,647
1688,0.46,0.26,0.2,7.949999999999999,09:43:07,83.91,100,83.96,100,83.935,100
1703,1.58,1.25,0.33,17.02,09:43:17,83.92,100,84.06,200,83.995,100
1710,0.44,0.12,0.32,19.74,09:43:19,83.99,200,84.11,100,84.11,100
1730,0.3,0.08,0.22,27.459999999999997,09:43:27,84.02,100,84.14,400,84.13,100
1868,0.33999999999999997,0.12,0.22,0.0,09:44:00,84.03,200,84.13,100,84.12,100
1996,0.37,0.12,0.25,13.4,09:45:13,84.0,100,84.07,100,84.04,100
2020,0.47,0.26,0.21,23.330000000000002,09:45:23,84.0,100,84.07,100,84.07,100
2140,0.30000000000000004,0.07,0.23,26.26,09:46:26,84.05,100,84.13,100,84.06,100
2403,0.31,0.07,0.24,0.0,09:48:00,84.01,100,84.08,100,84.045,100
2742,0.39,0.21,0.18,0.0,09:50:00,84.03,300,84.08,300,84.08,100
3239,0.31,0.12,0.19,0.0,09:54:00,84.11,100,84.15,100,84.14,100
3469,0.52,0.24,0.28,0.0,09:55:00,84.07,300,84.13,100,84.1,100
4551,0.27,0.07,0.2,0.0,10:03:00,84.0,200,84.07,100,84.03,100
4844,0.44,0.22,0.22,0.0,10:05:00,83.96,100,84.02,200,83.9816,273
4922,0.39,0.22,0.17,27.790000000000006,10:05:27,83.97,100,84.02,200,83.99,100
5552,0.32,0.08,0.24,0.0,10:13:00,84.11,100,84.14,100,84.125,100
5557,0.35000000000000003,0.07,0.28,2.0500000000000003,10:13:02,84.13,100,84.19,200,84.16,100
5709,0.34,0.17,0.17,0.0,10:14:00,84.17,100,84.22,200,84.17,100
5715,0.36,0.17,0.19,1.77,10:14:01,84.17,100,84.22,200,84.22,100
5837,0.30000000000000004,0.07,0.23,51.990000000000016,10:14:51,84.13,100,84.19,500,84.19,100
6373,0.38,0.18,0.2,0.0,10:19:00,84.11,200,84.16,500,84.15,100
6566,0.43,0.07,0.36,12.229999999999999,10:21:12,84.12,100,84.18,100,84.1516,118
7561,0.38,0.17,0.21,49.85000000000003,10:29:49,84.16,100,84.19,100,84.18,100
7804,0.4,0.23,0.17,0.0,10:32:00,84.19,200,84.21,200,84.2,100
7954,0.32999999999999996,0.09,0.24,0.0,10:34:00,84.17,200,84.23,200,84.23,200
8987,0.79,0.41,0.38,0.0,10:45:00,84.18,200,84.23,700,84.21,100
9373,0.77,0.19,0.58,0.0,10:50:00,84.18,100,84.21,200,84.195,100
9430,0.5800000000000001,0.26,0.32,39.740000000000016,10:50:39,84.18,200,84.23,100,84.2025,100
10019,1.78,1.35,0.43,0.0,10:59:00,84.2,200,84.25,100,84.25,100
10061,0.57,0.22,0.35,22.610000000000007,10:59:22,84.2,300,84.24,500,84.24,100
10089,0.62,0.16,0.46,0.0,11:00:00,84.21,400,84.22,100,84.215,100
10355,0.43,0.07,0.36,5.25,11:05:05,84.25,200,84.28,100,84.26,100
10713,0.5800000000000001,0.07,0.51,0.0,11:09:00,84.27,100,84.29,400,84.28,100
10756,0.63,0.21,0.42,24.199999999999996,11:09:24,84.27,100,84.28,300,84.275,100
10770,0.57,0.08,0.49,31.959999999999994,11:09:31,84.26,100,84.27,600,84.27,100
10777,0.61,0.18,0.43,35.78999999999999,11:09:35,84.26,100,84.27,600,84.265,100
10843,0.64,0.2,0.44,26.200000000000006,11:10:26,84.28,800,84.3,400,84.29,100
10852,0.75,0.09,0.66,31.94000000000001,11:10:31,84.28,200,84.29,300,84.285,200
11484,0.6,0.18,0.42,29.24000000000001,11:19:29,84.23,100,84.26,400,84.245,100
11980,0.5900000000000001,0.2,0.39,0.0,11:26:00,84.3,100,84.33,200,84.3,100
11983,0.75,0.08,0.67,2.16,11:26:02,84.3,100,84.33,100,84.305,100
12000,0.76,0.21,0.55,18.56,11:26:18,84.31,200,84.33,100,84.33,100
12035,30.98,30.48,0.5,71.99000000000001,11:27:11,84.31,200,84.34,100,84.34,100
12036,0.5599999999999999,0.21,0.35,0.0,11:27:00,84.29,200,84.31,100,84.315,100
12074,0.61,0.3,0.31,0.0,11:29:00,84.28,300,84.31,100,84.31,100
12156,0.8300000000000001,0.18,0.65,33.42999999999999,11:30:33,84.31,200,84.38,100,84.35,100
12179,0.7999999999999999,0.22,0.58,49.04999999999999,11:30:49,84.31,200,84.37,200,84.37,100
12256,0.6200000000000001,0.07,0.55,0.0,11:31:00,84.32,200,84.37,100,84.36,100
12478,0.64,0.27,0.37,0.64,11:34:00,84.31,200,84.33,200,84.32,100
12687,0.58,0.08,0.5,1.77,11:37:01,84.36,200,84.4,300,84.38,100
12709,0.5800000000000001,0.07,0.51,0.0,11:38:00,84.36,200,84.39,200,84.39,100
12728,0.62,0.12,0.5,21.62,11:38:21,84.39,200,84.43,100,84.43,100
12780,118.2,117.59,0.61,0.0,11:40:00,84.39,200,84.42,100,84.405,100
12785,0.62,0.12,0.5,3.64,11:40:03,84.39,300,84.42,100,84.42,100
12859,0.5900000000000001,0.14,0.45,21.860000000000003,11:41:21,84.41,200,84.45,300,84.45,100
13061,0.57,0.22,0.35,0.0,11:43:00,84.39,100,84.41,100,84.41,146
13163,0.39,0.21,0.18,6.870000000000001,11:45:06,84.41,200,84.44,100,84.44,100
13377,0.29000000000000004,0.07,0.22,2.13,11:46:02,84.41,100,84.42,300,84.415,100
13409,0.49,0.28,0.21,14.199999999999998,11:46:14,84.39,100,84.41,100,84.4,100
15767,0.24000000000000002,0.07,0.17,20.069999999999997,12:02:20,84.39,300,84.41,200,84.395,100
17697,0.4,0.15,0.25,40.05000000000001,12:14:40,84.43,100,84.47,100,84.47,100
17952,0.3,0.08,0.22,4.13,12:16:04,84.43,100,84.44,200,84.435,100
18500,0.26,0.09,0.17,11.820000000000002,12:19:11,84.41,100,84.44,200,84.4101,334
19668,0.23,0.07,0.16,9.71,12:27:09,84.42,100,84.45,100,84.4242,132
20834,1.12,0.77,0.35,1.7200000000000002,12:35:01,84.41,100,84.44,100,84.425,100
21429,0.23,0.07,0.16,0.0,12:39:00,84.35,100,84.38,100,84.3758,200
23548,0.38,0.22,0.16,0.0,12:56:00,84.37,100,84.38,300,84.375,100
24911,174.01,173.76,0.25,0.0,13:08:00,84.49,500,84.5,1100,84.495,100
25067,0.37,0.07,0.3,0.0,13:10:00,84.49,400,84.51,200,84.51,100
25075,0.4,0.13,0.27,3.71,13:10:03,84.58,100,84.59,100,84.585,100
25078,0.4,0.12,0.28,4.82,13:10:04,84.58,100,84.59,200,84.58,100
25080,0.35000000000000003,0.07,0.28,5.7,13:10:05,84.56,100,84.59,200,84.59,100
25193,0.38,0.19,0.19,53.59,13:10:53,84.56,200,84.57,100,84.565,100
25218,0.41000000000000003,0.2,0.21,0.0,13:11:00,84.59,100,84.61,200,84.6,100
25409,0.42,0.18,0.24,3.9699999999999998,13:12:03,84.59,300,84.6,100,84.595,100
25631,0.44,0.08,0.36,3.63,13:14:03,84.57,100,84.59,200,84.575,100
25888,0.43,0.07,0.36,0.0,13:17:00,84.54,300,84.57,200,84.57,100
25892,0.63,0.19,0.44,2.22,13:17:02,84.54,100,84.57,200,84.555,200
25997,0.8,0.2,0.6,2.4000000000000004,13:19:02,84.53,100,84.55,100,84.54,300
25998,0.76,0.18,0.58,3.16,13:19:03,84.53,200,84.56,100,84.55,100
26000,3.8499999999999996,3.51,0.34,7.8,13:19:07,84.53,100,84.56,100,84.545,100
26001,1.4300000000000002,1.03,0.4,9.23,13:19:09,84.51,100,84.55,200,84.53,100
26015,0.43,0.08,0.35,21.82,13:19:21,84.51,300,84.56,200,84.535,100
26090,4.78,4.19,0.59,0.0,13:20:00,84.47,100,84.53,200,84.49,100
26254,0.57,0.08,0.49,0.0,13:22:00,84.38,200,84.43,100,84.385,100
26557,1.2000000000000002,0.27,0.93,0.0,13:26:00,84.33,100,84.39,100,84.355,100
27401,1.19,0.2,0.99,0.0,13:45:00,84.22,200,84.23,100,84.2175,100
27719,1.2,0.21,0.99,0.0,13:51:00,84.26,200,84.3,100,84.2871,206
27735,1.21,0.07,1.14,23.0,13:51:23,84.26,200,84.3,100,84.2872,100
27856,0.97,0.07,0.9,0.0,13:53:00,84.26,100,84.29,500,84.2752,100
28084,0.99,0.13,0.86,0.0,13:58:00,84.22,100,84.23,100,84.225,100
29004,1.01,0.08,0.93,0.0,14:16:00,84.27,400,84.32,300,84.295,100
29169,1.02,0.19,0.83,0.0,14:19:00,84.22,100,84.25,200,84.2332,115
29440,0.5700000000000001,0.14,0.43,0.0,14:22:00,84.19,300,84.22,100,84.1955,246
30385,0.63,0.14,0.49,0.0,14:33:00,84.06,100,84.1,100,84.0847,375
30543,0.63,0.08,0.55,9.790000000000001,14:37:09,84.12,100,84.15,400,84.135,100
32056,47.769999999999996,47.23,0.54,82.33,14:56:22,84.1,300,84.14,200,84.1347,146
33896,0.43,0.07,0.36,0.0,15:18:00,84.05,500,84.1,200,84.075,100
34014,0.5700000000000001,0.07,0.5,0.0,15:19:00,84.06,100,84.09,400,84.0897,1000
34028,0.62,0.24,0.38,1.8400000000000003,15:20:01,84.09,700,84.1,100,84.0925,100
34119,0.61,0.18,0.43,0.0,15:21:00,84.08,300,84.09,200,84.085,100
34452,0.82,0.24,0.58,0.0,15:25:00,84.09,200,84.1,200,84.095,200
35115,3.4099999999999997,2.84,0.57,0.0,15:33:00,84.06,100,84.07,300,84.065,100
35291,1.2000000000000002,0.64,0.56,0.0,15:35:00,84.02,100,84.03,100,84.025,100
35426,0.44,0.07,0.37,11.61,15:36:11,84.02,100,84.06,200,84.0599,101
35646,0.44,0.07,0.37,0.0,15:39:00,84.03,100,84.05,100,84.0371,111
36309,0.96,0.07,0.89,32.97999999999999,15:46:32,83.99,500,84.0,100,83.991,473
36472,0.6200000000000001,0.07,0.55,39.80999999999999,15:48:39,84.01,400,84.02,200,84.015,100
36811,0.6,0.08,0.52,1.8000000000000003,15:53:01,84.0,100,84.01,100,84.005,100
36852,0.6399999999999999,0.07,0.57,38.03,15:53:38,84.01,100,84.02,300,84.0118,200
36918,0.62,0.18,0.44,21.99,15:54:21,83.99,300,84.0,400,83.9975,100
37050,0.5800000000000001,0.07,0.51,0.0,15:56:00,83.99,400,84.0,200,83.9901,300
37228,0.6399999999999999,0.07,0.57,38.42000000000001,15:59:38,83.96,600,83.98,200,83.965,100
