,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,154.3,200,155.2,200,155.0,10000
32,0.43,0.21,0.22,12.59,09:30:12,154.3,200,155.2,200,154.75,100
59,0.33,0.1,0.23,0.0,09:31:00,154.3,200,155.2,200,154.875,100
81,0.43000000000000005,0.17,0.26,15.889999999999997,09:31:15,154.72,100,155.44,100,155.29,100
87,0.25,0.08,0.17,17.71,09:31:17,154.72,100,155.5,100,155.11,530
132,0.37,0.17,0.2,33.74,09:31:33,154.88,200,155.5,100,155.19,200
163,0.43,0.24,0.19,46.120000000000005,09:31:46,154.89,100,155.5,100,155.195,100
169,0.27,0.07,0.2,47.85000000000001,09:31:47,155.0,200,155.5,100,155.01,100
193,0.41000000000000003,0.21,0.2,0.0,09:32:00,155.01,100,155.5,100,155.255,100
252,0.24000000000000002,0.07,0.17,30.059999999999988,09:32:30,154.8,600,155.5,100,154.84,100
315,0.3,0.08,0.22,50.31,09:32:50,154.81,200,155.5,100,154.81,100
350,3.75,3.46,0.29,5.78,09:33:05,154.8,700,155.45,100,154.8,100
417,0.39,0.2,0.19,34.470000000000006,09:33:34,154.75,200,155.44,200,154.95,100
445,0.39,0.21,0.18,44.41000000000001,09:33:44,154.52,100,155.44,100,154.54,100
458,0.27,0.09,0.18,48.7,09:33:48,154.52,100,155.42,100,154.9,100
503,0.44,0.22,0.22,0.0,09:34:00,154.31,300,155.3,300,155.2,100
513,2.17,1.87,0.3,8.57,09:34:08,154.31,300,155.29,100,154.555,100
514,3.77,3.6,0.17,12.34,09:34:12,154.31,300,155.3,200,155.18,100
531,0.51,0.17,0.34,20.239999999999995,09:34:20,154.31,300,155.28,100,154.795,100
588,0.29000000000000004,0.07,0.22,41.97999999999999,09:34:41,154.32,600,155.23,100,154.775,100
600,0.35000000000000003,0.08,0.27,46.349999999999994,09:34:46,154.44,700,155.23,100,154.835,100
727,0.38,0.21,0.17,53.05000000000001,09:35:53,154.65,200,155.17,200,154.825,200
759,0.38,0.21,0.17,0.0,09:36:00,154.47,100,155.04,500,154.6,100
769,0.36000000000000004,0.08,0.28,7.12,09:36:07,154.32,300,155.03,200,154.385,100
771,2.1,1.83,0.27,9.56,09:36:09,154.32,300,155.02,200,154.7176,150
772,0.24000000000000002,0.07,0.17,9.8,09:36:09,154.33,100,155.02,200,154.38,100
779,3.7600000000000002,3.33,0.43,17.900000000000002,09:36:17,154.43,100,155.0,300,154.44,100
785,0.42,0.21,0.21,20.21,09:36:20,154.43,100,155.0,300,154.5,100
800,0.44000000000000006,0.17,0.27,26.140000000000008,09:36:26,154.44,100,155.0,200,154.715,100
837,0.67,0.44,0.23,41.99999999999999,09:36:41,154.45,300,154.99,200,154.51,100
878,0.5900000000000001,0.07,0.52,0.0,09:37:00,154.47,200,154.97,200,154.47,100
914,0.41000000000000003,0.21,0.2,22.13,09:37:22,154.52,400,155.06,300,154.785,100
918,0.49,0.14,0.35,23.99,09:37:23,154.52,400,155.06,300,154.52,200
934,0.35000000000000003,0.07,0.28,31.950000000000003,09:37:31,154.53,400,155.07,200,154.53,100
954,0.47,0.21,0.26,40.069999999999986,09:37:40,154.54,100,154.99,200,154.55,200
979,0.35000000000000003,0.07,0.28,50.00999999999998,09:37:50,154.66,300,154.99,200,154.605,100
993,0.39,0.12,0.27,55.769999999999975,09:37:55,154.69,200,154.98,200,154.69,100
1002,0.42,0.07,0.35,0.0,09:38:00,154.69,200,154.98,200,154.7,100
1039,0.49,0.07,0.42,22.05,09:38:22,154.7,100,155.01,400,154.71,100
1187,0.34,0.08,0.26,30.16000000000001,09:39:30,154.7,100,155.01,200,154.77,100
1251,0.28,0.08,0.2,54.17000000000002,09:39:54,154.68,400,155.06,100,154.78,100
1303,0.33,0.07,0.26,19.03,09:40:19,154.69,600,155.05,100,154.85,1000
1330,0.38,0.19,0.19,28.899999999999995,09:40:28,154.74,200,155.05,200,154.72,200
1356,0.29000000000000004,0.07,0.22,38.73999999999998,09:40:38,154.75,200,155.02,100,154.76,100
1378,0.36,0.07,0.29,46.94999999999998,09:40:46,154.87,100,155.02,100,154.92,200
1391,0.49,0.22,0.27,53.11999999999999,09:40:53,154.86,300,155.02,100,154.86,100
1417,0.42000000000000004,0.22,0.2,3.16,09:41:03,154.77,400,155.01,100,154.99,100
1439,3.9699999999999998,3.65,0.32,17.029999999999998,09:41:17,154.84,100,155.01,100,154.91,700
1456,0.37,0.15,0.22,22.989999999999995,09:41:22,154.79,200,155.01,100,154.79,100
1509,0.35,0.15,0.2,41.290000000000006,09:41:41,154.99,300,155.19,100,154.98,200
1528,0.33,0.07,0.26,49.34000000000001,09:41:49,155.01,100,155.4,100,155.205,100
1538,0.59,0.29,0.3,53.25000000000001,09:41:53,155.02,100,155.38,200,155.04,100
1547,0.47,0.22,0.25,0.0,09:42:00,155.01,100,155.37,200,155.03,200
1555,0.30000000000000004,0.07,0.23,6.95,09:42:06,154.83,200,155.36,200,154.82,100
1561,0.38,0.08,0.3,12.06,09:42:12,154.84,800,155.36,200,155.06,100
1566,0.41000000000000003,0.09,0.32,16.470000000000002,09:42:16,154.86,800,155.19,100,155.02,100
1595,0.7,0.24,0.46,30.089999999999993,09:42:30,154.85,100,155.08,100,154.96,100
1654,0.45999999999999996,0.15,0.31,54.08999999999998,09:42:54,154.82,100,154.97,100,154.88,100
1680,0.45,0.2,0.25,5.66,09:43:05,154.47,100,154.88,200,154.675,100
1685,0.29000000000000004,0.07,0.22,7.59,09:43:07,154.48,900,154.87,100,154.57,100
1972,1.42,1.15,0.27,3.2199999999999998,09:45:03,154.5,100,154.78,100,154.64,100
2025,0.35000000000000003,0.08,0.27,26.41,09:45:26,154.5,1000,154.79,100,154.505,100
2103,0.44999999999999996,0.21,0.24,0.0,09:46:00,154.52,200,154.78,100,154.6053,150
2110,0.37,0.1,0.27,4.26,09:46:04,154.52,200,154.79,100,154.525,100
2257,4.91,4.57,0.34,9.010000000000002,09:47:09,154.25,100,154.4,100,154.3575,100
2258,0.44,0.23,0.21,9.450000000000001,09:47:09,154.23,100,154.53,300,154.36,100
2263,1.56,1.22,0.34,12.610000000000001,09:47:12,154.23,100,154.52,100,154.26,100
2362,0.37,0.09,0.28,49.70999999999997,09:47:49,154.23,100,154.5,100,154.365,300
2388,0.28,0.07,0.21,0.0,09:48:00,154.31,100,154.48,100,154.31,300
2403,0.31,0.07,0.24,6.15,09:48:06,154.33,300,154.49,200,154.33,100
2409,0.31,0.08,0.23,10.160000000000002,09:48:10,154.31,200,154.47,100,154.34,100
2417,0.29000000000000004,0.07,0.22,16.240000000000002,09:48:16,154.28,200,154.45,100,154.28,100
2569,0.66,0.23,0.43,0.0,09:49:00,154.29,100,154.42,100,154.29,100
2644,0.43,0.21,0.22,29.63,09:49:29,154.46,100,154.71,200,154.46,200
2817,0.38,0.08,0.3,7.27,09:51:07,154.43,100,154.59,100,154.43,100
2831,0.38,0.14,0.24,13.079999999999997,09:51:13,154.23,100,154.45,100,154.25,100
2847,0.34,0.07,0.27,18.979999999999993,09:51:18,154.23,100,154.35,100,154.23,100
2870,0.29000000000000004,0.07,0.22,27.119999999999987,09:51:27,154.18,300,154.34,100,154.2,100
2886,0.44,0.21,0.23,33.28999999999999,09:51:33,154.18,300,154.35,200,154.18,200
2896,0.30000000000000004,0.07,0.23,36.959999999999994,09:51:36,154.03,100,154.28,100,154.08,100
2911,0.32,0.08,0.24,43.149999999999984,09:51:43,154.02,100,154.28,200,154.04,100
2922,0.41000000000000003,0.18,0.23,0.0,09:52:00,154.02,100,154.28,200,154.05,100
3071,0.4,0.17,0.23,0.0,09:53:00,154.02,100,154.28,200,154.15,100
3172,0.31,0.13,0.18,41.84999999999998,09:53:41,154.03,100,154.28,200,154.155,100
3220,0.23,0.07,0.16,57.54999999999996,09:53:57,154.06,100,154.28,200,154.16,200
3239,0.31,0.12,0.19,0.0,09:54:00,154.24,200,154.54,400,154.32,100
3261,0.45,0.27,0.18,16.330000000000002,09:54:16,154.26,100,154.53,200,154.395,100
3522,0.33,0.07,0.26,0.0,09:56:00,154.21,200,154.42,100,154.2625,100
3533,0.45,0.23,0.22,8.07,09:56:08,154.16,100,154.3,100,154.21,100
3645,0.27,0.07,0.2,51.63000000000001,09:56:51,154.11,100,154.3,100,154.11,101
3713,0.36,0.17,0.19,0.0,09:57:00,154.12,300,154.3,100,154.13,100
3807,0.37,0.18,0.19,0.0,09:58:00,154.15,200,154.41,100,154.145,100
3812,0.26,0.07,0.19,4.09,09:58:04,154.16,300,154.41,100,154.19,100
3817,0.25,0.09,0.16,12.010000000000002,09:58:12,154.17,200,154.41,100,154.35,100
3972,0.25,0.07,0.18,0.0,09:59:00,154.29,100,154.63,100,154.48,100
3984,0.3,0.12,0.18,4.18,09:59:04,154.29,200,154.63,100,154.59,100
4014,0.34,0.17,0.17,14.16,09:59:14,153.5,400,153.98,100,153.5,1733
4021,0.25,0.08,0.17,16.14,09:59:16,153.54,100,154.32,100,153.51,200
4034,0.4,0.23,0.17,20.11,09:59:20,153.54,300,154.29,100,153.925,100
4039,0.32,0.09,0.23,22.279999999999998,09:59:22,153.54,400,154.29,100,153.915,100
4045,0.4,0.19,0.21,24.449999999999996,09:59:24,153.55,100,154.3,100,153.595,100
4089,0.28,0.07,0.21,0.0,10:00:00,153.86,100,154.27,500,153.94,100
4121,0.37,0.1,0.27,18.440000000000005,10:00:18,153.9,500,154.27,100,153.9,100
4129,0.41000000000000003,0.1,0.31,24.040000000000006,10:00:24,153.9,500,154.26,600,153.91,100
4164,0.49,0.18,0.31,40.089999999999996,10:00:40,153.91,200,154.24,100,153.935,100
4311,0.44999999999999996,0.24,0.21,0.0,10:01:00,153.91,400,154.1,500,154.0675,160
4385,0.24000000000000002,0.07,0.17,0.0,10:02:00,153.6,100,153.74,100,153.72,100
4392,0.27,0.09,0.18,2.14,10:02:02,153.61,100,153.74,200,153.675,100
4427,0.38,0.18,0.2,14.140000000000004,10:02:14,153.68,200,153.89,100,153.74,100
4449,0.33,0.14,0.19,22.02,10:02:22,153.68,200,153.89,100,153.73,100
4483,0.5,0.23,0.27,34.02000000000001,10:02:34,153.68,200,153.89,100,153.7,100
4691,0.26,0.07,0.19,0.0,10:04:00,153.8,100,153.95,200,153.85,194
4748,0.44,0.21,0.23,22.080000000000002,10:04:22,153.81,100,153.95,200,153.8156,100
4774,0.53,0.2,0.33,32.31,10:04:32,153.61,100,153.69,100,153.63,100
4789,0.62,0.18,0.44,0.0,10:05:00,153.54,100,153.68,100,153.655,100
4812,0.49,0.2,0.29,11.959999999999999,10:05:11,153.54,200,153.66,100,153.65,100
4839,0.4,0.18,0.22,25.66999999999999,10:05:25,153.54,100,153.66,100,153.57,100
4850,0.3,0.08,0.22,29.55999999999999,10:05:29,153.54,100,153.66,100,153.54,100
4896,0.30000000000000004,0.07,0.23,45.67999999999997,10:05:45,153.55,100,153.66,200,153.5716,300
5044,0.24000000000000002,0.07,0.17,50.05000000000002,10:06:50,153.47,100,153.61,200,153.52,100
5090,3.37,3.18,0.19,0.0,10:07:00,153.42,100,153.56,200,153.42,100
5131,0.55,0.24,0.31,18.579999999999995,10:07:18,153.32,100,153.5,100,153.43,100
5262,0.30000000000000004,0.13,0.17,16.02,10:08:16,153.4,100,153.63,100,153.561,400
5315,0.48,0.18,0.3,36.279999999999994,10:08:36,153.46,100,153.63,100,153.59,100
5338,0.26,0.07,0.19,44.07000000000001,10:08:44,153.48,100,153.63,100,153.62,100
5462,168.17,168.0,0.17,0.0,10:12:00,153.41,100,153.67,100,153.66,100
5597,0.25,0.07,0.18,0.0,10:13:00,153.46,200,153.67,100,153.565,300
5630,0.28,0.08,0.2,12.179999999999993,10:13:12,153.48,100,153.67,100,153.575,100
5722,3.47,3.24,0.23,7.21,10:14:07,153.63,100,153.79,100,153.68,100
5786,0.26,0.09,0.17,28.400000000000006,10:14:28,153.66,100,153.86,500,153.76,200
5792,0.37,0.2,0.17,30.350000000000005,10:14:30,153.66,100,153.86,100,153.86,300
6122,0.63,0.24,0.39,52.08000000000002,10:16:52,153.31,300,153.51,100,153.37,100
6128,0.25,0.07,0.18,54.00000000000002,10:16:54,153.31,300,153.49,100,153.4,500
6150,0.39,0.14,0.25,0.0,10:17:00,153.32,100,153.47,100,153.35,100
6159,2.81,2.47,0.34,9.59,10:17:09,153.27,200,153.33,200,153.27,100
