,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,68.82,100,68.87,200,68.848,614
6,0.28,0.08,0.2,2.6000000000000005,09:30:02,68.82,100,68.87,200,68.82,100
37,0.44,0.21,0.23,14.589999999999998,09:30:14,68.82,100,68.87,400,68.86,100
56,0.30000000000000004,0.07,0.23,0.0,09:31:00,68.82,100,68.87,400,68.84100000000001,250
59,0.33,0.1,0.23,1.1900000000000002,09:31:01,68.82,100,68.86,400,68.8483,100
133,0.26,0.07,0.19,35.190000000000005,09:31:35,68.84,100,68.86,300,68.85,100
143,0.38,0.07,0.31,39.02000000000001,09:31:39,68.82,500,68.83,100,68.83,100
148,0.4,0.08,0.32,41.16000000000001,09:31:41,68.72,100,68.75,200,68.73,100
152,0.74,0.21,0.53,43.39000000000001,09:31:43,68.68,300,68.75,200,68.71,200
156,0.48,0.21,0.27,45.220000000000006,09:31:45,68.68,400,68.74,200,68.69,100
197,2.11,1.93,0.18,0.0,09:32:00,68.66,300,68.69,200,68.68,100
200,2.27,2.05,0.22,2.81,09:32:02,68.67,200,68.71,200,68.67,100
202,2.2199999999999998,2.03,0.19,9.8,09:32:09,68.67,300,68.71,300,68.7,100
214,0.33999999999999997,0.18,0.16,14.990000000000002,09:32:14,68.62,100,68.64,200,68.64,100
241,0.26,0.09,0.17,23.2,09:32:23,68.6,600,68.63,100,68.6,100
252,0.24000000000000002,0.07,0.17,27.129999999999992,09:32:27,68.6,500,68.61,100,68.605,100
258,0.39,0.22,0.17,29.359999999999996,09:32:29,68.61,200,68.65,200,68.61,200
264,0.24000000000000002,0.07,0.17,31.31,09:32:31,68.61,200,68.65,200,68.65,100
289,0.30000000000000004,0.14,0.16,39.21000000000001,09:32:39,68.61,200,68.65,200,68.6277,311
315,0.3,0.08,0.22,47.38000000000002,09:32:47,68.63,300,68.68,300,68.6648,100
320,0.69,0.28,0.41,49.70000000000002,09:32:49,68.6,500,68.62,200,68.63,150
325,0.25,0.07,0.18,51.37000000000001,09:32:51,68.57,300,68.6,200,68.58,100
343,2.23,1.98,0.25,0.0,09:33:00,68.59,200,68.6,200,68.59,100
344,0.36,0.18,0.18,0.36,09:33:00,68.55,5600,68.57,200,68.57,100
350,3.75,3.46,0.29,5.78,09:33:05,68.55,5600,68.58,700,68.5509,161
354,2.19,1.96,0.23,9.16,09:33:09,68.38,300,68.43,200,68.38,100
356,2.15,1.91,0.24,11.57,09:33:11,68.5,100,68.53,100,68.52,200
359,0.35,0.18,0.17,12.43,09:33:12,68.47,100,68.52,100,68.47,100
362,2.69,2.48,0.21,15.6,09:33:15,68.47,100,68.52,200,68.5015,1800
375,0.32,0.15,0.17,20.510000000000005,09:33:20,68.43,200,68.49,100,68.43,100
381,0.41000000000000003,0.22,0.19,22.490000000000006,09:33:22,68.44,200,68.48,200,68.4548,200
387,0.42000000000000004,0.22,0.2,24.710000000000004,09:33:24,68.44,100,68.46,100,68.45,100
393,0.35,0.18,0.17,26.460000000000004,09:33:26,68.47,100,68.49,200,68.48,100
405,0.5700000000000001,0.28,0.29,30.550000000000008,09:33:30,68.49,200,68.6,100,68.5,100
427,0.41000000000000003,0.17,0.24,38.59,09:33:38,68.49,200,68.55,100,68.49,100
445,0.39,0.21,0.18,44.41000000000001,09:33:44,68.52,100,68.57,200,68.56,100
452,0.26,0.07,0.19,46.540000000000006,09:33:46,68.52,100,68.57,300,68.548,500
480,0.28,0.11,0.17,0.0,09:34:00,68.51,100,68.55,200,68.53,100
486,0.25,0.07,0.18,2.14,09:34:02,68.49,100,68.54,200,68.546,100
491,0.27,0.07,0.2,3.670000000000001,09:34:03,68.49,100,68.54,200,68.544,100
514,3.77,3.6,0.17,20.38,09:34:20,68.5,200,68.54,200,68.50399999999999,500
527,0.43,0.21,0.22,26.20999999999999,09:34:26,68.44,100,68.49,100,68.44,291
531,0.51,0.17,0.34,28.27999999999999,09:34:28,68.44,100,68.49,200,68.445,3000
556,0.47000000000000003,0.28,0.19,38.279999999999994,09:34:38,68.45,100,68.48,100,68.46,100
618,0.34,0.07,0.27,5.17,09:35:05,68.41,100,68.44,200,68.4164,275
623,1.67,1.41,0.26,11.46,09:35:11,68.37,100,68.4,100,68.3833,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,68.36,100,68.4,100,68.383,1000
