,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,86.43,100,86.57,900,86.57,100
16,0.32,0.08,0.24,6.53,09:30:06,86.43,100,86.56,100,86.5537,287
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,86.43,100,86.66,200,86.56,100
51,0.4,0.18,0.22,1.98,09:31:01,86.47,100,86.63,100,86.64,100
56,0.30000000000000004,0.07,0.23,4.9799999999999995,09:31:04,86.47,100,86.56,100,86.59,100
64,2.08,1.88,0.2,9.670000000000002,09:31:09,86.47,100,86.56,100,86.55,100
65,0.31,0.07,0.24,9.980000000000002,09:31:09,86.47,100,86.56,100,86.5092,317
71,0.37,0.18,0.19,14.770000000000001,09:31:14,86.47,100,86.57,2000,86.47,100
75,0.89,0.62,0.27,16.62,09:31:16,86.47,100,86.57,2000,86.5,100
77,1.79,1.43,0.36,18.84,09:31:18,86.42,100,86.66,500,86.66,100
80,1.4100000000000001,1.07,0.34,21.630000000000003,09:31:21,86.42,100,86.66,200,86.5615,218
94,0.27,0.07,0.2,26.170000000000005,09:31:26,86.43,100,86.6,100,86.6,100
122,0.32,0.12,0.2,36.10000000000001,09:31:36,86.43,100,86.58,200,86.505,500
127,0.6000000000000001,0.27,0.33,38.210000000000015,09:31:38,86.42,100,86.58,200,86.515,100
152,0.74,0.21,0.53,48.37000000000002,09:31:48,86.44,200,86.54,200,86.53,100
156,0.48,0.21,0.27,50.20000000000002,09:31:50,86.45,200,86.55,200,86.54,100
175,0.32,0.14,0.18,55.97000000000002,09:31:55,86.44,200,86.58,200,86.58,100
181,0.34,0.17,0.17,57.93000000000002,09:31:57,86.45,100,86.57,100,86.51,100
302,0.39,0.22,0.17,48.61,09:32:48,86.6,100,86.66,200,86.63,200
315,0.3,0.08,0.22,52.58,09:32:52,86.64,200,86.72,200,86.71,100
325,0.25,0.07,0.18,56.56999999999999,09:32:56,86.67,200,86.8,100,86.67,100
332,0.25,0.07,0.18,58.52,09:32:58,86.67,200,86.8,100,86.68,100
338,0.3,0.08,0.22,0.0,09:33:00,86.62,300,86.67,100,86.69,117
343,2.23,1.98,0.25,3.41,09:33:03,86.61,100,86.66,200,86.6277,100
387,0.42000000000000004,0.22,0.2,28.120000000000005,09:33:28,86.66,100,86.79,100,86.77,100
399,0.38,0.21,0.17,31.950000000000006,09:33:31,86.66,100,86.79,200,86.79,100
427,0.41000000000000003,0.17,0.24,42.00000000000001,09:33:42,86.71,100,86.78,200,86.75,100
433,0.26,0.07,0.19,43.81000000000001,09:33:43,86.71,100,86.78,200,86.745,200
458,0.27,0.09,0.18,52.11000000000001,09:33:52,86.73,300,86.79,100,86.7025,100
470,0.41000000000000003,0.19,0.22,56.35000000000001,09:33:56,86.84,100,86.95,300,86.84,100
475,0.32,0.09,0.23,58.21000000000001,09:33:58,86.84,100,86.95,100,86.95,120
480,0.28,0.11,0.17,0.0,09:34:00,86.85,200,86.95,100,86.85,1800
492,0.34,0.14,0.2,4.010000000000001,09:34:04,86.85,200,86.96,1000,86.8501,100
499,0.38,0.19,0.19,6.22,09:34:06,86.85,200,86.95,500,86.9056,100
503,0.44,0.22,0.22,8.04,09:34:08,86.99,100,87.1,300,87.1,148
508,1.78,1.57,0.21,11.239999999999998,09:34:11,87.0,200,87.08,100,87.07,100
509,2.14,1.95,0.19,13.379999999999999,09:34:13,87.01,200,87.11,100,87.09,100
510,0.33,0.11,0.22,13.709999999999999,09:34:13,87.04,200,87.12,100,87.11,100
515,1.4000000000000001,1.06,0.34,21.779999999999998,09:34:21,87.04,100,87.13,100,87.0696,200
516,0.42000000000000004,0.2,0.22,22.2,09:34:22,87.03,100,87.13,100,87.05,100
531,0.51,0.17,0.34,28.27999999999999,09:34:28,87.04,200,87.16,100,87.04,100
546,0.45,0.2,0.25,34.08,09:34:34,86.93,100,87.04,400,86.995,100
551,0.47,0.25,0.22,35.97,09:34:35,86.93,100,87.04,400,86.985,100
561,0.26,0.08,0.18,40.00999999999999,09:34:40,87.04,100,87.17,1000,87.105,100
566,0.33,0.08,0.25,42.08999999999999,09:34:42,87.06,500,87.16,1500,87.2,100
571,0.32,0.07,0.25,44.09999999999999,09:34:44,87.09,100,87.21,200,87.16,100
600,0.35000000000000003,0.08,0.27,54.38999999999999,09:34:54,87.08,200,87.21,300,87.08,100
614,0.38,0.08,0.3,0.0,09:35:00,87.08,100,87.19,200,87.1296,100
621,0.33,0.07,0.26,6.3500000000000005,09:35:06,87.08,200,87.18,400,87.18,124
632,0.29000000000000004,0.07,0.22,18.68,09:35:18,87.1,200,87.15,200,87.12,100
641,0.4,0.18,0.22,22.53,09:35:22,87.18,100,87.24,100,87.21,100
647,0.43000000000000005,0.16,0.27,24.77,09:35:24,87.18,100,87.25,1200,87.24,100
662,0.56,0.29,0.27,30.749999999999996,09:35:30,87.24,200,87.38,100,87.2889,380
667,0.28,0.07,0.21,32.41,09:35:32,87.25,200,87.35,200,87.25,1000
668,0.26,0.07,0.19,32.669999999999995,09:35:32,87.26,300,87.37,200,87.36,100
686,0.6200000000000001,0.28,0.34,39.32000000000001,09:35:39,87.28,300,87.44,700,87.38,100
689,0.28,0.07,0.21,40.66000000000001,09:35:40,87.37,100,87.44,700,87.301,200
