,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,141.59,200,141.99,100,141.7915,1000
32,0.43,0.21,0.22,12.59,09:30:12,141.64,200,141.99,100,141.7,300
46,0.35000000000000003,0.08,0.27,0.0,09:31:00,141.64,200,141.99,100,141.95,100
80,1.4100000000000001,1.07,0.34,21.630000000000003,09:31:21,141.66,200,142.0,400,141.661,1000
144,0.46,0.18,0.28,44.46000000000002,09:31:44,141.66,500,141.99,100,141.8303,100
152,0.74,0.21,0.53,48.37000000000002,09:31:48,141.66,500,141.99,100,141.98,100
163,0.43,0.24,0.19,52.29000000000002,09:31:52,141.13,200,141.65,100,141.28,100
197,2.11,1.93,0.18,0.0,09:32:00,141.28,100,141.55,100,141.46,1000
202,2.2199999999999998,2.03,0.19,9.8,09:32:09,141.34,200,141.44,100,141.43,100
206,0.24000000000000002,0.07,0.17,10.920000000000002,09:32:10,141.34,200,141.54,100,141.54,100
246,0.36,0.18,0.18,25.039999999999996,09:32:25,141.36,100,141.6,500,141.4476,500
283,0.25,0.09,0.16,37.160000000000004,09:32:37,141.26,100,141.57,100,141.34,100
302,0.39,0.22,0.17,43.41000000000002,09:32:43,141.26,100,141.57,100,141.3957,100
337,0.28,0.08,0.2,0.0,09:33:00,141.16,100,141.57,100,141.26,100
412,0.47000000000000003,0.27,0.2,36.27000000000001,09:33:36,141.06,300,141.29,200,141.1946,500
417,0.39,0.2,0.19,38.180000000000014,09:33:38,141.06,300,141.29,200,141.15,227
486,0.25,0.07,0.18,0.0,09:34:00,141.06,300,141.26,100,141.07,100
527,0.43,0.21,0.22,24.069999999999993,09:34:24,141.06,300,141.25,100,141.1,200
546,0.45,0.2,0.25,31.939999999999994,09:34:31,141.06,300,141.24,100,141.1664,137
617,3.8,3.55,0.25,0.0,09:35:00,141.07,300,141.2,200,141.1462,1000
621,0.33,0.07,0.26,1.52,09:35:01,141.12,300,141.24,100,141.2,100
636,0.43,0.22,0.21,15.759999999999998,09:35:15,141.02,100,141.24,100,141.03,100
733,0.35,0.19,0.16,49.96,09:35:49,140.62,100,140.88,100,140.67,100
748,0.4,0.22,0.18,53.910000000000004,09:35:53,140.62,500,140.88,200,140.64,200
769,0.36000000000000004,0.08,0.28,7.12,09:36:07,140.87,300,141.23,100,140.96,100
774,2.31,2.11,0.2,12.360000000000001,09:36:12,140.88,100,141.17,100,141.13,100
810,0.4,0.12,0.28,30.350000000000005,09:36:30,140.88,300,141.19,200,141.18,100
828,0.26,0.08,0.18,38.079999999999984,09:36:38,140.88,300,141.17,100,141.17,100
901,2.69,2.4,0.29,18.139999999999997,09:37:18,140.93,100,141.18,400,140.99,100
905,0.42000000000000004,0.1,0.32,19.749999999999996,09:37:19,140.74,500,140.89,200,140.9,100
939,0.47000000000000003,0.13,0.34,35.92,09:37:35,140.79,100,140.94,100,140.89,100
975,0.49,0.17,0.32,49.81999999999998,09:37:49,140.8,100,141.11,100,140.93,100
998,0.48,0.21,0.27,0.0,09:38:00,140.8,100,141.09,100,140.955,100
1011,0.56,0.27,0.29,6.1800000000000015,09:38:06,140.8,200,141.09,100,141.08,100
1016,4.37,4.13,0.24,12.880000000000003,09:38:12,140.9,200,141.09,100,140.995,100
1080,0.46,0.23,0.23,42.17999999999999,09:38:42,140.9,100,141.08,200,140.92,100
1090,0.55,0.22,0.33,46.02999999999998,09:38:46,140.9,100,141.07,100,140.985,300
1156,0.27,0.07,0.2,0.0,09:39:00,140.89,100,141.02,100,140.891,1000
1159,2.5700000000000003,2.24,0.33,3.64,09:39:03,140.74,500,140.93,100,140.835,100
1256,0.5800000000000001,0.3,0.28,40.359999999999985,09:39:40,140.81,100,140.99,100,140.849,157
1285,0.43,0.19,0.24,0.0,09:40:00,140.65,1000,140.79,100,140.79,200
1297,0.3,0.08,0.22,7.81,09:40:07,140.54,100,140.78,100,140.66,100
1325,0.33,0.08,0.25,17.81,09:40:17,140.51,200,140.71,100,140.55,100
1346,0.45,0.19,0.26,25.689999999999998,09:40:25,140.51,200,140.71,200,140.69,100
1356,0.29000000000000004,0.07,0.22,29.56,09:40:29,140.58,200,140.76,100,140.72,100
1438,0.28,0.07,0.21,0.0,09:41:00,140.58,100,140.75,100,140.74,100
1523,0.47,0.09,0.38,34.25000000000001,09:41:34,140.74,100,140.87,100,140.75,100
1543,0.42000000000000004,0.22,0.2,0.0,09:42:00,140.74,100,140.87,100,140.753,250
1577,0.48,0.17,0.31,24.02,09:42:24,140.84,200,141.03,100,140.9512,100
1591,0.39,0.08,0.31,29.889999999999993,09:42:29,140.84,200,141.03,100,141.01,100
1606,0.48,0.22,0.26,36.20999999999999,09:42:36,140.74,100,140.9,100,140.774,500
1610,0.42000000000000004,0.19,0.23,37.85999999999999,09:42:37,140.74,100,140.89,100,140.8,100
1618,0.43000000000000005,0.15,0.28,41.93999999999999,09:42:41,140.7,500,140.88,100,140.718,250
1637,0.4,0.18,0.22,49.87999999999999,09:42:49,140.6,1000,140.73,100,140.7,100
1642,0.36,0.07,0.29,51.749999999999986,09:42:51,140.6,1000,140.78,100,140.73,100
1688,0.46,0.26,0.2,0.0,09:43:00,140.6,1000,140.78,100,140.7134,1000
1757,0.29000000000000004,0.07,0.22,29.71,09:43:29,140.6,1000,140.77,100,140.685,100
1778,0.48,0.21,0.27,37.879999999999995,09:43:37,140.6,1000,140.77,100,140.76,100
1815,0.33,0.07,0.26,0.0,09:44:00,140.7,100,140.85,100,140.77,100
1831,0.59,0.35,0.24,9.55,09:44:09,140.7,100,140.84,100,140.84,100
1863,0.37,0.07,0.3,24.059999999999995,09:44:24,140.7,100,140.83,100,140.7736,150
1970,1.2,0.89,0.31,0.0,09:45:00,140.63,200,140.78,200,140.775,100
2005,0.43,0.07,0.36,17.300000000000004,09:45:17,140.67,100,140.77,200,140.65,100
2014,0.5700000000000001,0.26,0.31,21.360000000000003,09:45:21,140.67,200,140.76,200,140.6951,225
2098,0.31,0.08,0.23,0.0,09:46:00,140.76,100,140.87,100,140.83,100
2124,0.31,0.09,0.22,17.919999999999998,09:46:17,140.81,200,140.92,100,140.865,100
2130,0.43,0.18,0.25,20.029999999999998,09:46:20,140.81,200,140.92,100,140.8584,400
2140,0.30000000000000004,0.07,0.23,24.119999999999997,09:46:24,140.81,100,140.91,100,140.82,100
2168,0.45999999999999996,0.21,0.25,34.03,09:46:34,140.81,200,140.91,100,140.86,100
2245,0.37,0.08,0.29,0.0,09:47:00,140.81,200,140.91,100,140.8656,200
2250,0.4,0.21,0.19,1.7200000000000002,09:47:01,140.81,200,140.91,100,140.8662,1000
2259,0.29,0.08,0.21,9.74,09:47:09,140.84,100,140.91,100,140.8806,100
2267,0.36,0.18,0.18,13.77,09:47:13,140.81,200,140.88,100,140.85,100
2289,0.31,0.08,0.23,21.63,09:47:21,140.82,100,140.91,300,140.845,200
2309,0.32999999999999996,0.09,0.24,30.049999999999994,09:47:30,140.72,100,140.83,100,140.81,100
2414,3.29,3.03,0.26,0.0,09:48:00,140.6,11000,140.69,100,140.63,100
2423,0.37,0.14,0.23,2.7600000000000007,09:48:02,140.5,1000,140.57,100,140.5,225
2429,0.25,0.07,0.18,4.87,09:48:04,140.48,100,140.69,200,140.48,100
2447,0.42000000000000004,0.23,0.19,10.93,09:48:10,140.48,100,140.65,100,140.57,100
2489,0.48,0.22,0.26,26.630000000000006,09:48:26,140.48,100,140.6,100,140.5455,100
2528,0.48000000000000004,0.2,0.28,0.0,09:49:00,140.48,100,140.6,100,140.54,100
2542,1.92,1.56,0.36,7.669999999999999,09:49:07,140.48,100,140.6,100,140.51,100
2586,0.54,0.24,0.3,34.10000000000001,09:49:34,140.36,100,140.5,100,140.4,200
2594,0.37,0.07,0.3,37.93000000000001,09:49:37,140.34,100,140.47,100,140.35,100
2599,0.44,0.2,0.24,40.010000000000005,09:49:40,140.35,100,140.46,100,140.45,100
2605,0.43,0.18,0.25,42.22000000000001,09:49:42,140.35,100,140.46,100,140.38,100
2663,0.4,0.07,0.33,0.0,09:50:00,140.35,600,140.46,100,140.434,400
2671,0.44,0.12,0.32,7.13,09:50:07,140.35,600,140.46,100,140.4119,412
2682,0.49,0.22,0.27,12.020000000000001,09:50:12,140.35,600,140.46,100,140.405,500
2684,0.37,0.17,0.2,16.17,09:50:16,140.35,600,140.46,100,140.46,100
2720,0.59,0.24,0.35,29.970000000000006,09:50:29,140.36,100,140.45,100,140.37,100
2748,0.25,0.07,0.18,39.93,09:50:39,140.35,600,140.45,100,140.3961,200
2791,0.26,0.07,0.19,3.920000000000001,09:51:03,140.24,100,140.35,100,140.3,500
2796,0.33,0.13,0.2,7.980000000000001,09:51:07,140.24,100,140.35,100,140.3038,100
2804,0.38,0.16,0.22,13.930000000000001,09:51:13,140.24,100,140.35,300,140.24,200
2807,1.46,1.23,0.23,16.03,09:51:16,140.21,100,140.28,100,140.28,500
2847,0.34,0.07,0.27,31.75,09:51:31,140.2,100,140.28,100,140.25,100
2848,0.33999999999999997,0.09,0.25,32.09,09:51:32,140.21,100,140.28,100,140.26,100
2858,0.29,0.08,0.21,35.86999999999999,09:51:35,140.24,100,140.38,300,140.36,100
2998,0.28,0.09,0.19,0.0,09:52:00,140.26,100,140.38,100,140.32,100
3106,0.75,0.54,0.21,0.0,09:53:00,140.43,200,140.58,100,140.49,100
3111,0.29000000000000004,0.09,0.2,1.59,09:53:01,140.49,100,140.58,100,140.56,100
3121,0.37,0.19,0.18,5.430000000000001,09:53:05,140.5,800,140.58,100,140.58,100
3140,0.34,0.17,0.17,11.440000000000001,09:53:11,140.5,800,140.58,100,140.5363,100
3177,0.43,0.22,0.21,23.62000000000001,09:53:23,140.57,100,140.72,200,140.6,100
3227,0.39,0.22,0.17,0.0,09:54:00,140.52,100,140.67,100,140.62,100
3295,0.27,0.08,0.19,34.02,09:54:34,140.51,200,140.69,200,140.605,100
3384,0.4,0.1,0.3,0.0,09:55:00,140.52,200,140.69,200,140.68,100
3389,1.5,1.26,0.24,4.1899999999999995,09:55:04,140.55,200,140.86,100,140.71,300
3390,2.81,2.46,0.35,7.0,09:55:07,140.56,100,140.85,100,140.705,300
3474,0.31,0.08,0.23,41.72000000000001,09:55:41,140.95,100,141.09,300,140.97,100
3479,0.27,0.07,0.2,43.71000000000002,09:55:43,140.95,100,141.09,300,141.0304,200
3522,0.33,0.07,0.26,0.0,09:56:00,140.74,300,140.96,100,140.8236,200
3821,0.39,0.23,0.16,18.12,09:58:18,140.75,100,140.96,100,140.91,100
3908,0.3,0.09,0.21,48.07,09:58:48,140.76,100,140.96,100,140.8582,100
3967,1.3199999999999998,1.14,0.18,0.0,09:59:00,140.78,200,140.96,100,140.95,200
4034,0.4,0.23,0.17,21.730000000000004,09:59:21,140.93,100,141.05,200,141.06,100
4038,0.47,0.22,0.25,23.580000000000002,09:59:23,140.93,100,141.05,200,141.0093,1000
4145,0.45000000000000007,0.17,0.28,22.06,10:00:22,140.93,100,141.11,100,140.98,100
4169,0.32,0.07,0.25,32.18,10:00:32,140.94,100,141.1,200,140.945,100
4220,0.47,0.23,0.24,8.52,10:01:08,140.97,200,141.11,100,141.04,100
4223,0.41000000000000003,0.18,0.23,13.82,10:01:13,140.97,200,141.1,100,141.035,100
4232,0.42,0.21,0.21,17.64,10:01:17,140.97,200,141.1,100,141.09,100
4324,0.28,0.08,0.2,49.49000000000004,10:01:49,141.09,100,141.3,200,141.17600000000002,300
4353,0.35,0.18,0.17,0.0,10:02:00,141.12,100,141.25,200,141.2008,160
4381,0.76,0.5,0.26,20.900000000000002,10:02:20,141.13,200,141.24,300,141.19,100
4505,0.26,0.07,0.19,3.75,10:03:03,141.15,100,141.26,200,141.2112,100
4576,0.35,0.18,0.17,33.940000000000005,10:03:33,141.16,200,141.26,100,141.23,100
4675,0.32,0.07,0.25,6.370000000000001,10:04:06,141.15,100,141.26,100,141.22,100
4712,0.32,0.08,0.24,22.19000000000001,10:04:22,141.15,100,141.29,100,141.2457,750
4742,0.5700000000000001,0.27,0.3,34.400000000000006,10:04:34,141.17,100,141.3,500,141.243,1898
4778,0.47,0.21,0.26,48.6,10:04:48,141.17,100,141.25,500,141.24,100
4793,0.42000000000000004,0.09,0.33,0.0,10:05:00,141.26,300,141.33,200,141.33,100
4818,0.37,0.17,0.2,11.97,10:05:11,141.26,300,141.33,200,141.3142,100
4822,2.16,1.81,0.35,17.29,10:05:17,141.27,100,141.32,100,141.295,100
4828,0.48,0.23,0.25,19.73,10:05:19,141.32,200,141.5,200,141.45,100
4886,0.39,0.09,0.3,39.829999999999984,10:05:39,141.33,200,141.46,200,141.4018,150
4896,0.30000000000000004,0.07,0.23,43.77999999999997,10:05:43,141.45,300,141.57,300,141.4773,1000
4907,0.42000000000000004,0.22,0.2,47.82999999999997,10:05:47,141.46,100,141.53,100,141.52,100
4912,0.42,0.24,0.18,49.93999999999996,10:05:49,141.47,100,141.53,100,141.48,100
4922,0.39,0.22,0.17,53.61999999999997,10:05:53,141.36,100,141.5,100,141.41,100
4952,2.39,2.14,0.25,0.0,10:06:00,141.36,100,141.46,100,141.469,100
4962,0.31,0.15,0.16,5.13,10:06:05,141.36,100,141.42,100,141.37,100
4976,0.31,0.09,0.22,9.040000000000001,10:06:09,141.21,100,141.35,100,141.36,100
5070,0.37,0.18,0.19,0.0,10:07:00,141.21,100,141.31,200,141.2649,400
5090,3.37,3.18,0.19,11.420000000000002,10:07:11,141.15,100,141.21,200,141.21,100
5107,0.25,0.08,0.17,21.59,10:07:21,141.11,100,141.17,300,141.11,100
5305,0.48,0.21,0.27,35.99,10:08:35,141.12,200,141.24,100,141.185,100
5326,0.33,0.08,0.25,44.09000000000001,10:08:44,141.21,100,141.28,100,141.29,100
5426,0.26,0.08,0.18,0.0,10:09:00,141.17,200,141.27,200,141.2318,100
5455,0.38,0.19,0.19,9.990000000000002,10:09:09,141.17,200,141.3,500,141.27,100
5503,0.5700000000000001,0.37,0.2,12.43,10:12:12,141.03,100,141.14,200,141.0826,100
5561,1.9400000000000002,1.6,0.34,0.0,10:13:00,141.04,100,141.14,300,141.12,100
5608,0.47,0.23,0.24,21.210000000000004,10:13:21,141.04,100,141.14,300,141.0921,100
5614,0.26,0.07,0.19,23.070000000000007,10:13:23,141.04,100,141.14,300,141.0827,1000
5765,0.26,0.07,0.19,5.999999999999999,10:14:05,141.12,100,141.17,300,141.14,100
5830,0.25,0.07,0.18,26.059999999999995,10:14:26,141.14,100,141.17,100,141.16,100
6012,2.58,2.37,0.21,0.0,10:16:00,141.0,200,141.08,100,141.05,261
6191,0.29000000000000004,0.07,0.22,25.960000000000004,10:17:25,140.9,400,140.98,300,140.94,100
6422,0.46,0.2,0.26,38.32,10:19:38,140.79,400,140.89,100,140.889,100
6643,0.5700000000000001,0.24,0.33,21.770000000000003,10:22:21,140.91,100,141.01,100,140.9295,615
6982,0.36,0.09,0.27,13.459999999999997,10:25:13,141.01,100,141.08,200,141.0438,300
7013,0.53,0.1,0.43,29.859999999999996,10:25:29,141.01,100,141.07,100,141.0137,1946
7030,0.44,0.21,0.23,37.75999999999999,10:25:37,141.02,100,141.07,100,141.045,100
7048,0.48,0.12,0.36,45.77999999999998,10:25:45,141.03,100,141.1,100,141.055,100
7080,0.33,0.07,0.26,0.0,10:26:00,141.0,100,141.04,100,141.0,100
7099,0.4,0.08,0.32,14.210000000000003,10:26:14,140.87,100,140.98,100,140.965,100
7108,0.39,0.11,0.28,20.050000000000004,10:26:20,140.87,100,140.97,100,140.875,200
7133,0.46,0.2,0.26,29.98000000000001,10:26:29,140.89,100,140.95,100,140.88,100
7142,0.32,0.07,0.25,33.69000000000001,10:26:33,140.93,100,140.98,100,140.9799,1743
7228,0.27,0.07,0.2,14.980000000000002,10:27:14,140.92,100,140.96,100,140.9381,400
7454,0.28,0.07,0.21,0.0,10:29:00,141.04,100,141.1,300,141.085,300
7723,2.41,1.96,0.45,9.120000000000001,10:31:09,141.16,100,141.24,100,141.155,500
7744,0.44,0.24,0.2,20.080000000000005,10:31:20,141.16,100,141.24,100,141.216,500
7756,0.32,0.11,0.21,24.030000000000005,10:31:24,141.17,100,141.24,100,141.2383,100
7776,0.36,0.12,0.24,32.28,10:31:32,141.19,100,141.34,200,141.25,100
7822,0.29000000000000004,0.12,0.17,8.610000000000003,10:33:08,141.24,100,141.33,200,141.285,100
7998,0.29000000000000004,0.07,0.22,25.930000000000003,10:34:25,141.11,200,141.17,100,141.1358,158
8099,0.57,0.08,0.49,22.009999999999994,10:35:22,141.04,100,141.15,100,141.063,250
8180,0.63,0.08,0.55,0.0,10:36:00,140.92,100,141.1,100,141.02,200
8256,0.6000000000000001,0.28,0.32,17.530000000000005,10:37:17,140.94,100,141.0,100,140.9999,100
8306,0.5700000000000001,0.07,0.5,47.67000000000003,10:37:47,140.86,100,140.9,200,140.87,100
8513,0.61,0.21,0.4,27.74,10:40:27,141.08,200,141.23,200,141.148,100
8548,0.5800000000000001,0.07,0.51,50.07000000000003,10:40:50,141.18,100,141.32,100,141.282,100
8671,0.43999999999999995,0.09,0.35,7.82,10:42:07,141.26,100,141.35,200,141.3104,150
8726,0.45,0.08,0.37,45.71000000000001,10:42:45,141.16,200,141.34,100,141.1833,150
8943,1.17,0.63,0.54,5.38,10:45:05,141.31,100,141.41,100,141.3996,1000
9060,0.76,0.17,0.59,28.19,10:46:28,141.34,100,141.46,100,141.4216,100
9068,0.6100000000000001,0.07,0.54,33.8,10:46:33,141.34,100,141.46,100,141.4081,300
9089,0.5800000000000001,0.07,0.51,48.21000000000001,10:46:48,141.32,200,141.4,200,141.32,100
9143,0.58,0.08,0.5,0.0,10:47:00,141.32,100,141.44,100,141.39,100
9203,4.82,4.37,0.45,0.0,10:48:00,141.4,100,141.47,100,141.44,100
9204,2.38,1.77,0.61,2.38,10:48:02,141.36,100,141.46,100,141.4,100
9256,0.57,0.08,0.49,32.75999999999999,10:48:32,141.31,100,141.45,100,141.3825,100
9308,0.44,0.08,0.36,0.0,10:49:00,141.17,100,141.34,200,141.3,100
10256,135.06,134.46,0.6,0.0,11:04:00,141.46,100,141.5,100,141.5,100
10299,0.59,0.22,0.37,29.939999999999998,11:04:29,141.45,300,141.5,300,141.475,100
10309,0.76,0.08,0.68,36.290000000000006,11:04:36,141.45,300,141.5,300,141.495,100
10355,0.43,0.07,0.36,27.760000000000012,11:05:27,141.41,200,141.49,200,141.47,100
10428,2.45,2.14,0.31,7.99,11:06:07,141.46,200,141.5,200,141.4733,2000
10441,0.62,0.31,0.31,17.38,11:06:17,141.47,100,141.5,200,141.49,100
10531,2.38,1.79,0.59,9.82,11:07:09,141.57,100,141.6,400,141.59,100
10532,0.63,0.28,0.35,10.450000000000001,11:07:10,141.57,100,141.62,100,141.6,9500
10542,0.5700000000000001,0.07,0.5,15.82,11:07:15,141.57,100,141.62,100,141.57,1000
10553,0.56,0.14,0.42,22.040000000000003,11:07:22,141.58,100,141.65,200,141.63,137
10564,0.62,0.17,0.45,28.060000000000006,11:07:28,141.6,100,141.72,100,141.65,100
10594,0.58,0.08,0.5,43.82000000000001,11:07:43,141.64,100,141.75,200,141.69,100
10620,0.58,0.08,0.5,0.0,11:08:00,141.67,100,141.75,200,141.71,100
10638,0.8,0.07,0.73,12.670000000000002,11:08:12,141.67,100,141.75,100,141.74,100
10640,0.85,0.21,0.64,14.260000000000002,11:08:14,141.77,100,141.82,100,141.81,100
10643,0.78,0.28,0.5,16.450000000000003,11:08:16,141.77,100,141.86,100,141.85,100
10651,0.5900000000000001,0.07,0.52,22.420000000000005,11:08:22,141.77,100,141.85,100,141.7701,1000
10656,0.64,0.18,0.46,26.070000000000007,11:08:26,141.78,100,141.86,100,141.82,100
10666,0.59,0.21,0.38,32.06000000000002,11:08:32,141.77,100,141.86,100,141.84,100
10672,0.44,0.07,0.37,35.87000000000001,11:08:35,141.77,100,141.93,100,141.9225,1579
10675,0.5900000000000001,0.07,0.52,38.070000000000014,11:08:38,141.77,100,141.93,100,141.9325,100
10734,0.5700000000000001,0.14,0.43,17.939999999999998,11:09:17,141.81,100,141.91,300,141.88,100
10736,0.44,0.11,0.33,18.98,11:09:18,141.81,100,141.91,300,141.87,100
10802,0.44,0.07,0.37,0.0,11:10:00,141.81,200,141.92,200,141.8469,100
10816,0.5700000000000001,0.07,0.5,7.6000000000000005,11:10:07,141.81,200,141.9,100,141.855,100
10830,0.64,0.18,0.46,15.420000000000002,11:10:15,141.82,100,141.94,300,141.92,100
10843,0.64,0.2,0.44,24.000000000000007,11:10:24,141.82,100,141.94,800,141.93,150
10937,0.5900000000000001,0.27,0.32,41.82000000000002,11:11:41,142.04,100,142.11,600,142.09,100
10940,0.78,0.25,0.53,43.810000000000024,11:11:43,141.99,100,142.15,3700,142.15,100
10946,0.64,0.08,0.56,47.83000000000002,11:11:47,142.0,100,142.14,100,142.0,425
10995,0.77,0.25,0.52,0.0,11:12:00,142.13,100,142.2,100,142.2,100
11022,0.62,0.08,0.54,17.87,11:12:17,142.18,200,142.24,100,142.1896,500
