,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,72.8,500,72.94,100,72.93,100
69,0.42,0.21,0.21,10.05,09:31:10,72.83,100,72.92,100,72.91,100
77,1.79,1.43,0.36,16.86,09:31:16,72.84,400,72.95,100,72.855,100
94,0.27,0.07,0.2,24.190000000000005,09:31:24,72.84,700,72.94,100,72.85,100
186,0.29,0.08,0.21,0.0,09:32:00,72.85,800,72.9,100,72.9,100
302,0.39,0.22,0.17,48.61,09:32:48,72.85,1100,72.94,200,72.86,100
344,0.36,0.18,0.18,0.0,09:33:00,72.87,800,72.94,100,72.905,100
350,3.75,3.46,0.29,5.42,09:33:05,72.87,700,72.94,100,72.87,100
370,0.66,0.28,0.38,18.32,09:33:18,72.82,200,72.84,100,72.885,100
375,0.32,0.15,0.17,20.150000000000002,09:33:20,72.72,400,72.79,200,72.73,100
393,0.35,0.18,0.17,26.1,09:33:26,72.74,400,72.79,300,72.74,200
440,0.45,0.25,0.2,42.420000000000016,09:33:42,72.7,200,72.78,100,72.71,100
452,0.26,0.07,0.19,46.18000000000001,09:33:46,72.69,100,72.76,200,72.69,100
463,0.28,0.07,0.21,50.2,09:33:50,72.69,100,72.76,200,72.76,100
480,0.28,0.11,0.17,0.0,09:34:00,72.69,100,72.75,200,72.72,100
508,1.78,1.57,0.21,11.239999999999998,09:34:11,72.7,100,72.75,500,72.7,100
561,0.26,0.08,0.18,40.00999999999999,09:34:40,72.71,400,72.8,100,72.75,100
625,2.72,2.35,0.37,14.980000000000002,09:35:14,72.68,100,72.74,100,72.68,100
701,0.26,0.08,0.18,44.800000000000004,09:35:44,72.76,100,72.8,200,72.8,100
759,0.38,0.21,0.17,0.0,09:36:00,72.74,500,72.77,200,72.755,100
805,0.65,0.28,0.37,28.220000000000006,09:36:28,72.77,500,72.8,200,72.785,100
809,0.42,0.12,0.3,29.950000000000006,09:36:29,72.83,300,72.89,100,72.83,100
814,0.5800000000000001,0.19,0.39,32.25,09:36:32,72.81,300,72.88,100,72.84,100
860,0.29,0.08,0.21,52.029999999999994,09:36:52,72.81,200,72.88,100,72.81,100
926,0.53,0.1,0.43,28.090000000000003,09:37:28,72.82,100,72.87,100,72.82,100
939,0.47000000000000003,0.13,0.34,34.160000000000004,09:37:34,72.81,100,72.87,100,72.8434,700
998,0.48,0.21,0.27,0.0,09:38:00,72.84,300,72.93,200,72.89,286
1135,0.42000000000000004,0.2,0.22,0.0,09:39:00,72.84,1900,72.89,100,72.865,100
1277,0.46,0.2,0.26,0.0,09:40:00,72.87,500,72.89,300,72.88,100
1560,2.34,2.03,0.31,0.0,09:42:00,72.9,200,72.94,300,72.92,100
1715,0.32,0.08,0.24,3.8599999999999994,09:43:03,72.94,300,72.98,100,72.98,500
1725,0.36,0.09,0.27,7.85,09:43:07,72.95,300,72.98,100,72.96,100
1736,0.6000000000000001,0.27,0.33,12.33,09:43:12,72.96,200,72.99,200,72.975,100
1741,0.4,0.08,0.32,13.950000000000001,09:43:13,72.96,200,72.98,400,72.97,200
1757,0.29000000000000004,0.07,0.22,19.919999999999998,09:43:19,72.98,200,72.98,100,72.99,100
1939,0.3,0.08,0.22,5.81,09:44:05,72.94,200,72.97,300,72.95,100
1972,1.42,1.15,0.27,2.02,09:45:02,72.92,100,72.94,300,72.94,100
1977,1.44,1.19,0.25,6.029999999999999,09:45:06,72.92,100,72.95,100,72.935,100
2110,0.37,0.1,0.27,8.35,09:46:08,72.97,300,73.0,1500,73.0,200
2215,0.39,0.21,0.18,52.060000000000024,09:46:52,73.0,200,73.03,200,73.01,1354
2221,0.44,0.22,0.22,54.36000000000003,09:46:54,73.02,300,73.06,100,73.03,100
2227,0.25,0.07,0.18,0.0,09:47:00,73.04,100,73.08,200,73.055,100
2233,0.25,0.07,0.18,2.02,09:47:02,73.07,100,73.12,300,73.08,200
2239,0.28,0.07,0.21,4.04,09:47:04,73.08,400,73.12,300,73.06,100
2257,4.91,4.57,0.34,15.370000000000001,09:47:15,73.09,200,73.15,100,73.11,100
2343,0.5900000000000001,0.27,0.32,48.38999999999999,09:47:48,73.09,300,73.14,100,73.15,942
2378,0.44,0.21,0.23,0.0,09:48:00,73.11,100,73.14,100,73.125,100
2423,0.37,0.14,0.23,21.68,09:48:21,73.12,200,73.13,100,73.13,100
2429,0.25,0.07,0.18,23.79,09:48:23,73.12,200,73.18,500,73.1275,100
2533,0.51,0.15,0.36,0.0,09:49:00,73.17,200,73.19,300,73.18,100
2538,0.37,0.08,0.29,2.16,09:49:02,73.15,500,73.17,100,73.16,100
2550,2.28,1.94,0.34,16.67,09:49:16,73.15,500,73.18,100,73.17,100
2577,0.4,0.07,0.33,28.16,09:49:28,73.15,500,73.18,200,73.1691,1000
2654,0.33,0.08,0.25,2.22,09:50:02,73.19,100,73.22,200,73.21,100
2663,0.4,0.07,0.33,6.07,09:50:06,73.18,400,73.2,300,73.2,100
2671,0.44,0.12,0.32,13.200000000000001,09:50:13,73.18,400,73.2,200,73.19,100
2673,0.45,0.12,0.33,14.040000000000001,09:50:14,73.17,100,73.18,200,73.175,100
2677,0.45999999999999996,0.21,0.25,16.03,09:50:16,73.15,300,73.16,200,73.1797,100
2712,0.5,0.27,0.23,32.290000000000006,09:50:32,73.13,1000,73.14,300,73.14,100
2716,0.67,0.22,0.45,34.120000000000005,09:50:34,73.07,100,73.1,200,73.09,100
2756,0.34,0.07,0.27,53.85000000000002,09:50:53,73.07,300,73.12,200,73.105,500
2928,0.42000000000000004,0.19,0.23,0.0,09:52:00,73.09,300,73.16,200,73.095,100
3085,0.29000000000000004,0.09,0.2,2.16,09:53:02,73.13,500,73.2,500,73.165,100
3266,0.43000000000000005,0.26,0.17,23.950000000000006,09:54:23,73.17,400,73.23,200,73.23,100
3274,0.24000000000000002,0.07,0.17,26.040000000000003,09:54:26,73.18,300,73.23,200,73.22,100
3439,0.28,0.08,0.2,32.17999999999999,09:55:32,73.19,400,73.22,200,73.205,100
3518,0.91,0.63,0.28,2.37,09:56:02,73.13,700,73.14,200,73.135,200
3724,0.56,0.27,0.29,27.21999999999999,09:57:27,73.09,200,73.11,600,73.1,100
3729,0.25,0.07,0.18,29.22999999999999,09:57:29,73.08,100,73.09,100,73.085,100
3795,0.33999999999999997,0.12,0.22,0.0,09:58:00,73.03,300,73.07,100,73.05,100
3817,0.25,0.09,0.16,15.98,09:58:15,73.06,100,73.09,100,73.07,100
