,Total Delay,Request Delay,Saving Delay,Arrival Time,Time,Bid,Bid Size,Ask,Ask Size,Last Price,Last Size
0,0.6499999999999999,0.3,0.35,0.6499999999999999,09:30:00,58.32,100,58.5,300,58.5,100
71,0.37,0.18,0.19,0.0,09:31:00,58.28,100,58.49,100,58.48,100
99,0.27,0.07,0.2,13.27,09:31:13,58.27,100,58.48,100,58.47,100
209,1.96,1.75,0.21,10.79,09:32:10,58.47,100,58.57,800,58.5225,340
354,2.19,1.96,0.23,0.0,09:33:00,58.42,100,58.54,100,58.45,100
412,0.47000000000000003,0.27,0.2,23.400000000000006,09:33:23,58.39,100,58.51,300,58.42,100
423,0.28,0.07,0.21,27.460000000000015,09:33:27,58.34,100,58.53,200,58.39,100
514,3.77,3.6,0.17,0.0,09:34:00,58.34,300,58.53,200,58.435,100
531,0.51,0.17,0.34,7.9,09:34:07,58.35,200,58.53,200,58.53,585
604,0.4,0.12,0.28,35.83999999999999,09:34:35,58.35,200,58.53,300,58.44,100
618,0.34,0.07,0.27,5.17,09:35:05,58.35,200,58.46,200,58.35,200
695,0.6200000000000001,0.28,0.34,42.92,09:35:42,58.37,200,58.45,200,58.415,100
828,0.26,0.08,0.18,40.329999999999984,09:36:40,58.45,200,58.48,200,58.4686,102
989,0.36,0.07,0.29,36.16,09:37:36,58.47,200,58.53,300,58.4873,482
1137,0.31,0.08,0.23,0.0,09:39:00,58.48,100,58.54,200,58.52,100
1187,0.34,0.08,0.26,23.940000000000005,09:39:23,58.48,100,58.56,100,58.54,100
1266,0.52,0.28,0.24,0.0,09:40:00,58.5,100,58.61,500,58.56,100
1378,0.36,0.07,0.29,49.70999999999999,09:40:49,58.54,200,58.6,100,58.59,100
1469,0.56,0.23,0.33,0.0,09:41:00,58.54,100,58.6,100,58.6,100
1572,0.38,0.07,0.31,7.930000000000001,09:42:07,58.38,200,58.49,200,58.43,100
1586,0.48,0.19,0.29,13.810000000000002,09:42:13,58.37,100,58.48,200,58.4,100
1605,0.39,0.09,0.3,21.760000000000005,09:42:21,58.37,100,58.46,200,58.37,100
1618,0.43000000000000005,0.15,0.28,27.97000000000001,09:42:27,58.37,100,58.45,200,58.38,100
1662,0.4,0.1,0.3,0.0,09:43:00,58.35,200,58.43,200,58.395,100
1667,0.41000000000000003,0.13,0.28,2.25,09:43:02,58.33,900,58.41,200,58.34,100
1692,1.6300000000000001,1.29,0.34,15.000000000000005,09:43:15,58.3,700,58.39,200,58.3,100
1956,0.43000000000000005,0.09,0.34,0.0,09:45:00,58.25,100,58.34,100,58.29,100
2009,0.43,0.21,0.22,29.87000000000001,09:45:29,58.2,200,58.33,200,58.25,100
2036,0.5,0.21,0.29,40.23000000000001,09:45:40,58.22,100,58.31,100,58.265,100
2304,0.44,0.18,0.26,0.0,09:47:00,58.19,200,58.24,200,58.24,100
2363,0.47,0.17,0.3,22.290000000000003,09:47:22,58.19,100,58.24,200,58.19,100
2373,0.39,0.2,0.19,0.0,09:48:00,58.19,100,58.23,100,58.215,100
2384,0.42000000000000004,0.19,0.23,4.220000000000001,09:48:04,58.17,200,58.24,100,58.195,100
2389,0.31,0.09,0.22,5.930000000000001,09:48:05,58.17,200,58.24,100,58.205,100
2417,0.29000000000000004,0.07,0.22,21.859999999999996,09:48:21,58.17,200,58.24,100,58.17,100
2594,0.37,0.07,0.3,0.0,09:49:00,58.1,100,58.17,300,58.13,100
2663,0.4,0.07,0.33,0.0,09:50:00,58.1,200,58.16,200,58.14,100
2673,0.45,0.12,0.33,7.97,09:50:07,58.13,200,58.17,200,58.15,100
2773,0.29,0.08,0.21,0.0,09:51:00,58.1,100,58.17,100,58.135,100
2858,0.29,0.08,0.21,37.96999999999999,09:51:37,58.16,100,58.21,100,58.2,100
2896,0.30000000000000004,0.07,0.23,51.829999999999984,09:51:51,58.18,300,58.22,100,58.21,100
2939,2.09,1.8,0.29,0.0,09:52:00,58.23,100,58.3,200,58.27,100
3085,0.29000000000000004,0.09,0.2,0.0,09:53:00,58.24,100,58.26,200,58.26,100
3093,3.09,2.82,0.27,8.27,09:53:08,58.19,100,58.24,200,58.23,100
3244,3.73,3.54,0.19,0.0,09:54:00,58.2,100,58.28,400,58.28,100
3389,1.5,1.26,0.24,0.0,09:55:00,58.19,100,58.28,300,58.235,100
3663,0.28,0.07,0.21,0.0,09:57:00,58.29,300,58.36,200,58.36,100
4112,0.43,0.18,0.25,10.25,10:00:10,58.19,100,58.3,200,58.22,100
4116,1.8800000000000001,1.59,0.29,13.760000000000002,10:00:13,58.19,100,58.3,200,58.245,100
4117,0.31,0.08,0.23,14.070000000000002,10:00:14,58.23,200,58.32,100,58.31,100
5063,0.27,0.08,0.19,35.93000000000001,10:06:35,58.15,100,58.23,200,58.16,100
5220,0.28,0.07,0.21,0.0,10:08:00,58.16,200,58.19,200,58.18,400
5239,0.37,0.21,0.16,6.19,10:08:06,58.11,100,58.17,200,58.11,100
5513,0.44,0.19,0.25,16.490000000000002,10:12:16,58.43,100,58.47,100,58.46,100
5575,1.53,1.22,0.31,14.92,10:13:14,58.48,100,58.52,100,58.51,100
5902,0.41000000000000003,0.23,0.18,6.33,10:15:06,58.56,100,58.59,200,58.58,100
5996,0.25,0.08,0.17,0.0,10:16:00,58.6,200,58.63,100,58.61,100
6291,4.31,3.94,0.37,0.0,10:18:00,58.54,100,58.57,200,58.55,100
6536,34.309999999999995,34.08,0.23,0.0,10:21:00,58.57,100,58.61,200,58.608999999999995,300
7637,0.3,0.08,0.22,28.14,10:30:28,58.45,200,58.49,200,58.4764,700
8183,0.5900000000000001,0.14,0.45,0.0,10:36:00,58.41,200,58.43,200,58.41,100
8598,0.59,0.21,0.38,0.0,10:41:00,58.32,100,58.33,200,58.33,100
8650,0.62,0.21,0.41,30.220000000000002,10:41:30,58.32,100,58.33,200,58.325,294
8653,0.44,0.07,0.37,31.830000000000005,10:41:31,58.35,200,58.36,200,58.355,200
8874,0.6100000000000001,0.07,0.54,18.02,10:44:18,58.37,100,58.38,100,58.365,100
9119,0.63,0.19,0.44,12.39,10:47:12,58.43,200,58.46,100,58.445,100
9858,0.42,0.07,0.35,21.779999999999994,10:57:21,58.12,200,58.19,300,58.12,100
10010,0.6,0.25,0.35,0.0,10:59:00,58.09,200,58.11,100,58.1,100
10034,0.5900000000000001,0.27,0.32,17.179999999999996,10:59:17,58.05,300,58.11,200,58.09,100
10049,0.43,0.07,0.36,25.01,10:59:25,58.05,200,58.08,100,58.05,100
