Ticker,Name,Sector,Industry
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADI,"Analog Devices, Inc.",Technology,Semiconductors
AAPL,Apple Inc.,Technology,Computer Manufacturing
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing"
BIIB,Biogen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
AVGO,Broadcom Limited,Technology,Semiconductors
CA,CA Inc.,Technology,Computer Software: Prepackaged Software
CELG,Celgene Corporation,Health Care,Major Pharmaceuticals
CERN,Cerner Corporation,Technology,EDP Services
CHTR,"Charter Communications, Inc.",Consumer Services,Television Services
CHKP,Check Point Software Technologies Ltd.,Technology,Computer Software: Prepackaged Software
CTAS,Cintas Corporation,Consumer Non-Durables,Apparel
CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment
CTXS,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software
CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services
CMCSA,Comcast Corporation,Consumer Services,Television Services
COST,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores
CSX,CSX Corporation,Transportation,Railroads
CTRP,"Ctrip.com International, Ltd.",Miscellaneous,Business Services
XRAY,DENTSPLY SIRONA Inc.,Health Care,Medical/Dental Instruments
DISCA,"Discovery Communications, Inc.",Consumer Services,Television Services
DISCK,"Discovery Communications, Inc.",Consumer Services,Television Services
DISH,DISH Network Corporation,Consumer Services,Television Services
DLTR,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores
EBAY,eBay Inc.,Miscellaneous,Business Services
EA,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software
EXPE,"Expedia, Inc.",Consumer Services,Transportation Services
ESRX,Express Scripts Holding Company,Health Care,Medical/Nursing Services
